scan_number,degrees,distance_meters,signal_strength
114,0,1.217,56
114,1,1.204,148
114,2,nan,nan
114,3,nan,nan
114,4,nan,nan
114,5,nan,nan
114,6,nan,nan
114,7,nan,nan
114,8,nan,nan
114,9,nan,nan
114,10,nan,nan
114,11,nan,nan
114,12,nan,nan
114,13,nan,nan
114,14,nan,nan
114,15,nan,nan
114,16,nan,nan
114,17,nan,nan
114,18,nan,nan
114,19,nan,nan
114,20,nan,nan
114,21,nan,nan
114,22,nan,nan
114,23,nan,nan
114,24,nan,nan
114,25,nan,nan
114,26,nan,nan
114,27,nan,nan
114,28,nan,nan
114,29,nan,nan
114,30,nan,nan
114,31,nan,nan
114,32,nan,nan
114,33,nan,nan
114,34,nan,nan
114,35,nan,nan
114,36,nan,nan
114,37,nan,nan
114,38,nan,nan
114,39,nan,nan
114,40,nan,nan
114,41,nan,nan
114,42,nan,nan
114,43,nan,nan
114,44,nan,nan
114,45,nan,nan
114,46,nan,nan
114,47,nan,nan
114,48,nan,nan
114,49,nan,nan
114,50,nan,nan
114,51,nan,nan
114,52,1.737,38
114,53,nan,nan
114,54,1.481,29
114,55,nan,nan
114,56,nan,nan
114,57,nan,nan
114,58,nan,nan
114,59,nan,nan
114,60,nan,nan
114,61,0.809,10
114,62,nan,nan
114,63,nan,nan
114,64,nan,nan
114,65,nan,nan
114,66,nan,nan
114,67,nan,nan
114,68,nan,nan
114,69,nan,nan
114,70,nan,nan
114,71,nan,nan
114,72,1.774,68
114,73,1.716,77
114,74,1.658,74
114,75,1.591,85
114,76,1.542,99
114,77,1.498,107
114,78,1.454,110
114,79,1.413,108
114,80,1.377,120
114,81,1.341,149
114,82,1.307,137
114,83,1.276,143
114,84,1.247,154
114,85,1.22,166
114,86,1.192,172
114,87,1.167,171
114,88,1.144,187
114,89,1.121,198
114,90,1.1,195
114,91,1.079,200
114,92,1.059,217
114,93,1.041,223
114,94,1.025,220
114,95,1.008,235
114,96,0.992,242
114,97,0.978,247
114,98,0.964,269
114,99,0.951,258
114,100,0.937,268
114,101,0.925,262
114,102,0.914,288
114,103,0.902,290
114,104,0.892,292
114,105,0.883,305
114,106,0.872,315
114,107,0.864,306
114,108,0.856,316
114,109,0.848,318
114,110,0.84,348
114,111,0.833,354
114,112,0.827,348
114,113,0.82,358
114,114,0.813,362
114,115,0.807,371
114,116,0.802,377
114,117,0.797,367
114,118,0.791,371
114,119,0.787,374
114,120,0.782,381
114,121,0.779,380
114,122,0.774,396
114,123,0.769,398
114,124,0.766,402
114,125,0.763,407
114,126,0.76,408
114,127,0.758,406
114,128,0.755,412
114,129,0.754,405
114,130,0.751,415
114,131,0.75,418
114,132,0.748,425
114,133,0.747,400
114,134,0.747,402
114,135,0.748,420
114,136,0.747,422
114,137,0.746,401
114,138,0.747,415
114,139,0.748,410
114,140,0.75,403
114,141,0.75,432
114,142,0.752,413
114,143,0.753,412
114,144,0.754,433
114,145,0.755,431
114,146,0.758,401
114,147,0.761,421
114,148,0.763,401
114,149,0.767,403
114,150,0.77,416
114,151,0.773,396
114,152,0.777,395
114,153,0.781,402
114,154,0.785,383
114,155,0.789,385
114,156,0.793,373
114,157,0.8,360
114,158,0.804,359
114,159,0.81,370
114,160,0.817,356
114,161,0.823,351
114,162,0.829,343
114,163,0.836,341
114,164,0.845,337
114,165,0.85,337
114,166,0.859,331
114,167,0.868,320
114,168,0.878,306
114,169,0.886,293
114,170,0.896,282
114,171,0.904,288
114,172,0.914,288
114,173,0.924,279
114,174,0.925,290
114,175,0.912,267
114,176,0.893,249
114,177,0.875,268
114,178,0.858,310
114,179,0.841,321
114,180,0.826,328
114,181,0.81,347
114,182,0.796,355
114,183,0.783,359
114,184,0.768,387
114,185,0.757,388
114,186,0.746,407
114,187,0.734,403
114,188,0.724,436
114,189,0.714,456
114,190,0.704,470
114,191,0.695,456
114,192,0.687,479
114,193,0.679,491
114,194,0.671,488
114,195,0.665,501
114,196,0.657,502
114,197,0.65,526
114,198,0.644,516
114,199,0.638,553
114,200,0.633,574
114,201,0.627,561
114,202,0.622,549
114,203,0.617,565
114,204,0.612,547
114,205,0.608,592
114,206,0.603,590
114,207,0.6,595
114,208,0.597,614
114,209,0.592,634
114,210,0.589,628
114,211,0.587,651
114,212,0.584,610
114,213,nan,nan
114,214,nan,nan
114,215,nan,nan
114,216,0.313,218
114,217,0.304,551
114,218,0.298,672
114,219,0.293,783
114,220,0.289,844
114,221,0.287,923
114,222,0.285,953
114,223,0.284,1276
114,224,0.283,1870
114,225,0.283,1697
114,226,0.284,1125
114,227,0.286,1033
114,228,0.288,958
114,229,0.291,886
114,230,0.296,803
114,231,0.302,619
114,232,0.315,224
114,233,0.567,704
114,234,0.568,664
114,235,0.569,692
114,236,0.571,707
114,237,0.573,662
114,238,0.574,668
114,239,0.576,695
114,240,0.578,667
114,241,0.579,639
114,242,0.582,673
114,243,0.584,656
114,244,0.588,645
114,245,nan,nan
114,246,nan,nan
114,247,nan,nan
114,248,0.304,170
114,249,0.302,571
114,250,0.305,510
114,251,nan,nan
114,252,nan,nan
114,253,0.285,274
114,254,nan,nan
114,255,nan,nan
114,256,0.255,906
114,257,0.259,943
114,258,0.263,384
114,259,nan,nan
114,260,0.213,142
114,261,nan,nan
114,262,nan,nan
114,263,nan,nan
114,264,nan,nan
114,265,nan,nan
114,266,nan,nan
114,267,nan,nan
114,268,nan,nan
114,269,nan,nan
114,270,nan,nan
114,271,nan,nan
114,272,nan,nan
114,273,nan,nan
114,274,nan,nan
114,275,nan,nan
114,276,nan,nan
114,277,nan,nan
114,278,nan,nan
114,279,nan,nan
114,280,nan,nan
114,281,nan,nan
114,282,nan,nan
