loops_per_sec,micros_per_loop,quat_w,quat_x,quat_y,quat_z,areal_x,areal_y,areal_z,aworld_x,aworld_y,aworld_z
20265.00, 49.35, 0.68	0.05	-0.73	0.01, 3565	239	-221, -35	20	3579
91640.00, 10.91, 0.68, 0.05, -0.73, 0.02, 3570, 275, -191, -106, 89, 3583
91647.00, 10.91, 0.68, 0.06, -0.73, 0.02, 3575, 301, -177, -143, 128, 3586
91651.00, 10.91, 0.68, 0.06, -0.73, 0.03, 3575, 307, -168, -161, 139, 3585
91649.00, 10.91, 0.67, 0.06, -0.74, 0.03, 3566, 326, -201, -140, 164, 3580
91644.00, 10.91, 0.67, 0.01, -0.74, -0.02, 3555, 410, -169, -164, 298, 3566
91649.00, 10.91, 0.63, -0.23, -0.71, -0.21, 3583, 344, -63, -86, 460, 3569
91642.00, 10.91, 0.54, -0.44, -0.61, -0.38, 3512, 442, 74, 233, 634, 3475
91160.36, 10.97, 0.52, -0.47, -0.58, -0.42, 3569, 331, -106, 229, 346, 3562
91637.00, 10.91, 0.52, -0.46, -0.58, -0.42, 3582, 277, -135, 166, 265, 3581
91683.00, 10.91, 0.52, -0.45, -0.58, -0.42, 3569, 268, -152, 152, 225, 3572
91687.00, 10.91, 0.53, -0.45, -0.59, -0.42, 3577, 255, -172, 138, 195, 3582
91686.00, 10.91, 0.53, -0.44, -0.59, -0.42, 3576, 248, -172, 129, 189, 3581
91669.00, 10.91, 0.53, -0.44, -0.59, -0.41, 3560, 266, -173, 144, 191, 3566
91660.00, 10.91, 0.53, -0.45, -0.58, -0.42, 3572, 258, -179, 158, 190, 3577
91654.00, 10.91, 0.38, -0.62, -0.43, -0.54, 3586, 298, -94, 406, 207, 3570
91648.00, 10.91, 0.22, -0.71, -0.25, -0.62, 3581, 327, -73, 535, -8, 3556
91646.00, 10.91, 0.10, -0.74, -0.12, -0.65, 3556, 350, -100, 467, -201, 3538
91684.00, 10.91, 0.10, -0.74, -0.12, -0.66, 3557, 295, -182, 308, -165, 3556
91642.00, 10.91, 0.10, -0.73, -0.13, -0.66, 3553, 271, -204, 250, -138, 3557
91647.00, 10.91, 0.10, -0.73, -0.13, -0.66, 3558, 261, -206, 231, -123, 3564
91647.00, 10.91, 0.11, -0.73, -0.14, -0.66, 3561, 267, -218, 216, -128, 3569
91193.23, 10.97, 0.11, -0.73, -0.14, -0.66, 3560, 303, -181, 257, -145, 3565
91524.00, 10.93, 0.11, -0.73, -0.14, -0.66, 3558, 305, -216, 221, -153, 3567
91644.00, 10.91, -0.02, -0.75, 0.01, -0.66, 3482, 508, -313, 74, -490, 3497
91648.00, 10.91, -0.21, -0.72, 0.23, -0.62, 3531, 540, -250, -84, -536, 3539
91657.00, 10.91, -0.27, -0.69, 0.29, -0.60, 3584, 401, -101, 21, -442, 3580
91673.00, 10.91, -0.40, -0.61, 0.44, -0.53, 3593, 364, -51, -139, -466, 3579
91682.00, 10.91, -0.39, -0.62, 0.41, -0.54, 3556, 369, -173, -151, -296, 3563
91688.00, 10.91, -0.39, -0.62, 0.41, -0.54, 3555, 347, -186, -126, -249, 3565
91680.00, 10.91, -0.39, -0.62, 0.40, -0.55, 3564, 348, -212, -129, -213, 3578
91668.00, 10.91, -0.39, -0.62, 0.40, -0.55, 3564, 339, -199, -111, -216, 3577
91657.00, 10.91, -0.38, -0.63, 0.40, -0.55, 3558, 342, -195, -110, -219, 3571
91652.00, 10.91, -0.38, -0.63, 0.39, -0.55, 3554, 338, -204, -107, -208, 3568
91646.00, 10.91, -0.38, -0.63, 0.39, -0.56, 3564, 329, -223, -103, -189, 3579
91647.00, 10.91, -0.50, -0.51, 0.54, -0.44, 3555, 456, -135, -365, -237, 3560
91136.32, 10.97, -0.61, -0.32, 0.67, -0.27, 3575, 450, 30, -568, -121, 3556
91598.00, 10.92, -0.65, -0.20, 0.72, -0.17, 3574, 429, -16, -495, 97, 3564
91648.00, 10.91, -0.65, -0.21, 0.71, -0.17, 3575, 371, -94, -340, 85, 3578
91647.00, 10.91, -0.65, -0.21, 0.71, -0.17, 3569, 347, -133, -264, 82, 3577
91646.00, 10.91, -0.65, -0.22, 0.70, -0.18, 3577, 321, -151, -223, 67, 3587
91644.00, 10.91, -0.65, -0.22, 0.70, -0.18, 3559, 332, -143, -229, 72, 3569
91641.00, 10.91, -0.65, -0.23, 0.70, -0.18, 3575, 327, -136, -229, 59, 3584
91643.00, 10.91, -0.65, -0.23, 0.70, -0.19, 3578, 332, -146, -223, 66, 3588
91658.00, 10.91, -0.65, -0.24, 0.70, -0.19, 3571, 330, -147, -221, 63, 3581
91671.00, 10.91, -0.65, -0.24, 0.69, -0.19, 3566, 326, -145, -220, 58, 3576
91679.00, 10.91, -0.65, -0.24, 0.69, -0.20, 3564, 329, -140, -226, 55, 3574
91687.00, 10.91, -0.65, -0.25, 0.69, -0.20, 3572, 329, -145, -224, 54, 3582
91680.00, 10.91, -0.65, -0.25, 0.69, -0.21, 3574, 327, -138, -228, 45, 3584
91670.00, 10.91, -0.65, -0.26, 0.69, -0.21, 3569, 302, -179, -147, 42, 3582
91159.36, 10.97, -0.65, -0.26, 0.68, -0.21, 3583, 258, -192, -72, 6, 3596
91562.00, 10.92, -0.65, -0.26, 0.68, -0.20, 3575, 246, -206, -36, 2, 3589
91646.00, 10.91, -0.65, -0.26, 0.68, -0.20, 3570, 248, -220, -17, 10, 3585
91646.00, 10.91, -0.65, -0.26, 0.68, -0.20, 3570, 240, -214, -13, 0, 3584
