seconds,meters,us,esc,odometer_ticks,ax,spur_delta_us,spur_odo
0.0,0.0,3704767242,1767,414,0.42,56944,414
0.009965,0.020466,3704777207,1400,420,0.33,56944,414
0.020213,0.040932,3704787455,1400,426,0.02,56944,414
0.029951,0.061398,3704797193,1400,432,-0.18,57595,415
0.040188,0.081864,3704807430,1400,438,-0.41,57595,415
0.049921,0.098919,3704817163,1400,443,-0.08,57595,415
0.060162,0.119385,3704827404,1400,449,-1.17,57595,415
0.070176,0.13644,3704837418,1400,454,-1.86,57595,415
0.079906,0.156906,3704847148,1400,460,-2.29,57595,415
0.08989,0.177372,3704857132,1400,466,-2.42,57595,415
0.099871,0.194427,3704867113,1400,471,-2.32,57595,415
0.110114,0.214893,3704877356,1400,477,-2.47,57595,415
0.119843,0.231948,3704887085,1400,482,-2.5,57595,415
0.130069,0.249003,3704897311,1400,487,-2.79,57595,415
0.139838,0.269469,3704907080,1400,493,-3.13,108687,416
0.150066,0.286524,3704917308,1400,498,-3.24,108687,416
0.159816,0.303579,3704927058,1400,503,-2.91,108687,416
0.170024,0.317223,3704937266,1400,507,-2.68,108687,416
0.180026,0.334278,3704947268,1400,512,-2.6,108687,416
0.189749,0.351333,3704956991,1400,517,-2.73,108687,416
0.199762,0.368388,3704967004,1400,522,-2.96,108687,416
0.209983,0.385443,3704977225,1400,527,-2.94,108687,416
0.219973,0.399087,3704987215,1400,531,-2.76,108687,416
0.229727,0.416142,3704996969,1400,536,-2.58,97956,417
0.239978,0.433197,3705007220,1400,541,-2.7,97956,417
0.249708,0.446841,3705016950,1400,545,-2.79,97956,417
0.259922,0.460485,3705027164,1400,549,-2.78,97956,417
0.269905,0.47754,3705037147,1400,554,-2.69,97956,417
0.27991,0.491184,3705047152,1400,558,-2.58,97956,417
0.289645,0.508239,3705056887,1400,563,-2.32,97956,417
0.30012,0.521883,3705067362,1400,567,-2.56,97956,417
0.309618,0.535527,3705076860,1400,571,-2.7,97956,417
0.319586,0.549171,3705086828,1400,575,-2.7,97956,417
0.329572,0.562815,3705096814,1400,579,-2.69,100161,418
0.339824,0.576459,3705107066,1400,583,-2.63,100161,418
0.349583,0.590103,3705116825,1400,587,-2.47,100161,418
0.359798,0.600336,3705127040,1400,590,-2.11,100161,418
0.369522,0.61398,3705136764,1400,594,-2.04,100161,418
0.379774,0.627624,3705147016,1400,598,-2.01,100161,418
0.389495,0.637857,3705156737,1400,601,-2.15,100161,418
0.399757,0.651501,3705166999,1400,605,-2.46,100161,418
0.409514,0.665145,3705176756,1400,609,-2.51,100161,418
0.41972,0.675378,3705186962,1400,612,-2.4,100161,418
0.429464,0.685611,3705196706,1400,615,-2.22,100161,418
0.439695,0.699255,3705206937,1400,619,-2.04,106770,419
0.449426,0.709488,3705216668,1400,622,-1.84,106770,419
0.459418,0.719721,3705226660,1400,625,-1.79,106770,419
0.469648,0.729954,3705236890,1400,628,-1.94,106770,419
0.479658,0.740187,3705246900,1400,631,-1.94,106770,419
0.489436,0.753831,3705256678,1400,635,-1.96,106770,419
0.49942,0.764064,3705266662,1400,638,-1.79,106770,419
0.509371,0.770886,3705276613,1400,640,-1.66,106770,419
0.519349,0.781119,3705286591,1400,643,-1.68,106770,419
0.529359,0.791352,3705296601,1400,646,-1.68,106770,419
0.539577,0.801585,3705306819,1400,649,-1.62,106770,419
0.5498,0.811818,3705317042,1400,652,-1.46,106770,419
0.559302,0.822051,3705326544,1400,655,-1.31,119514,420
0.569537,0.832284,3705336779,1400,658,-1.36,119514,420
0.579398,0.839106,3705346640,1400,660,-1.5,119514,420
0.589271,0.849339,3705356513,1400,663,-1.36,119514,420
0.59949,0.859572,3705366732,1400,666,-1.32,119514,420
0.609253,0.866394,3705376495,1400,668,-1.27,119514,420
0.619447,0.876627,3705386689,1400,671,-1.18,119514,420
0.629196,0.883449,3705396438,1400,673,-1.18,119514,420
0.639459,0.893682,3705406701,1400,676,-1.22,119514,420
0.649208,0.900504,3705416450,1400,678,-1.25,119514,420
0.659171,0.910737,3705426413,1400,681,-1.13,119514,420
0.669151,0.917559,3705436393,1400,683,-1.02,119514,420
0.679415,0.927792,3705446657,1400,686,-0.8,119514,420
0.689139,0.934614,3705456381,1400,688,-0.72,119514,420
0.699122,0.941436,3705466364,1400,690,-0.74,138790,421
0.709357,0.948258,3705476599,1400,692,-0.79,138790,421
0.71912,0.958491,3705486362,1400,695,-0.86,138790,421
0.729112,0.965313,3705496354,1400,697,-0.83,138790,421
0.739158,0.972135,3705506400,1400,699,-0.73,138790,421
0.749314,0.982368,3705516556,1400,702,-0.62,138790,421
0.759063,0.98919,3705526305,1400,704,-0.68,138790,421
0.769288,0.996012,3705536530,1400,706,-0.73,138790,421
0.779287,1.002834,3705546529,1400,708,-0.72,138790,421
0.789061,1.009656,3705556303,1400,710,-0.72,138790,421
0.799019,1.016478,3705566261,1400,712,-0.67,138790,421
0.809,1.0233,3705576242,1400,714,-0.59,138790,421
0.818968,1.030122,3705586210,1400,716,-0.56,138790,421
0.828971,1.036944,3705596213,1400,718,-0.52,138790,421
0.839206,1.043766,3705606448,1400,720,-0.56,138790,421
0.849458,1.050588,3705616700,1400,722,-0.61,138790,421
0.858957,1.05741,3705626199,1400,724,-0.53,165079,422
0.869193,1.064232,3705636435,1400,726,-0.48,165079,422
0.879153,1.071054,3705646395,1400,728,-0.35,165079,422
0.888907,1.077876,3705656149,1400,730,-0.36,165079,422
0.899182,1.084698,3705666424,1400,732,-0.33,165079,422
0.908905,1.088109,3705676147,1400,733,-0.36,165079,422
0.918877,1.094931,3705686119,1400,735,-0.35,165079,422
0.928874,1.101753,3705696116,1400,737,-0.33,165079,422
0.938846,1.108575,3705706088,1400,739,-0.35,165079,422
0.94884,1.115397,3705716082,1400,741,-0.32,165079,422
0.959066,1.122219,3705726308,1400,743,-0.33,165079,422
0.968811,1.12563,3705736053,1400,744,-0.3,165079,422
0.979049,1.132452,3705746291,1400,746,-0.3,165079,422
0.988842,1.139274,3705756084,1400,748,-0.3,165079,422
0.999028,1.146096,3705766270,1400,750,-0.32,165079,422
1.009004,1.149507,3705776246,1400,751,-0.27,165079,422
1.018762,1.156329,3705786004,1400,753,-0.33,165079,422
1.028987,1.163151,3705796229,1400,755,-0.32,165079,422
1.038718,1.166562,3705805960,1400,756,-0.33,165079,422
1.048942,1.173384,3705816184,1400,758,-0.34,165079,422
1.058957,1.180206,3705826199,1400,760,-0.31,196402,423
1.068957,1.183617,3705836199,1400,761,-0.28,196402,423
1.07866,1.190439,3705845902,1400,763,-0.28,196402,423
1.088666,1.19385,3705855908,1400,764,-0.31,196402,423
1.098886,1.200672,3705866128,1400,766,-0.29,196402,423
1.108644,1.204083,3705875886,1400,767,-0.35,196402,423
1.118898,1.210905,3705886140,1400,769,-0.41,196402,423
1.128653,1.217727,3705895895,1400,771,-0.41,196402,423
1.138835,1.221138,3705906077,1400,772,-0.37,196402,423
1.148831,1.22796,3705916073,1400,774,-0.33,196402,423
1.158564,1.231371,3705925806,1400,775,-0.26,196402,423
1.168847,1.238193,3705936089,1400,777,-0.26,196402,423
1.178537,1.241604,3705945779,1400,778,-0.26,196402,423
1.188789,1.245015,3705956031,1400,779,-0.24,196402,423
1.19853,1.251837,3705965772,1400,781,-0.22,196402,423
1.208731,1.255248,3705975973,1400,782,-0.2,196402,423
1.218756,1.258659,3705985998,1400,783,-0.14,196402,423
1.228757,1.265481,3705995999,1400,785,-0.18,196402,423
1.238531,1.268892,3706005773,1400,786,-0.19,196402,423
1.248475,1.272303,3706015717,1400,787,-0.12,196402,423
1.258708,1.279125,3706025950,1400,789,-0.09,196402,423
1.268533,1.282536,3706035775,1400,790,-0.15,196402,423
1.278445,1.285947,3706045687,1400,791,-0.18,196402,423
1.288442,1.292769,3706055684,1400,793,-0.2,196402,423
1.298428,1.29618,3706065670,1400,794,-0.2,196402,423
1.308409,1.299591,3706075651,1400,795,-0.17,244174,424
1.318385,1.303002,3706085627,1400,796,-0.16,244174,424
1.328599,1.309824,3706095841,1400,798,-0.19,244174,424
1.338369,1.313235,3706105611,1400,799,-0.2,244174,424
1.348356,1.316646,3706115598,1400,800,-0.15,244174,424
1.358608,1.320057,3706125850,1400,801,-0.12,244174,424
1.368578,1.326879,3706135820,1400,803,-0.14,244174,424
1.378327,1.33029,3706145569,1400,804,-0.23,244174,424
1.388564,1.333701,3706155806,1400,805,-0.24,244174,424
1.398279,1.337112,3706165521,1400,806,-0.22,244174,424
1.408488,1.340523,3706175730,1400,807,-0.21,244174,424
1.418262,1.343934,3706185504,1400,808,-0.25,244174,424
1.428241,1.347345,3706195483,1400,809,-0.24,244174,424
1.438237,1.350756,3706205479,1400,810,-0.21,244174,424
1.448227,1.354167,3706215469,1400,811,-0.23,244174,424
1.458445,1.357578,3706225687,1400,812,-0.22,244174,424
1.468198,1.360989,3706235440,1400,813,-0.18,244174,424
1.478461,1.3644,3706245703,1400,814,-0.14,244174,424
1.488246,1.367811,3706255488,1400,815,-0.14,244174,424
1.498419,1.371222,3706265661,1400,816,-0.18,244174,424
1.508153,1.374633,3706275395,1400,817,-0.17,244174,424
1.518402,1.378044,3706285644,1400,818,-0.14,244174,424
1.528135,1.381455,3706295377,1400,819,-0.1,244174,424
1.538373,1.384866,3706305615,1400,820,-0.06,244174,424
1.548352,1.384866,3706315594,1400,820,-0.08,244174,424
1.558105,1.388277,3706325347,1400,821,-0.08,244174,424
1.568331,1.391688,3706335573,1400,822,-0.04,244174,424
1.578074,1.395099,3706345316,1400,823,-0.07,244174,424
1.588289,1.39851,3706355531,1400,824,-0.09,244174,424
1.598308,1.401921,3706365550,1400,825,-0.13,244174,424
1.608023,1.405332,3706375265,1400,826,-0.13,244174,424
1.618514,1.408743,3706385756,1400,827,-0.08,244174,424
1.628028,1.408743,3706395270,1400,827,-0.06,244174,424
1.638486,1.412154,3706405728,1400,828,-0.01,244174,424
1.647979,1.415565,3706415221,1400,829,-0.06,244174,424
1.658217,1.418976,3706425459,1400,830,-0.16,354979,425
1.668236,1.418976,3706435478,1400,830,-0.17,354979,425
1.677962,1.422387,3706445204,1400,831,-0.09,354979,425
1.688196,1.425798,3706455438,1400,832,-0.09,354979,425
1.697935,1.425798,3706465177,1400,832,-0.13,354979,425
1.708181,1.429209,3706475423,1400,833,-0.11,354979,425
1.717892,1.43262,3706485134,1400,834,-0.08,354979,425
1.727881,1.436031,3706495123,1400,835,-0.08,354979,425
1.738174,1.436031,3706505416,1400,835,-0.24,354979,425
1.748107,1.439442,3706515349,1400,836,-0.31,354979,425
1.757985,1.439442,3706525227,1400,836,-0.21,354979,425
1.767856,1.442853,3706535098,1400,837,-0.08,354979,425
1.778084,1.446264,3706545326,1400,838,-0.07,354979,425
1.788073,1.446264,3706555315,1400,838,-0.05,354979,425
1.798055,1.449675,3706565297,1400,839,-0.12,354979,425
1.807788,1.449675,3706575030,1400,839,-0.29,354979,425
1.818034,1.453086,3706585276,1400,840,-0.28,354979,425
1.827805,1.453086,3706595047,1400,840,-0.15,354979,425
1.838246,1.456497,3706605488,1400,841,-0.08,354979,425
1.847769,1.456497,3706615011,1400,841,-0.03,354979,425
1.858214,1.459908,3706625456,1400,842,-0.04,354979,425
1.867718,1.459908,3706634960,1400,842,-0.2,354979,425
1.877981,1.463319,3706645223,1400,843,-0.18,354979,425
1.887948,1.463319,3706655190,1400,843,-0.06,354979,425
1.897679,1.46673,3706664921,1400,844,0.04,354979,425
1.907679,1.46673,3706674921,1400,844,-0.05,354979,425
1.917652,1.46673,3706684894,1400,844,-0.11,354979,425
