seconds,meters,us,esc,odometer_ticks,ax,spur_delta_us,spur_odo
0.0,0.0,3942343080,1758,348,0.56,58478,455
0.009992,0.020466,3942353072,1350,354,0.88,58616,456
0.019993,0.037521,3942363073,1350,359,0.57,58616,456
0.02999,0.057987,3942373070,1350,365,0.26,58616,456
0.040003,0.078453,3942383083,1350,371,-0.08,58616,456
0.049995,0.095508,3942393075,1350,376,-0.29,58616,456
0.060001,0.115974,3942403081,1350,382,-0.38,58616,456
0.07,0.133029,3942413080,1350,387,-1.29,58616,456
0.08,0.153495,3942423080,1350,393,-1.91,58616,456
0.090014,0.173961,3942433094,1350,399,-2.6,58616,456
0.100008,0.191016,3942443088,1350,404,-2.89,58616,456
0.109992,0.208071,3942453072,1350,409,-2.69,58616,456
0.120013,0.228537,3942463093,1350,415,-2.43,111208,457
0.130001,0.242181,3942473081,1350,419,-2.36,111208,457
0.140007,0.262647,3942483087,1350,425,-2.68,111208,457
0.149998,0.279702,3942493078,1350,430,-2.96,111208,457
0.159998,0.296757,3942503078,1350,435,-3.24,111208,457
0.170007,0.310401,3942513087,1350,439,-3.22,111208,457
0.180002,0.327456,3942523082,1350,444,-3.0,111208,457
0.190008,0.344511,3942533088,1350,449,-2.72,111208,457
0.200004,0.361566,3942543084,1350,454,-2.71,111208,457
0.210006,0.37521,3942553086,1350,458,-2.75,111208,457
0.220009,0.392265,3942563089,1350,463,-2.77,111208,457
0.230004,0.405909,3942573084,1350,467,-2.98,111208,457
0.240005,0.422964,3942583085,1350,472,-2.96,111208,457
0.250006,0.436608,3942593086,1350,476,-2.94,134235,458
0.259998,0.450252,3942603078,1350,480,-2.87,134235,458
0.270002,0.467307,3942613082,1350,485,-2.69,134235,458
0.28001,0.480951,3942623090,1350,489,-2.73,134235,458
0.290007,0.494595,3942633087,1350,493,-2.77,134235,458
0.300004,0.508239,3942643084,1350,497,-2.62,134235,458
0.310004,0.521883,3942653084,1350,501,-2.49,134235,458
0.32,0.532116,3942663080,1350,504,-2.51,134235,458
0.330011,0.54576,3942673091,1350,508,-2.51,134235,458
0.340002,0.559404,3942683082,1350,512,-2.85,134235,458
0.350008,0.573048,3942693088,1350,516,-2.79,134235,458
0.360001,0.583281,3942703081,1350,519,-2.61,134235,458
0.370013,0.596925,3942713093,1350,523,-2.33,134235,458
0.380002,0.610569,3942723082,1350,527,-2.32,134235,458
0.389999,0.620802,3942733079,1350,530,-2.39,134235,458
0.4,0.631035,3942743080,1350,533,-2.5,147330,459
0.410001,0.641268,3942753081,1350,536,-2.52,147330,459
0.420005,0.651501,3942763085,1350,539,-2.49,147330,459
0.430005,0.665145,3942773085,1350,543,-2.42,147330,459
0.440003,0.675378,3942783083,1350,546,-2.29,147330,459
0.450009,0.685611,3942793089,1350,549,-2.1,147330,459
0.460001,0.695844,3942803081,1350,552,-2.0,147330,459
0.470011,0.706077,3942813091,1350,555,-2.09,147330,459
0.480007,0.71631,3942823087,1350,558,-2.2,147330,459
0.490001,0.723132,3942833081,1350,560,-2.2,147330,459
0.5,0.733365,3942843080,1350,563,-2.14,147330,459
0.509995,0.743598,3942853075,1350,566,-2.01,147330,459
0.52,0.75042,3942863080,1350,568,-2.0,147330,459
0.530011,0.760653,3942873091,1350,571,-2.03,147330,459
0.546148,0.774297,3942889228,1350,575,-1.86,147330,459
0.556391,0.781119,3942899471,1350,577,-1.9,153898,460
0.566171,0.791352,3942909251,1350,580,-2.01,153898,460
0.576123,0.798174,3942919203,1350,582,-2.01,153898,460
0.586379,0.808407,3942929459,1350,585,-1.89,153898,460
0.59634,0.815229,3942939420,1350,587,-1.73,153898,460
0.606356,0.822051,3942949436,1350,589,-1.58,153898,460
0.616318,0.828873,3942959398,1350,591,-1.66,153898,460
0.626126,0.832284,3942969206,1350,592,-1.73,153898,460
0.63608,0.842517,3942979160,1350,595,-1.76,153898,460
0.646057,0.845928,3942989137,1350,596,-1.64,153898,460
0.656526,0.856161,3942999606,1350,599,-1.48,153898,460
0.666039,0.859572,3943009119,1350,600,-1.38,153898,460
0.676258,0.866394,3943019338,1350,602,-1.32,153898,460
0.686205,0.873216,3943029285,1350,604,-1.36,153898,460
0.695987,0.876627,3943039067,1350,605,-1.38,153898,460
0.705966,0.883449,3943049046,1350,607,-1.34,153898,460
0.716206,0.890271,3943059286,1350,609,-1.26,153898,460
0.725963,0.893682,3943069043,1350,610,-1.11,153898,460
0.736202,0.900504,3943079282,1350,612,-1.06,185264,461
0.745927,0.903915,3943089007,1350,613,-1.07,185264,461
0.756143,0.910737,3943099223,1350,615,-1.08,185264,461
0.765892,0.914148,3943108972,1350,616,-0.95,185264,461
0.776152,0.92097,3943119232,1350,618,-0.83,185264,461
0.786136,0.924381,3943129216,1350,619,-0.68,185264,461
0.795863,0.931203,3943138943,1350,621,-0.71,185264,461
0.806109,0.934614,3943149189,1350,622,-0.77,185264,461
0.815858,0.938025,3943158938,1350,623,-0.76,185264,461
0.826089,0.944847,3943169169,1350,625,-0.69,185264,461
0.835829,0.948258,3943178909,1350,626,-0.62,185264,461
0.846067,0.951669,3943189147,1350,627,-0.57,185264,461
0.8558,0.95508,3943198880,1350,628,-0.58,185264,461
0.866012,0.958491,3943209092,1350,629,-0.59,185264,461
0.87583,0.961902,3943218910,1350,630,-0.64,185264,461
0.886263,0.965313,3943229343,1350,631,-0.6,185264,461
0.895756,0.968724,3943238836,1350,632,-0.56,185264,461
0.905993,0.975546,3943249073,1350,634,-0.5,185264,461
0.915724,0.978957,3943258804,1350,635,-0.48,185264,461
0.925984,0.982368,3943269064,1350,636,-0.45,185264,461
0.935715,0.985779,3943278795,1350,637,-0.43,185264,461
0.945943,0.98919,3943289023,1350,638,-0.32,185264,461
0.955689,0.992601,3943298769,1350,639,-0.35,185264,461
0.965897,0.996012,3943308977,1350,640,-0.36,185264,461
0.975672,0.996012,3943318752,1350,640,-0.33,185264,461
0.985901,0.999423,3943328981,1350,641,-0.32,185264,461
0.995635,1.002834,3943338715,1350,642,-0.33,185264,461
1.006111,1.006245,3943349191,1350,643,-0.3,185264,461
1.015617,1.009656,3943358697,1350,644,-0.27,185264,461
1.025589,1.013067,3943368669,1350,645,-0.32,185264,461
1.035817,1.016478,3943378897,1350,646,-0.31,185264,461
