seconds,meters,us,esc,odometer_ticks,ax,spur_delta_us,spur_odo
0.0,0.0,407836099,1824,704,0.7,34718,305
0.00996,0.030699,407846059,1470,713,0.79,34718,305
0.02019,0.061398,407856289,1470,722,0.77,34718,305
0.029923,0.092097,407866022,1470,731,0.12,47804,306
0.040183,0.122796,407876282,1470,740,-0.39,47804,306
0.049919,0.153495,407886018,1470,749,-1.14,47804,306
0.060163,0.184194,407896262,1470,758,-2.15,47804,306
0.069889,0.214893,407905988,1470,767,-2.8,47804,306
0.079889,0.245592,407915988,1470,776,-3.23,47804,306
0.090098,0.27288,407926197,1470,784,-3.01,47804,306
0.099912,0.300168,407936011,1470,792,-2.9,47804,306
0.109826,0.330867,407945925,1470,801,-3.15,80258,307
0.120053,0.361566,407956152,1470,810,-3.35,80258,307
0.129799,0.388854,407965898,1470,818,-3.25,80258,307
0.139798,0.416142,407975897,1470,826,-3.29,80258,307
0.149783,0.446841,407985882,1470,835,-3.19,80258,307
0.160026,0.474129,407996125,1470,843,-3.18,80258,307
0.169755,0.501417,408005854,1470,851,-3.45,80258,307
0.180002,0.528705,408016101,1470,859,-3.54,80258,307
0.189732,0.555993,408025831,1470,867,-3.48,80258,307
0.199745,0.583281,408035844,1470,875,-3.38,80258,307
0.20996,0.610569,408046059,1470,883,-3.02,93488,308
0.219929,0.634446,408056028,1470,890,-2.64,93488,308
0.229919,0.661734,408066018,1470,898,-3.13,93488,308
0.239681,0.689022,408075780,1470,906,-3.2,93488,308
0.249907,0.71631,408086006,1470,914,-3.27,93488,308
0.259632,0.740187,408095731,1470,921,-3.06,93488,308
0.269636,0.764064,408105735,1470,928,-3.08,93488,308
0.279857,0.791352,408115956,1470,936,-3.08,93488,308
0.289843,0.815229,408125942,1470,943,-3.11,93488,308
0.299835,0.839106,408135934,1470,950,-2.86,92802,309
0.309579,0.862983,408145678,1470,957,-2.99,92802,309
0.319565,0.88686,408155664,1470,964,-2.8,92802,309
0.329542,0.914148,408165641,1470,972,-2.76,92802,309
