seconds,meters,us,esc,odometer_ticks,odometer_last_us,ax,spur_delta_us,spur_odo
0.0,0.0,1304650394,1826,28143,1304649323,0.51,37478,1288
0.009998,0.030699,1304660392,1403,28152,1304659474,0.57,37478,1288
0.019991,0.061398,1304670385,1403,28161,1304669826,-0.01,37478,1288
0.030006,0.092097,1304680400,1403,28170,1304680004,0.19,37478,1288
0.039997,0.119385,1304690391,1403,28178,1304689314,0.61,37478,1288
0.050003,0.150084,1304700397,1403,28187,1304699537,-0.5,37478,1288
0.060002,0.180783,1304710396,1403,28196,1304709736,-1.47,37478,1288
0.070002,0.211482,1304720396,1403,28205,1304719743,-2.52,37478,1288
0.079998,0.242181,1304730392,1403,28214,1304730274,-2.63,37478,1288
0.090008,0.269469,1304740402,1403,28222,1304739729,-3.12,37478,1288
0.100013,0.300168,1304750407,1403,28231,1304750174,-2.93,37478,1288
0.110003,0.327456,1304760397,1403,28239,1304759668,-3.08,37478,1288
0.120001,0.354744,1304770395,1403,28247,1304769163,-3.16,123919,1289
0.13001,0.385443,1304780404,1403,28256,1304780286,-3.41,123919,1289
0.140007,0.412731,1304790401,1403,28264,1304789816,-3.45,123919,1289
0.15,0.440019,1304800394,1403,28272,1304799885,-3.3,123919,1289
0.160007,0.467307,1304810401,1403,28280,1304809840,-3.69,123919,1289
0.170002,0.494595,1304820396,1403,28288,1304819924,-3.66,123919,1289
0.180005,0.521883,1304830399,1403,28296,1304829855,-3.89,123919,1289
0.190006,0.549171,1304840400,1403,28304,1304839871,-3.69,123919,1289
0.199999,0.576459,1304850393,1403,28312,1304850162,-3.42,123919,1289
0.210001,0.600336,1304860395,1403,28319,1304859370,-3.28,93082,1290
0.22,0.627624,1304870394,1403,28327,1304869749,-3.0,93082,1290
0.230009,0.654912,1304880403,1403,28335,1304880194,-3.32,93082,1290
0.240008,0.678789,1304890402,1403,28342,1304889669,-3.52,93082,1290
0.250013,0.702666,1304900407,1403,28349,1304898894,-3.78,93082,1290
0.260009,0.729954,1304910403,1403,28357,1304910113,-3.63,93082,1290
0.270005,0.753831,1304920399,1403,28364,1304919730,-3.3,93082,1290
0.279995,0.777708,1304930389,1403,28371,1304929781,-3.1,93082,1290
0.289998,0.801585,1304940392,1403,28378,1304939512,-3.13,93082,1290
0.300001,0.825462,1304950395,1403,28385,1304949144,-3.1,91314,1291
0.31001,0.849339,1304960404,1403,28392,1304959252,-3.44,91314,1291
0.320001,0.873216,1304970395,1403,28399,1304969135,-3.21,91314,1291
0.330005,0.897093,1304980399,1403,28406,1304979484,-3.39,91314,1291
0.340003,0.92097,1304990397,1403,28413,1304989822,-3.11,91314,1291
