seconds,meters,us,esc,odometer_ticks,ax,spur_delta_us,spur_odo
0.0,0.0,4076688499,1824,577,0.43,34573,1909
0.009997,0.027288,4076698496,1480,585,0.24,34573,1909
0.019991,0.057987,4076708490,1480,594,0.41,35249,1910
0.029985,0.088686,4076718484,1480,603,0.19,35249,1910
0.039988,0.119385,4076728487,1480,612,-0.04,35249,1910
0.04998,0.150084,4076738479,1480,621,-0.31,35806,1911
0.059995,0.180783,4076748494,1480,630,0.16,35806,1911
0.069993,0.211482,4076758492,1480,639,-0.34,35806,1911
0.079993,0.242181,4076768492,1480,648,-0.8,35806,1911
0.089994,0.27288,4076778493,1480,657,-0.98,40015,1912
0.099998,0.303579,4076788497,1480,666,-1.7,40015,1912
0.109988,0.334278,4076798487,1480,675,-2.01,40015,1912
0.119998,0.364977,4076808497,1480,684,-1.71,40015,1912
0.129986,0.395676,4076818485,1480,693,-1.81,40342,1913
0.139999,0.422964,4076828498,1480,701,-1.87,40342,1913
0.149988,0.453663,4076838487,1480,710,-1.73,40342,1913
0.159996,0.484362,4076848495,1480,719,-1.98,40342,1913
0.169996,0.515061,4076858495,1480,728,-2.66,39682,1914
0.179995,0.54576,4076868494,1480,737,-2.25,39682,1914
0.18999,0.573048,4076878489,1480,745,-2.04,39682,1914
0.199993,0.603747,4076888492,1480,754,-1.67,39682,1914
0.210002,0.634446,4076898501,1480,763,-2.15,40521,1915
0.219994,0.661734,4076908493,1480,771,-1.99,40521,1915
0.230163,0.692433,4076918662,1480,780,-1.77,40521,1915
0.239981,0.719721,4076928480,1480,788,-1.89,40521,1915
0.250003,0.75042,4076938502,1480,797,-2.13,41365,1916
0.259995,0.777708,4076948494,1480,805,-1.77,41365,1916
0.269992,0.808407,4076958491,1480,814,-1.92,41365,1916
0.280246,0.839106,4076968745,1480,823,-2.15,41365,1916
0.290008,0.866394,4076978507,1480,831,-1.93,41406,1917
0.300183,0.893682,4076988682,1480,839,-1.73,41406,1917
0.309997,0.92097,4076998496,1480,847,-1.44,41406,1917
0.319995,0.951669,4077008494,1480,856,-2.02,41406,1917
0.329999,0.978957,4077018498,1480,864,-2.2,41406,1917
0.339988,1.009656,4077028487,1480,873,-1.78,42089,1918
