seconds,meters,us,esc,odometer_ticks,ax,spur_delta_us,spur_odo
0.0,0.0,1499445648,1824,768,-0.1,34925,1404
0.010228,0.030699,1499455876,1200,777,0.21,34925,1404
0.019956,0.057987,1499465604,1200,785,0.05,34925,1404
0.030217,0.088686,1499475865,1200,794,0.29,33092,1405
0.040175,0.119385,1499485823,1200,803,0.17,33092,1405
0.049947,0.150084,1499495595,1200,812,0.28,33092,1405
0.060164,0.180783,1499505812,1200,821,0.05,33092,1405
0.069899,0.208071,1499515547,1200,829,-0.53,33092,1405
0.080135,0.23877,1499525783,1200,838,-1.33,45612,1406
0.089896,0.269469,1499535544,1200,847,-2.26,45612,1406
0.099885,0.300168,1499545533,1200,856,-2.16,45612,1406
0.110357,0.330867,1499556005,1200,865,-1.94,45612,1406
0.119833,0.358155,1499565481,1200,873,-2.22,42170,1407
0.130327,0.388854,1499575975,1200,882,-2.2,42170,1407
0.139874,0.416142,1499585522,1200,890,-2.04,42170,1407
0.150047,0.446841,1499595695,1200,899,-2.69,42170,1407
0.160058,0.474129,1499605706,1200,907,-2.79,41913,1408
0.1698,0.504828,1499615448,1200,916,-2.43,41913,1408
0.179759,0.532116,1499625407,1200,924,-2.08,41913,1408
0.189979,0.559404,1499635627,1200,932,-2.02,41913,1408
0.199751,0.590103,1499645399,1200,941,-2.25,41913,1408
0.209989,0.617391,1499655637,1200,949,-2.42,41712,1409
0.21973,0.644679,1499665378,1200,957,-1.91,41712,1409
0.229938,0.675378,1499675586,1200,966,-2.28,41712,1409
0.23971,0.699255,1499685358,1200,973,-2.29,41712,1409
0.249911,0.729954,1499695559,1200,982,-1.91,44634,1410
0.259926,0.757242,1499705574,1200,990,-2.12,44634,1410
0.269661,0.78453,1499715309,1200,998,-2.33,44634,1410
0.279673,0.811818,1499725321,1200,1006,-2.33,44634,1410
0.289881,0.839106,1499735529,1200,1014,-2.0,43193,1411
0.299852,0.866394,1499745500,1200,1022,-1.84,43193,1411
0.30961,0.893682,1499755258,1200,1030,-1.92,43193,1411
0.319863,0.92097,1499765511,1200,1038,-2.33,43193,1411
0.329825,0.948258,1499775473,1200,1046,-2.16,43193,1411
0.339578,0.972135,1499785226,1200,1053,-1.72,45661,1412
0.349549,0.999423,1499795197,1200,1061,-1.75,45661,1412
0.35955,1.026711,1499805198,1200,1069,-2.03,45661,1412
0.369771,1.053999,1499815419,1200,1077,-1.93,45661,1412
0.379533,1.081287,1499825181,1200,1085,-2.3,44222,1413
0.389597,1.108575,1499835245,1200,1093,-2.2,44222,1413
0.399731,1.132452,1499845379,1200,1100,-2.12,44222,1413
0.409506,1.156329,1499855154,1200,1107,-1.69,44222,1413
0.419461,1.183617,1499865109,1200,1115,-1.56,44222,1413
0.429931,1.210905,1499875579,1200,1123,-1.74,47456,1414
0.439478,1.234782,1499885126,1200,1130,-2.02,47456,1414
0.449915,1.26207,1499895563,1200,1138,-2.28,47456,1414
0.459415,1.285947,1499905063,1200,1145,-1.75,47456,1414
0.469652,1.313235,1499915300,1200,1153,-1.5,47456,1414
0.479392,1.337112,1499925040,1200,1160,-1.65,47049,1415
0.489626,1.360989,1499935274,1200,1167,-1.75,47049,1415
0.499627,1.388277,1499945275,1200,1175,-1.7,47049,1415
0.509357,1.412154,1499955005,1200,1182,-1.95,47049,1415
0.519612,1.436031,1499965260,1200,1189,-1.78,47049,1415
0.529366,1.459908,1499975014,1200,1196,-1.84,49118,1416
0.53957,1.487196,1499985218,1200,1204,-1.44,49118,1416
0.549542,1.511073,1499995190,1200,1211,-1.45,49118,1416
0.559544,1.53495,1500005192,1200,1218,-1.58,49118,1416
0.569556,1.558827,1500015204,1200,1225,-1.8,49118,1416
0.579516,1.582704,1500025164,1200,1232,-1.92,49212,1417
0.589253,1.606581,1500034901,1200,1239,-1.57,49212,1417
0.599498,1.630458,1500045146,1200,1246,-1.4,49212,1417
0.609458,1.654335,1500055106,1200,1253,-1.53,49212,1417
0.619232,1.678212,1500064880,1200,1260,-1.59,49212,1417
0.629724,1.702089,1500075372,1200,1267,-1.49,49974,1418
0.639264,1.725966,1500084912,1200,1274,-1.81,49974,1418
0.649439,1.749843,1500095087,1200,1281,-1.59,49974,1418
0.659166,1.770309,1500104814,1200,1287,-1.61,49974,1418
0.669404,1.794186,1500115052,1200,1294,-1.48,49974,1418
0.679404,1.818063,1500125052,1200,1301,-1.37,52412,1419
0.689113,1.838529,1500134761,1200,1307,-1.46,52412,1419
0.699354,1.862406,1500145002,1200,1314,-1.55,52412,1419
0.70913,1.886283,1500154778,1200,1321,-1.54,52412,1419
0.71933,1.906749,1500164978,1200,1327,-1.26,52412,1419
0.729081,1.930626,1500174729,1200,1334,-1.01,54586,1420
0.739293,1.951092,1500184941,1200,1340,-1.1,54586,1420
0.749042,1.974969,1500194690,1200,1347,-1.44,54586,1420
0.759292,1.995435,1500204940,1200,1353,-1.54,54586,1420
0.769039,2.019312,1500214687,1200,1360,-1.39,54586,1420
