seconds,meters,us,esc,odometer_ticks,ax,spur_delta_us,spur_odo
0.0,0.0,937608501,1824,71690,0.38,36737,6571
0.009989,0.03411,937618490,1340,71700,0.77,36737,6571
0.019995,0.064809,937628496,1340,71709,0.31,36737,6571
0.029983,0.095508,937638484,1340,71718,0.07,36737,6571
0.039997,0.122796,937648498,1340,71726,-0.14,36737,6571
0.049986,0.153495,937658487,1340,71735,0.1,46220,6572
0.059982,0.184194,937668483,1340,71744,-0.11,46220,6572
0.06999,0.214893,937678491,1340,71753,-1.6,46220,6572
0.079998,0.245592,937688499,1340,71762,-2.25,46220,6572
0.089991,0.276291,937698492,1340,71771,-2.51,46220,6572
0.099993,0.30699,937708494,1340,71780,-2.74,46220,6572
0.109986,0.337689,937718487,1340,71789,-2.8,46220,6572
0.119983,0.364977,937728484,1340,71797,-2.84,46220,6572
0.13,0.395676,937738501,1340,71806,-3.29,46220,6572
0.139987,0.422964,937748488,1340,71814,-3.24,46220,6572
0.149997,0.450252,937758498,1340,71822,-3.49,46220,6572
0.159988,0.480951,937768489,1340,71831,-3.36,106067,6573
0.169989,0.508239,937778490,1340,71839,-3.39,106067,6573
0.179991,0.535527,937788492,1340,71847,-3.29,106067,6573
0.189986,0.562815,937798487,1340,71855,-3.07,106067,6573
0.199996,0.590103,937808497,1340,71863,-2.99,106067,6573
0.209993,0.617391,937818494,1340,71871,-3.14,106067,6573
0.219998,0.644679,937828499,1340,71879,-3.31,106067,6573
0.229996,0.671967,937838497,1340,71887,-3.18,106067,6573
0.239984,0.699255,937848485,1340,71895,-3.45,106067,6573
0.249998,0.726543,937858499,1340,71903,-3.16,106067,6573
0.259997,0.753831,937868498,1340,71911,-3.13,106067,6573
0.269985,0.777708,937878486,1340,71918,-2.94,106067,6573
0.279992,0.804996,937888493,1340,71926,-3.17,106067,6573
0.28999,0.828873,937898491,1340,71933,-2.95,106067,6573
0.299996,0.856161,937908497,1340,71941,-2.99,106067,6573
0.309984,0.880038,937918485,1340,71948,-2.96,155472,6574
0.319994,0.903915,937928495,1340,71955,-2.8,155472,6574
0.329991,0.927792,937938492,1340,71962,-2.97,155472,6574
0.339988,0.951669,937948489,1340,71969,-2.95,155472,6574
0.349993,0.978957,937958494,1340,71977,-2.85,155472,6574
0.359986,1.002834,937968487,1340,71984,-2.87,155472,6574
0.369987,1.026711,937978488,1340,71991,-2.98,155472,6574
0.379992,1.047177,937988493,1340,71997,-2.94,155472,6574
0.389987,1.071054,937998488,1340,72004,-2.71,155472,6574
0.399999,1.094931,938008500,1340,72011,-2.71,155472,6574
0.409998,1.118808,938018499,1340,72018,-2.76,155472,6574
0.419995,1.139274,938028496,1340,72024,-2.59,155472,6574
0.429997,1.163151,938038498,1340,72031,-2.84,155472,6574
0.439994,1.183617,938048495,1340,72037,-2.75,155472,6574
0.449989,1.207494,938058490,1340,72044,-2.68,155472,6574
0.459994,1.22796,938068495,1340,72050,-2.55,155472,6574
0.469997,1.248426,938078498,1340,72056,-2.42,161736,6575
0.479987,1.272303,938088488,1340,72063,-2.6,161736,6575
0.489993,1.292769,938098494,1340,72069,-2.53,161736,6575
0.499999,1.313235,938108500,1340,72075,-2.3,161736,6575
0.509988,1.333701,938118489,1340,72081,-2.58,161736,6575
0.519991,1.354167,938128492,1340,72087,-2.48,161736,6575
0.529987,1.374633,938138488,1340,72093,-2.42,161736,6575
0.539988,1.395099,938148489,1340,72099,-2.49,161736,6575
0.549992,1.412154,938158493,1340,72104,-2.59,161736,6575
0.559994,1.43262,938168495,1340,72110,-2.45,161736,6575
0.569993,1.453086,938178494,1340,72116,-2.41,161736,6575
0.579988,1.470141,938188489,1340,72121,-2.37,161736,6575
0.590204,1.490607,938198705,1340,72127,-2.4,161736,6575
0.599988,1.507662,938208489,1340,72132,-2.4,161736,6575
0.609984,1.524717,938218485,1340,72137,-2.31,161736,6575
0.619995,1.545183,938228496,1340,72143,-2.14,161736,6575
0.629993,1.562238,938238494,1340,72148,-2.12,157854,6576
