seconds,meters,us,esc,odometer_ticks,odometer_last_us,ax,spur_delta_us,spur_odo
0.0,0.0,179310393,1821,763,179309597,-0.27,37461,27
0.009998,0.030699,179320391,1403,772,179319591,0.16,33953,28
0.02,0.061398,179330393,1403,781,179329834,-0.18,33953,28
0.029999,0.092097,179340392,1403,790,179339909,0.35,33953,28
0.04,0.119385,179350393,1403,798,179349317,0.32,33953,28
0.050009,0.150084,179360402,1403,807,179360088,-0.84,33953,28
0.059991,0.177372,179370384,1403,815,179369435,-1.8,33953,28
0.070005,0.208071,179380398,1403,824,179379616,-2.6,67834,29
0.080002,0.23877,179390395,1403,833,179390158,-2.86,67834,29
0.089998,0.266058,179400391,1403,841,179399704,-2.54,67834,29
0.099998,0.296757,179410391,1403,850,179410341,-2.44,67834,29
0.110004,0.324045,179420397,1403,858,179419922,-2.84,67834,29
0.12,0.351333,179430393,1403,866,179429366,-2.89,67834,29
0.130003,0.378621,179440396,1403,874,179439224,-3.37,67834,29
0.140003,0.40932,179450396,1403,883,179450243,-3.28,67834,29
0.150004,0.436608,179460397,1403,891,179460158,-3.24,67834,29
0.160007,0.463896,179470400,1403,899,179470099,-2.99,67834,29
0.170005,0.487773,179480398,1403,906,179478698,-3.18,98329,30
0.18001,0.515061,179490403,1403,914,179489131,-3.31,98329,30
0.190002,0.542349,179500395,1403,922,179499268,-3.48,98329,30
0.200003,0.569637,179510396,1403,930,179509823,-3.18,98329,30
0.210011,0.596925,179520404,1403,938,179520205,-2.79,98329,30
0.219992,0.620802,179530385,1403,945,179529488,-2.94,98329,30
0.230002,0.64809,179540395,1403,953,179539827,-3.02,98329,30
0.240001,0.675378,179550394,1403,961,179550230,-3.07,98329,30
0.250013,0.699255,179560406,1403,968,179559767,-3.38,98329,30
0.260004,0.723132,179570397,1403,975,179569284,-2.83,98329,30
0.270004,0.747009,179580397,1403,982,179578730,-2.68,96982,31
0.280005,0.774297,179590398,1403,990,179589858,-2.73,96982,31
0.29016,0.798174,179600553,1403,997,179599375,-2.95,96982,31
0.300006,0.822051,179610399,1403,1004,179609457,-3.27,96982,31
0.31,0.845928,179620393,1403,1011,179619039,-3.19,96982,31
0.319996,0.869805,179630389,1403,1018,179629007,-3.07,96982,31
0.329996,0.893682,179640389,1403,1025,179639664,-2.68,96982,31
0.340005,0.917559,179650398,1403,1032,179649989,-2.46,96982,31
0.350006,0.941436,179660399,1403,1039,179660265,-2.94,96982,31
0.360004,0.965313,179670397,1403,1046,179670161,-3.01,96982,31
0.37,0.985779,179680393,1403,1052,179679097,-2.76,100008,32
0.380002,1.009656,179690395,1403,1059,179689631,-2.77,100008,32
0.390014,1.033533,179700407,1403,1066,179700236,-2.48,100008,32
0.400015,1.053999,179710408,1403,1072,179709541,-2.23,100008,32
0.410015,1.074465,179720408,1403,1078,179718530,-2.3,100008,32
0.420007,1.098342,179730400,1403,1085,179729692,-2.47,100008,32
0.430017,1.122219,179740410,1403,1092,179740291,-2.97,100008,32
0.440008,1.142685,179750401,1403,1098,179749743,-2.92,100008,32
0.45,1.163151,179760393,1403,1104,179760099,-2.92,100008,32
0.460005,1.183617,179770398,1403,1110,179769792,-2.47,100008,32
0.470005,1.204083,179780398,1403,1116,179780012,-2.05,96977,33
0.480011,1.224549,179790404,1403,1122,179789810,-1.96,96977,33
0.489997,1.245015,179800390,1403,1128,179799740,-2.25,96977,33
0.500007,1.265481,179810400,1403,1134,179809461,-2.59,96977,33
0.510008,1.285947,179820401,1403,1140,179819812,-2.67,96977,33
0.520004,1.306413,179830397,1403,1146,179830082,-2.4,96977,33
0.53638,1.337112,179846773,1403,1155,179846281,-2.49,96977,33
0.540005,1.343934,179850398,1403,1157,179849716,-2.49,96977,33
0.550002,1.360989,179860395,1403,1162,179858601,-2.22,96977,33
0.560003,1.381455,179870396,1403,1168,179869345,-2.29,96977,33
0.576163,1.412154,179886556,1403,1177,179885642,-2.24,102893,34
0.586158,1.429209,179896551,1403,1182,179894774,-2.43,102893,34
0.596145,1.449675,179906538,1403,1188,179906146,-2.47,102893,34
0.606159,1.46673,179916552,1403,1193,179915926,-2.52,102893,34
0.616353,1.483785,179926746,1403,1198,179926130,-2.39,102893,34
0.626121,1.50084,179936514,1403,1203,179936029,-2.21,102893,34
0.636096,1.517895,179946489,1403,1208,179946141,-1.94,102893,34
0.646319,1.53495,179956712,1403,1213,179956183,-1.7,102893,34
0.656077,1.552005,179966470,1403,1218,179965993,-1.87,102893,34
0.666065,1.56906,179976458,1403,1223,179976364,-2.19,102893,34
0.676344,1.586115,179986737,1403,1228,179986679,-2.3,104288,35
0.68605,1.599759,179996443,1403,1232,179995170,-2.33,104288,35
0.696014,1.616814,180006407,1403,1237,180005883,-2.07,104288,35
0.706253,1.633869,180016646,1403,1242,180016596,-2.05,104288,35
0.715983,1.647513,180026376,1403,1246,180025413,-1.99,104288,35
0.726219,1.661157,180036612,1403,1250,180034273,-1.97,104288,35
0.735973,1.678212,180046366,1403,1255,180046072,-1.73,104288,35
0.746191,1.691856,180056584,1403,1259,180055582,-1.92,104288,35
0.756226,1.7055,180066619,1403,1263,180064989,-2.04,104288,35
0.765961,1.719144,180076354,1403,1267,180074228,-1.93,104288,35
0.775951,1.736199,180086344,1403,1272,180085804,-2.01,102573,36
