seconds,meters,us,esc,odometer_ticks,odometer_last_us,ax,spur_delta_us,spur_odo
0.0,0.0,268687133,1860,9390,268686632,-0.59,22722,417
0.009919,0.047754,268697052,1860,9404,268696862,-0.23,22722,417
0.01982,0.092097,268706953,1860,9417,268706250,0.14,23187,418
0.030236,0.143262,268717369,1403,9432,268716916,0.39,23187,418
0.039913,0.191016,268727046,1403,9446,268726760,0.09,23937,419
0.050076,0.242181,268737209,1403,9461,268737161,-0.22,23937,419
0.059739,0.286524,268746872,1403,9474,268746346,-0.02,23937,419
0.069913,0.337689,268757046,1403,9489,268756974,-1.37,23937,419
0.07981,0.385443,268766943,1403,9503,268766784,-1.91,23937,419
0.08972,0.433197,268776853,1403,9517,268776414,-3.24,23937,419
0.100135,0.480951,268787268,1403,9531,268786770,-3.51,23937,419
0.109797,0.528705,268796930,1403,9545,268796526,-3.74,23937,419
0.119711,0.576459,268806844,1403,9559,268806530,-4.72,83526,420
0.129881,0.620802,268817014,1403,9572,268816982,-5.15,83526,420
0.139792,0.665145,268826925,1403,9585,268826516,-8.04,83526,420
0.149686,0.709488,268836819,1403,9598,268836521,-7.99,83526,420
0.159839,0.753831,268846972,1403,9611,268846349,-6.43,32606,421
0.169732,0.798174,268856865,1403,9624,268856335,-5.66,32606,421
0.180135,0.842517,268867268,1403,9637,268866878,-7.13,32606,421
0.189781,0.883449,268876914,1403,9649,268876391,-6.3,32606,421
0.199928,0.927792,268887061,1403,9662,268886741,-5.6,39532,422
0.209832,0.968724,268896965,1403,9674,268896528,-5.48,39532,422
0.219978,1.009656,268907111,1403,9686,268906496,-4.2,39532,422
0.229903,1.050588,268917036,1403,9698,268916180,-6.78,39532,422
0.239576,1.09152,268926709,1403,9710,268926384,-6.41,44430,423
0.249717,1.132452,268936850,1403,9722,268936740,-6.38,44430,423
0.259868,1.169973,268947001,1403,9733,268946301,-7.04,44430,423
0.269523,1.207494,268956656,1403,9744,268955829,-6.05,44430,423
0.27967,1.248426,268966803,1403,9756,268966171,-4.83,44430,423
0.289556,1.285947,268976689,1403,9767,268976093,-5.66,45284,424
0.299951,1.323468,268987084,1403,9778,268986600,-5.45,45284,424
0.309851,1.360989,268996984,1403,9789,268996797,-5.66,45284,424
0.319749,1.395099,269006882,1403,9799,269006584,-7.27,45284,424
0.329659,1.429209,269016792,1403,9809,269016565,-5.69,43430,425
0.33958,1.463319,269026713,1403,9819,269026316,-5.75,43430,425
0.349733,1.497429,269036866,1403,9829,269036321,-5.76,43430,425
0.359888,1.531539,269047021,1403,9839,269046504,-7.22,43430,425
0.369535,1.562238,269056668,1403,9848,269055496,-5.56,45050,426
0.379668,1.596348,269066801,1403,9858,269066014,-5.82,45050,426
0.38956,1.627047,269076693,1403,9867,269075910,-6.28,45050,426
0.399459,1.657746,269086592,1403,9876,269086055,-5.79,45050,426
0.409596,1.688445,269096729,1403,9885,269095979,-6.78,45050,426
0.419491,1.719144,269106624,1403,9894,269106193,-5.76,45832,427
0.429387,1.749843,269116520,1403,9903,269116442,-5.26,45832,427
