secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s,road_sign_label,road_sign_command,arg1,arg2,arg3
0.0,0.0,0.0,-0.334029,0.0,0,-289.38,0,1661,1521,0.002798,,,,,
0.901,-0.222351,0.317481,-0.323253,0.0306039,0,-289.5,0,1663,1544,0.235777,,,,,
1.04,-0.21091,0.34785,-0.311517,0.0635848,0,-289.62,0,1651,1520,0.435728,,,,,
1.121,-0.19851,0.380595,-0.30134,0.0920598,0,-289.69,0,1648,1520,0.5042,,,,,
1.181,-0.187946,0.408931,-0.29117,0.120391,0,-289.75,0,1623,1500,0.60504,,,,,
1.231,-0.177444,0.437143,-0.279425,0.153098,0,-289.69,0,1627,1489,0.441175,,,,,
1.311,-0.166031,0.46997,-0.267765,0.185741,0,-289.56,0,1657,1486,0.5042,,,,,
1.381,-0.15509,0.502869,-0.255404,0.220517,0,-289.5,0,1653,1477,0.548043,,,,,
1.45,-0.143061,0.537763,-0.243089,0.255326,0,-289.38,0,1654,1475,0.619918,,,,,
1.511,-0.131411,0.572806,-0.23083,0.290128,0,-289.31,0,1657,1486,0.63025,,,,,
1.571,-0.119539,0.607745,-0.219411,0.322859,0,-289.06,0,1657,1491,0.70588,,,,,
1.621,-0.109508,0.640959,-0.207276,0.357979,0,-289.0,0,1677,1490,0.7563,,,,,
1.671,-0.0977064,0.676194,-0.194418,0.395488,0,-288.81,0,1677,1489,0.80672,,,,,
1.721,-0.0859041,0.714064,-0.183967,0.425947,0,-289.12,0,1677,1488,0.819325,,,,,
1.761,-0.0737304,0.743931,-0.17343,0.456372,0,-289.38,0,1677,1489,0.840333,,,,,
1.8,-0.061752,0.773853,-0.162763,0.486761,0,-289.19,0,1677,1489,1.02416,,,,,
1.832,-0.0521382,0.80461,-0.149643,0.524164,0,-289.31,0,1677,1489,1.03426,,,,,
1.871,-0.0383531,0.84178,-0.138995,0.554559,0,-289.69,0,1677,1491,1.1301,,,,,
1.9,-0.0256005,0.87143,-0.127301,0.587256,0,-289.56,0,1677,1491,1.10294,,,,,
1.932,-0.0146259,0.904384,-0.115602,0.619959,0,-289.75,0,1677,1493,1.21703,,,,,
1.961,-0.0018764,0.936712,-0.103881,0.652683,0,-289.62,0,1677,1493,1.21703,,,,,
1.99,0.00912561,0.969693,-0.0904402,0.690067,0,-289.75,0,1677,1492,1.30116,,,,,
2.021,0.0232857,1.00682,-0.0786984,0.722782,0,-289.62,0,1677,1495,1.21703,,,,,
2.05,0.0343085,1.03979,-0.066167,0.757958,0,-289.56,0,1677,1498,1.18172,,,,,
2.082,0.0465079,1.07509,-0.053739,0.793203,0,-289.12,0,1677,1501,1.30397,,,,,
2.111,0.0564972,1.11119,-0.0406522,0.831031,0,-289.0,0,1677,1519,1.3909,,,,,
2.14,0.0689178,1.14925,-0.0267563,0.871527,0,-288.81,0,1678,1517,1.38248,,,,,
2.171,0.0817578,1.1901,-0.0145978,0.907252,0,-288.75,0,1677,1515,1.30397,,,,,
2.2,0.0935827,1.22594,-0.00409212,0.938183,0,-288.62,0,1677,1515,1.56062,,,,,
2.221,0.103365,1.25712,0.00870635,0.976289,0,-288.81,0,1677,1515,1.3909,,,,,
2.25,0.11722,1.29486,0.0184335,1.00483,0,-288.81,0,1673,1514,1.44057,,,,,
2.271,0.126948,1.32341,0.0305537,1.04047,0,-289.0,0,1677,1511,1.30397,,,,,
2.3,0.140124,1.35869,0.0403768,1.06893,0,-289.0,0,1677,1514,1.37509,,,,,
2.322,0.149947,1.38714,0.0534909,1.10701,0,-288.88,0,1678,1521,1.44057,,,,,
2.35,0.162394,1.42545,0.0632605,1.13563,0,-288.75,0,1677,1516,1.37509,,,,,
2.372,0.171441,1.45432,0.0770019,1.17609,0,-288.75,0,1677,1513,1.53061,,,,,
2.4,0.185182,1.49478,0.0874962,1.20698,0,-288.75,0,1677,1515,1.48968,,,,,
2.422,0.195677,1.52567,0.100447,1.2451,0,-289.0,0,1677,1531,1.44057,,,,,
2.45,0.210017,1.56331,0.111866,1.27833,0,-288.94,0,1677,1536,1.60427,,,,,
2.472,0.221103,1.59666,0.124834,1.31621,0,-288.88,0,1677,1546,1.44057,,,,,
2.5,0.233737,1.63465,0.138521,1.35625,0,-288.94,0,1677,1556,1.33928,,,,,
2.532,0.247758,1.67458,0.152208,1.39619,0,-288.94,0,1677,1554,1.42857,,,,,
2.562,0.261444,1.71451,0.165897,1.43616,0,-288.94,0,1676,1550,1.53061,,,,,
2.59,0.275133,1.75449,0.17649,1.46674,0,-289.38,0,1677,1546,1.48968,,,,,
2.612,0.288168,1.78422,0.190564,1.50673,0,-289.5,0,1677,1545,1.53061,,,,,
2.64,0.302906,1.82398,0.201383,1.53733,0,-289.56,0,1675,1540,1.48968,,,,,
2.662,0.314058,1.85446,0.211438,1.56562,0,-289.75,0,1677,1536,1.5126,,,,,
2.682,0.325164,1.88237,0.226737,1.608,0,-290.06,0,1674,1538,1.5126,,,,,
2.712,0.342175,1.92413,0.239605,1.64321,0,-290.19,0,1675,1545,1.35054,,,,,
2.74,0.35576,1.95908,0.250889,1.67361,0,-290.62,0,1675,1544,1.48968,,,,,
2.762,0.369411,1.9886,0.26493,1.71098,0,-290.69,0,1675,1544,1.44057,,,,,
2.79,0.383837,2.02583,0.277235,1.74369,0,-290.62,0,1674,1544,1.60427,,,,,
2.812,0.395758,2.05868,0.291319,1.78105,0,-290.88,0,1675,1542,1.44057,,,,,
2.84,0.411269,2.09549,0.303846,1.8137,0,-291.12,0,1675,1540,1.60427,,,,,
2.862,0.425113,2.12764,0.314665,1.84168,0,-291.19,0,1674,1540,1.5126,,,,,
2.882,0.436315,2.15548,0.330885,1.88367,0,-291.06,0,1675,1541,1.5126,,,,,
2.912,0.451822,2.19774,0.345236,1.92097,0,-291.12,0,1675,1542,1.44057,,,,,
2.94,0.466502,2.23492,0.35609,1.94892,0,-291.5,0,1675,1543,1.37509,,,,,
2.962,0.479436,2.26205,0.370724,1.98611,0,-291.56,0,1676,1545,1.44057,,,,,
2.99,0.494398,2.29911,0.383545,2.0186,0,-291.62,0,1677,1546,1.60427,,,,,
3.012,0.507547,2.33148,0.398243,2.05569,0,-291.69,0,1677,1547,1.44057,,,,,
3.04,0.522627,2.36841,0.410237,2.08579,0,-291.81,0,1677,1544,1.48968,,,,,
3.062,0.535275,2.39825,0.422292,2.11591,0,-291.94,0,1677,1544,1.63865,,,,,
3.082,0.548039,2.42808,0.439112,2.1576,0,-292.12,0,1677,1540,1.5126,,,,,
3.112,0.565839,2.46938,0.455085,2.19698,0,-292.06,0,1677,1542,1.53061,,,,,
3.14,0.581486,2.50889,0.467232,2.22709,0,-292.06,0,1677,1542,1.48968,,,,,
3.162,0.593633,2.539,0.482256,2.26409,0,-292.19,0,1676,1545,1.44057,,,,,
3.19,0.609363,2.57572,0.49456,2.2941,0,-292.5,0,1677,1545,1.48968,,,,,
3.212,0.623353,2.60503,0.5108,2.33334,0,-292.5,0,1677,1539,1.53061,,,,,
3.24,0.639592,2.64427,0.524216,2.36571,0,-292.62,0,1677,1534,1.60427,,,,,
3.262,0.653659,2.67637,0.535778,2.39348,0,-292.62,0,1677,1531,1.5126,,,,,
3.282,0.665221,2.70414,0.547378,2.42128,0,-293.0,0,1677,1527,1.68067,,,,,
3.3,0.678879,2.73107,0.560153,2.45138,0,-293.06,0,1677,1525,1.48968,,,,,
3.322,0.691978,2.76104,0.576924,2.49078,0,-292.81,0,1677,1520,1.53061,,,,,
3.35,0.707397,2.80101,0.590633,2.52328,0,-293.0,0,1677,1518,1.60427,,,,,
3.372,0.722133,2.83308,0.606391,2.56036,0,-293.25,0,1677,1519,1.44057,,,,,
3.4,0.739242,2.86958,0.619302,2.59045,0,-293.25,0,1677,1519,1.48968,,,,,
3.422,0.752153,2.89967,0.637196,2.63209,0,-293.25,0,1677,1517,1.62064,,,,,
3.45,0.770047,2.94131,0.650093,2.66214,0,-293.25,0,1677,1512,1.48968,,,,,
3.472,0.782944,2.97136,0.661998,2.6898,0,-293.38,0,1677,1513,1.68067,,,,,
3.49,0.79555,2.99872,0.676066,2.72199,0,-293.75,0,1678,1510,1.60427,,,,,
3.512,0.81161,3.03004,0.688205,2.74952,0,-293.81,0,1677,1511,1.5126,,,,,
3.532,0.824072,3.05743,0.700354,2.77704,0,-293.81,0,1677,1508,1.68067,,,,,
3.55,0.83622,3.08494,0.714508,2.80912,0,-293.81,0,1677,1508,1.60427,,,,,
3.572,0.850374,3.11703,0.730725,2.84582,0,-293.94,0,1677,1515,1.44057,,,,,
3.6,0.86729,3.15342,0.744998,2.87801,0,-293.81,0,1677,1516,1.60427,,,,,
3.622,0.880865,3.18591,0.762296,2.91712,0,-293.62,0,1677,1517,1.53061,,,,,
3.65,0.897141,3.22547,0.77643,2.94938,0,-293.62,0,1677,1519,1.60427,,,,,
3.672,0.911275,3.25773,0.794613,2.9909,0,-293.69,0,1677,1519,1.62064,,,,,
3.7,0.929834,3.29909,0.808781,3.02319,0,-293.69,0,1677,1519,1.60427,,,,,
3.722,0.944003,3.33138,0.820911,3.05087,0,-293.69,0,1677,1517,1.68067,,,,,
3.74,0.956133,3.35906,0.834069,3.0808,0,-293.75,0,1677,1514,1.48968,,,,,
3.762,0.969614,3.38885,0.847227,3.11069,0,-293.75,0,1679,1514,1.63865,,,,,
3.782,0.982771,3.41874,0.864464,3.14977,0,-293.88,0,1676,1514,1.42857,,,,,
3.812,1.00071,3.45751,0.878691,3.18195,0,-293.81,0,1676,1514,1.7647,,,,,
3.832,1.01456,3.48985,0.89696,3.22331,0,-293.88,0,1677,1515,1.5126,,,,,
3.862,1.0332,3.53105,0.910186,3.25317,0,-293.81,0,1677,1512,1.63865,,,,,
3.882,1.04605,3.56108,0.922349,3.28072,0,-293.56,0,1677,1512,1.68067,,,,,
3.9,1.05687,3.58922,0.93642,3.31292,0,-293.62,0,1677,1510,1.60427,,,,,
3.922,1.07127,3.62128,0.948471,3.34049,0,-293.62,0,1677,1509,1.68067,,,,,
3.94,1.08332,3.64885,0.961547,3.37032,0,-293.62,0,1677,1509,1.56062,,,,,
3.961,1.09639,3.67867,0.975606,3.40244,0,-293.62,0,1677,1509,1.68067,,,,,
3.982,1.11045,3.71079,0.992696,3.44144,0,-293.69,0,1676,1509,1.42857,,,,,
4.012,1.12792,3.74963,1.00577,3.47125,0,-293.62,0,1676,1506,1.63865,,,,,
4.032,1.14061,3.77961,1.0178,3.49875,0,-293.81,0,1677,1507,1.68067,,,,,
4.05,1.15367,3.80666,1.03198,3.5308,0,-293.81,0,1677,1506,1.60427,,,,,
4.072,1.16785,3.8387,1.0441,3.55826,0,-293.75,0,1676,1506,1.68067,,,,,
4.09,1.17964,3.86631,1.05824,3.59031,0,-293.81,0,1677,1506,1.60427,,,,,
4.112,1.1941,3.89821,1.07036,3.61777,0,-293.75,0,1676,1506,1.5126,,,,,
4.132,1.20591,3.92582,1.08247,3.64525,0,-293.62,0,1677,1506,1.68067,,,,,
4.15,1.21731,3.9536,1.09651,3.67733,0,-293.62,0,1677,1507,1.60427,,,,,
4.172,1.23136,3.98569,1.10856,3.70486,0,-293.62,0,1677,1508,1.68067,,,,,
4.19,1.2434,4.01321,1.12066,3.73236,0,-293.81,0,1676,1508,1.37509,,,,,
4.212,1.25653,4.04027,1.13381,3.76213,0,-293.75,0,1677,1506,1.63865,,,,,
4.232,1.26935,4.07017,1.1459,3.7896,0,-293.5,0,1677,1506,1.68067,,,,,
4.25,1.2801,4.09824,1.1599,3.82171,0,-293.5,0,1677,1506,1.60427,,,,,
4.272,1.2941,4.13034,1.17187,3.84924,0,-293.44,0,1677,1507,1.68067,,,,,
4.29,1.30575,4.15802,1.18593,3.88136,0,-293.75,0,1677,1508,1.68067,,,,,
4.311,1.32147,4.18941,1.19907,3.91116,0,-293.75,0,1677,1509,1.56062,,,,,
4.332,1.33461,4.21921,1.21119,3.93869,0,-293.81,0,1677,1511,1.68067,,,,,
4.35,1.34705,4.24659,1.22535,3.97082,0,-293.81,0,1677,1513,1.60427,,,,,
4.372,1.36122,4.27873,1.2416,4.00755,0,-293.75,0,1676,1512,1.44057,,,,,
4.4,1.37715,4.3156,1.25576,4.03971,0,-293.81,0,1676,1512,1.60427,,,,,
4.422,1.39163,4.34761,1.26792,4.06726,0,-293.81,0,1677,1511,1.68067,,,,,
4.44,1.40379,4.37516,1.28114,4.09705,0,-294.0,0,1677,1510,1.56062,,,,,
4.461,1.41803,4.40451,1.2944,4.12681,0,-293.94,0,1676,1506,1.56062,,,,,
4.482,1.43097,4.4344,1.30661,4.15423,0,-294.0,0,1677,1507,1.68067,,,,,
4.5,1.44349,4.46169,1.32088,4.18623,0,-294.06,0,1677,1506,1.60427,,,,,
4.522,1.45809,4.49354,1.33312,4.21365,0,-293.94,0,1677,1507,1.68067,,,,,
4.54,1.46969,4.52124,1.34735,4.24567,0,-293.94,0,1677,1507,1.60427,,,,,
4.562,1.48392,4.55327,1.36158,4.27769,0,-293.94,0,1677,1507,1.7647,,,,,
4.582,1.49815,4.58529,1.37886,4.31658,0,-293.94,0,1677,1507,1.42857,,,,,
4.612,1.51543,4.62417,1.39207,4.34631,0,-293.88,0,1677,1506,1.63865,,,,,
4.632,1.52832,4.65405,1.40422,4.37377,0,-293.88,0,1677,1507,1.68067,,,,,
4.65,1.54046,4.68151,1.41841,4.4058,0,-293.81,0,1677,1508,1.68067,,,,,
4.671,1.55428,4.71371,1.43663,4.44714,0,-293.88,0,1679,1514,1.56476,,,,,
4.7,1.57287,4.75487,1.45089,4.47933,0,-293.88,0,1679,1521,1.60427,,,,,
4.722,1.58713,4.78707,1.46315,4.50698,0,-293.81,0,1679,1522,1.68067,,,,,
4.74,1.59901,4.81489,1.47635,4.53692,0,-293.81,0,1679,1526,1.56062,,,,,
