secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334029,0,0,-289.38,0,1661,1521,1.65228
1.04,-0.210814,0.348219,-0.311421,0.0639537,0,-289.62,0,1651,1520,1.04966
1.832,-0.0506159,0.806254,-0.148121,0.525808,0,-289.31,0,1677,1489,3
2.221,0.104547,1.25866,0.00988859,0.977827,0,-288.81,0,1677,1515,3
2.562,0.261363,1.71312,0.165816,1.43477,0,-288.94,0,1676,1550,3
2.882,0.437938,2.16026,0.332508,1.88845,0,-291.06,0,1675,1541,3
3.212,0.623796,2.60771,0.511243,2.33602,0,-292.5,0,1677,1539,3
3.532,0.824458,3.05864,0.70074,2.77825,0,-293.81,0,1677,1508,3
3.832,1.01548,3.49153,0.897884,3.22499,0,-293.88,0,1677,1515,3
4.132,1.20609,3.92636,1.08265,3.64579,0,-293.62,0,1677,1506,3
4.44,1.40446,4.37596,1.28181,4.09785,0,-294,0,1677,1510,3
4.74,1.59981,4.81633,1.47715,4.53836,0,-293.81,0,1679,1526,3
5.05,1.79822,5.27366,1.67778,4.99745,0,-293.44,0,1680,1517,3
5.35,2.00189,5.72371,1.87586,5.44724,0,-294.25,0,1679,1519,3
5.64,2.19979,6.15579,2.07417,5.87918,0,-294.62,0,1679,1524,3
5.94,2.40983,6.60723,2.28236,6.33148,0,-294.75,0,1676,1518,3
6.22,2.60753,7.03699,2.48165,6.7632,0,-294.69,0,1679,1527,3
6.5,2.80964,7.48166,2.68435,7.20753,0,-294.5,0,1679,1531,3
6.78,3.01829,7.92106,2.88916,7.64886,0,-295.06,0,1679,1521,3
7.06,3.22639,8.3651,3.09785,8.09254,0,-295.25,0,1679,1518,3
7.34,3.4342,8.80541,3.30465,8.53331,0,-295.06,0,1679,1524,3
7.62,3.64111,9.24749,3.51319,8.97462,0,-295.12,0,1678,1528,3
7.9,3.84614,9.68124,3.71827,9.41096,0,-295.19,0,1677,1509,3
8.18,4.04814,10.1203,3.92058,9.84434,0,-294.75,0,1677,1511,3
8.48,4.25555,10.5733,4.12894,10.297,0,-294.62,0,1677,1512,3
8.78,4.46345,11.0256,4.33545,10.7472,0,-294.69,0,1689,1507,3
9.06,4.66222,11.4606,4.53724,11.1864,0,-294.44,0,1494,1517,3
9.421,4.86405,11.9123,4.74089,11.6372,0,-294.06,0,1665,1514,3
9.791,5.05569,12.3443,4.93411,12.0713,0,-293.94,0,1665,1528,3
10.171,5.24201,12.7898,5.12601,12.5115,0,-292.62,0,1661,1553,2.67304
10.56,5.43477,13.2197,5.31209,12.9465,0,-294.44,0,1661,1564,2.29357
10.972,5.66193,13.6334,5.52154,13.3724,0,-299.12,0,1659,1644,1.8365
11.36,5.93132,13.9411,5.73965,13.7015,0,-310.06,0,1631,1774,1.31789
11.792,6.30493,14.0934,6.04368,13.9446,0,-332.38,0,1641,1730,1.4621
12.232,6.69033,14.1036,6.38955,14.0548,0,-352.88,0,1629,1703,1.64633
12.71,7.13153,13.9593,6.84138,14.0248,0,-14.12,0,1620,1694,1.68862
13.1,7.50831,13.6744,7.25884,13.8327,0,-34.25,0,1687,1773,1.60507
13.421,7.7571,13.2771,7.57704,13.5225,0,-54.75,0,1683,1700,1.8166
13.7,7.88441,12.8108,7.7846,13.0927,0,-71.81,0,1682,1524,3
13.99,7.98399,12.3319,7.91521,12.6232,0,-77.38,0,1681,1493,3
14.33,8.04767,11.8727,8.00119,12.1609,0,-80.06,0,1684,1493,3
14.72,8.1321,11.4094,8.07863,11.7065,0,-80.12,0,1715,1489,3
15.13,8.24957,10.9464,8.17574,11.2391,0,-75.06,0,1713,1496,2.7998
15.5,8.37578,10.4909,8.30401,10.7757,0,-76.12,0,1711,1517,2.4389
15.9,8.42762,10.0076,8.39196,10.3022,0,-83.38,0,1711,1497,3
16.29,8.43727,9.52196,8.4217,9.81695,0,-86.94,0,1710,1447,3
16.61,8.48897,9.03477,8.45491,9.33949,0,-83.19,0,1709,1506,2.89257
16.94,8.59112,8.57453,8.5356,8.86352,0,-78.94,0,1709,1504,3
17.23,8.71888,8.12513,8.64642,8.40759,0,-76.06,0,1674,1542,2.67393
17.581,8.7872,7.64059,8.73982,7.93583,0,-80.75,0,1672,1548,2.64528
17.97,8.78835,7.15876,8.78289,7.46086,0,-89.81,0,1673,1577,2.79982
18.32,8.76652,6.82324,8.77083,7.12586,0,-90.25,0,1675,1438,2.54835
18.742,8.8048,6.3512,8.78399,6.64853,0,-85.88,0,1656,1432,3
