secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334819,3.2423e-06,0,-298.31,0,1745,1071,0.0315125
0.08,-0.175213,0.2963,-0.321226,0.0257007,0,-296.69,0,1685,1210,0.58458
0.149,-0.17006,0.326391,-0.308486,0.0515804,0,-294.88,0,1677,1289,0.860829
0.19,-0.166893,0.356895,-0.293978,0.0837094,0,-292.88,0,1665,1320,1.0084
0.23,-0.163126,0.39378,-0.281306,0.114674,0,-291.31,0,1789,1453,0.88235
0.27,-0.158999,0.428213,-0.269162,0.146438,0,-290.38,0,1821,1468,0.904974
0.309,-0.15196,0.461922,-0.257254,0.178761,0,-289.88,0,1837,1496,1.13852
0.34,-0.14281,0.495255,-0.245423,0.211571,0,-289.75,0,1851,1500,1.17647
0.37,-0.131697,0.528324,-0.231954,0.249105,0,-289.69,0,1876,1502,1.3909
0.399,-0.118559,0.565976,-0.216844,0.291364,0,-289.56,0,1887,1505,1.46381
0.43,-0.104169,0.608492,-0.201815,0.333748,0,-289.5,0,1890,1506,1.56476
0.459,-0.0894719,0.650994,-0.190139,0.366786,0,-289.31,0,1893,1500,1.68067
0.48,-0.0788486,0.684403,-0.174401,0.411646,0,-289.25,0,1896,1507,1.65169
0.509,-0.0634432,0.729379,-0.162009,0.447077,0,-289.19,0,1500,1511,1.80071
0.53,-0.0513846,0.764926,-0.149659,0.482586,0,-289,0,1500,1513,1.99026
0.549,-0.0400887,0.8008,-0.134906,0.525319,0,-289.06,0,1500,1519,2.16086
0.57,-0.0250025,0.843418,-0.120971,0.565683,0,-289.06,0,1764,1511,2.04081
0.591,-0.0110677,0.883782,-0.108661,0.601284,0,-289.06,0,1764,1508,2.10083
0.609,0.00124225,0.919384,-0.0939069,0.643926,0,-289,0,1764,1511,2.16086
0.63,0.0156631,0.96214,-0.0808278,0.681867,0,-289.06,0,1764,1515,2.12295
0.649,0.0290753,0.999967,-0.0652061,0.726956,0,-289.06,0,1764,1508,2.2809
0.67,0.0446971,1.04506,-0.0520844,0.764816,0,-289.06,0,1764,1515,2.0168
0.69,0.0578187,1.08292,-0.037347,0.807496,0,-289,0,1764,1516,2.38832
0.709,0.0722229,1.12571,-0.021035,0.8551,0,-288.88,0,1764,1515,2.40095
