secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s,road_sign_label,road_sign_command,arg1,arg2,arg3
0.0,0.0,0.0,-0.33408099999999996,4.973e-07,0,-299.5,0,1490,1484,0.2521,,,,,
0.01,-0.168356,0.292919,-0.318578,0.0281219,0,-298.62,0,1756,1484,0.0352398,,,,,
0.9400000000000001,-0.15737099999999998,0.323551,-0.301987,0.0584532,0,-298.62,0,1756,1484,0.7058800000000001,,,,,
0.99,-0.14078000000000002,0.353882,-0.28548,0.0888427,0,-298.38,0,1756,1483,0.928789,,,,,
1.028,-0.12551199999999998,0.384944,-0.269053,0.119291,0,-298.31,0,1756,1488,1.10294,,,,,
1.06,-0.10944699999999999,0.41558799999999996,-0.252589,0.149843,0,-298.25,0,1756,1494,1.17647,,,,,
1.09,-0.0932937,0.44630699999999995,-0.23493399999999998,0.182668,0,-298.19,0,1750,1494,1.35054,,,,,
1.118,-0.0759492,0.479298,-0.21969000000000002,0.21115799999999998,0,-298.0,0,1746,1494,1.4896800000000001,,,,,
1.14,-0.0616891,0.5083139999999999,-0.199894,0.248432,0,-297.75,0,1746,1494,1.53061,,,,,
1.168,-0.0431912,0.546275,-0.18484899999999999,0.277028,0,-297.62,0,1746,1501,1.4896800000000001,,,,,
1.19,-0.0288229,0.575225,-0.165146,0.31468599999999997,0,-297.44,0,1746,1507,1.53061,,,,,
1.218,-0.010057499999999999,0.6133719999999999,-0.147838,0.348043,0,-297.31,0,1748,1508,1.71886,,,,,
1.24,0.0065729,0.6470800000000001,-0.131776,0.379193,0,-297.12,0,1750,1506,1.7647,,,,,
1.26,0.0216418,0.67874,-0.11583199999999999,0.410379,0,-296.94,0,1750,1506,1.9607800000000002,,,,,
1.278,0.036644499999999997,0.710407,-0.0954535,0.450636,0,-296.62,0,1750,1526,2.06264,,,,,
1.3,0.055344899999999995,0.7515109999999999,-0.0797201,0.48204199999999997,0,-296.5,0,1751,1542,1.9607800000000002,,,,,
1.318,0.07044779999999999,0.7832319999999999,-0.059680899999999995,0.5222829999999999,0,-296.38,0,1750,1538,2.16086,,,,,
1.339,0.0898558,0.8237869999999999,-0.0396722,0.562767,0,-296.31,0,1750,1526,2.2689,,,,,
1.359,0.109496,0.8644529999999999,-0.0240937,0.594368,0,-296.19,0,1750,1519,1.85758,,,,,
1.3780000000000001,0.124442,0.896366,-0.0018639,0.639555,0,-296.19,0,1751,1520,2.29182,,,,,
1.4,0.146672,0.941553,0.017013,0.677985,0,-296.0,0,1750,1520,2.38094,,,,,
1.418,0.164547,0.980475,0.0402011,0.725518,0,-296.06,0,1751,1518,2.40641,,,,,
1.44,0.188052,1.02785,0.061193899999999996,0.7684259999999999,0,-296.06,0,1751,1508,2.521,,,,,
1.459,0.20904399999999998,1.07076,0.0810674,0.808894,0,-296.12,0,1750,1507,2.38832,,,,,
1.478,0.229234,1.11107,0.104234,0.8561489999999999,0,-296.06,0,1750,1510,2.521,,,,,
1.499,0.252084,1.15848,0.12297799999999999,0.8944500000000001,0,-296.06,0,1750,1512,2.25563,,,,,
1.518,0.270829,1.19678,0.148364,0.946317,0,-296.0,0,1751,1512,2.7611,,,,,
1.539,0.295898,1.24881,0.17038299999999998,0.991429,0,-295.94,0,1751,1514,2.521,,,,,
1.559,0.3176,1.29407,0.191301,1.03442,0,-295.88,0,1751,1520,2.521,,,,,
1.578,0.338201,1.33722,0.20560099999999998,1.06389,0,-295.94,0,1750,1537,2.9793600000000002,,,,,
1.589,0.35281799999999996,1.36653,0.22849000000000003,1.11108,0,-295.88,0,1750,1546,2.64705,,,,,
1.609,0.37539000000000006,1.41388,0.249029,1.15368,0,-295.62,0,1750,1552,2.521,,,,,
1.6280000000000001,0.394553,1.45714,0.272696,1.20306,0,-295.62,0,1750,1542,2.64105,,,,,
1.649,0.41822000000000004,1.50652,0.294301,1.24817,0,-295.56,0,1751,1536,2.65368,,,,,
1.668,0.43950799999999995,1.55178,0.31909499999999996,1.30015,0,-295.5,0,1751,1536,2.7611,,,,,
1.689,0.46398399999999995,1.60391,0.341717,1.34757,0,-295.69,0,1750,1544,2.64705,,,,,
1.709,0.487612,1.6508500000000002,0.36550499999999997,1.39703,0,-295.75,0,1750,1542,2.91905,,,,,
1.728,0.511718,1.7001600000000001,0.389343,1.44653,0,-295.75,0,1750,1538,2.64105,,,,,
1.749,0.535555,1.74966,0.411086,1.4916,0,-295.81,0,1751,1540,2.65368,,,,,
1.768,0.557616,1.79458,0.43717000000000006,1.54562,0,-295.88,0,1751,1544,2.8811400000000003,,,,,
1.789,0.5840700000000001,1.84841,0.46101899999999996,1.59495,0,-295.88,0,1750,1550,2.7731,,,,,
1.809,0.607919,1.89775,0.48486599999999996,1.64415,0,-296.0,0,1750,1553,2.91905,,,,,
1.828,0.6324000000000001,1.9466400000000001,0.510995,1.6977200000000001,0,-296.06,0,1750,1554,2.8811400000000003,,,,,
1.849,0.658845,2.00005,0.532775,1.74235,0,-296.19,0,1750,1554,2.65368,,,,,
1.868,0.681311,2.04435,0.558982,1.79586,0,-296.25,0,1751,1554,2.8811400000000003,,,,,
1.889,0.707834,2.0977,0.5831219999999999,1.8448600000000002,0,-296.31,0,1750,1552,2.7731,,,,,
1.909,0.7322900000000001,2.14655,0.607343,1.89388,0,-296.5,0,1751,1550,2.91905,,,,,
1.928,0.7575109999999999,2.19507,0.6217429999999999,1.92283,0,-296.5,0,1750,1548,2.9793600000000002,,,,,
1.939,0.771911,2.22402,0.6472939999999999,1.97405,0,-296.75,0,1751,1550,2.89915,,,,,
1.959,0.798775,2.27459,0.671889,2.02295,0,-296.88,0,1751,1549,2.91905,,,,,
1.978,0.824051,2.32313,0.697765,2.07402,0,-297.0,0,1751,1548,2.89915,,,,,
1.998,0.850556,2.37389,0.7237819999999999,2.1251,0,-297.06,0,1750,1536,2.89915,,,,,
2.018,0.876887,2.42481,0.749989,2.17645,0,-297.12,0,1751,1533,2.89915,,,,,
2.038,0.903407,2.476,0.764837,2.20547,0,-297.25,0,1750,1530,3.2773,,,,,
2.048,0.9189339999999999,2.50466,0.778625,2.23225,0,-297.19,0,1751,1530,3.0252,,,,,
2.058,0.9324089999999999,2.53161,0.8050900000000001,2.28358,0,-297.19,0,1750,1531,2.89915,,,,,
2.078,0.958874,2.5829400000000002,0.831494,2.33501,0,-297.25,0,1750,1527,2.89915,,,,,
2.098,0.985591,2.63421,0.8568389999999999,2.38417,0,-297.31,0,1751,1524,2.7731,,,,,
2.118,1.01125,2.68321,0.871853,2.41326,0,-296.94,0,1751,1524,3.2773,,,,,
2.128,1.02433,2.71328,0.8855379999999999,2.44019,0,-296.88,0,1751,1525,3.0252,,,,,
2.138,1.0377,2.74038,0.899188,2.46713,0,-296.88,0,1751,1524,3.0252,,,,,
2.148,1.05135,2.7673200000000002,0.913983,2.49632,0,-296.88,0,1751,1527,3.2773,,,,,
2.158,1.06614,2.79651,0.940176,2.54788,0,-297.06,0,1749,1525,2.89915,,,,,
2.178,1.09328,2.8475900000000003,0.953911,2.57477,0,-297.19,0,1748,1524,3.0252,,,,,
2.188,1.10769,2.87413,0.980333,2.6263,0,-297.12,0,1748,1524,2.89915,,,,,
2.208,1.13375,2.92585,0.994103,2.65319,0,-297.19,0,1750,1522,3.0252,,,,,
2.218,1.14789,2.95255,1.02183,2.70694,0,-297.31,0,1748,1524,3.0252,,,,,
2.238,1.17624,3.00597,1.03569,2.73378,0,-297.31,0,1749,1525,3.0252,,,,,
2.248,1.1901,3.03282,1.04954,2.76062,0,-297.25,0,1748,1525,3.0252,,,,,
2.258,1.20364,3.05981,1.06337,2.7874600000000003,0,-297.38,0,1748,1528,3.0252,,,,,
2.268,1.21814,3.08631,1.07839,2.81648,0,-297.5,0,1748,1532,3.2773,,,,,
2.278,1.23379,3.115,1.09228,2.8431800000000003,0,-297.44,0,1748,1536,3.0252,,,,,
2.288,1.24737,3.14187,1.10611,2.86986,0,-297.5,0,1750,1538,3.0252,,,,,
2.298,1.2615100000000001,3.16838,1.13266,2.9209,0,-297.56,0,1751,1536,2.89915,,,,,
2.318,1.28837,3.21927,1.14655,2.94755,0,-297.56,0,1748,1536,3.0252,,,,,
2.328,1.30226,3.24591,1.16044,2.97419,0,-297.56,0,1748,1536,3.0252,,,,,
2.338,1.31615,3.27255,1.17433,3.00084,0,-297.56,0,1748,1534,3.0252,,,,,
2.348,1.3300400000000001,3.2992,1.18939,3.02972,0,-297.62,0,1748,1533,3.2773,,,,,
2.358,1.34542,3.32792,1.20333,3.05639,0,-297.56,0,1748,1533,3.0252,,,,,
2.368,1.35904,3.35475,1.21724,3.08307,0,-297.56,0,1749,1534,3.0252,,,,,
2.378,1.37296,3.38143,1.2323,3.11196,0,-297.62,0,1748,1534,3.2773,,,,,
2.388,1.38833,3.4101500000000002,1.24624,3.13861,0,-297.5,0,1748,1536,3.0252,,,,,
2.398,1.40164,3.4371300000000002,1.27166,3.18749,0,-297.5,0,1751,1536,2.7731,,,,,
2.418,1.42706,3.48601,1.28667,3.21636,0,-297.38,0,1748,1536,3.2773,,,,,
2.428,1.4414500000000001,3.51521,1.30048,3.24305,0,-297.38,0,1748,1536,3.0252,,,,,
2.438,1.45525,3.5419,1.31543,3.27196,0,-297.31,0,1746,1533,3.2773,,,,,
2.448,1.46984,3.571,1.3292300000000001,3.2987,0,-297.25,0,1748,1535,3.0252,,,,,
2.458,1.48333,3.5979,1.34298,3.32543,0,-297.38,0,1749,1536,3.0252,,,,,
