secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334819,3.2423e-06,0,-295.25,0,1739,1071,0.02521
0.1,-0.191257,0.304398,-0.322037,0.0283926,0,-293.06,0,1784,1704,0.435728
0.181,-0.190213,0.338051,-0.308151,0.0621264,0,-291.88,0,1740,1697,0.80672
0.231,-0.182731,0.374433,-0.296376,0.0918133,0,-291.88,0,1767,1712,0.88235
0.271,-0.170956,0.40412,-0.283479,0.123866,0,-292.44,0,1785,1708,0.969615
0.31,-0.155012,0.434933,-0.270002,0.156312,0,-293.25,0,1788,1631,1.18172
0.342,-0.137151,0.465531,-0.255577,0.189405,0,-294.25,0,1808,1593,1.30397
0.371,-0.11735,0.496258,-0.238316,0.227236,0,-295.25,0,1837,1570,1.47783
0.4,-0.0947541,0.531631,-0.22459,0.256247,0,-295.75,0,1855,1554,1.56062
0.421,-0.0783777,0.559377,-0.206135,0.294224,0,-296.31,0,1888,1547,1.47783
0.45,-0.0569663,0.59591,-0.191756,0.323194,0,-296.69,0,1891,1544,1.56062
0.471,-0.04059,0.623884,-0.17602,0.35444,0,-296.81,0,1500,1536,1.68067
0.492,-0.0242246,0.654813,-0.160168,0.385727,0,-297.19,0,1500,1538,1.96078
0.51,-0.0063841,0.685086,-0.139492,0.425857,0,-297.62,0,1500,1517,2.16086
0.531,0.0165346,0.724054,-0.123115,0.457042,0,-298,0,1904,1510,1.85758
0.55,0.0348861,0.754198,-0.101841,0.496846,0,-298.31,0,1911,1505,2.16086
0.571,0.0577654,0.793143,-0.0816942,0.534257,0,-298.38,0,1764,1503,2.04081
0.592,0.0782738,0.830359,-0.0637975,0.567272,0,-298.5,0,1764,1500,2.10083
0.61,0.0967903,0.863038,-0.043506,0.604472,0,-298.81,0,1764,1503,2.04081
0.631,0.11868,0.899365,-0.0230937,0.64158,0,-298.81,0,1764,1493,2.25563
0.65,0.139092,0.936473,0.000889626,0.685234,0,-298.56,0,1764,1491,2.40095
0.671,0.161787,0.980832,0.023547,0.72674,0,-298.56,0,1764,1502,2.2809
0.692,0.184444,1.02234,0.0449981,0.766086,0,-298.56,0,1764,1499,2.521
0.71,0.205895,1.06168,0.072406,0.816402,0,-298.44,0,1764,1494,2.63559
0.732,0.232684,1.11234,0.0937446,0.855779,0,-298.31,0,1764,1497,2.521
0.75,0.253351,1.15208,0.118625,0.901808,0,-298.44,0,1764,1499,2.40641
0.772,0.278903,1.19774,0.143519,0.947741,0,-298.31,0,1764,1489,2.64705
0.792,0.303125,1.24404,0.167149,0.991448,0,-298.31,0,1764,1495,2.80111
0.81,0.326755,1.28774,0.195462,1.04387,0,-298.31,0,1764,1494,2.75018
0.832,0.355068,1.34017,0.219096,1.0876,0,-298.31,0,1764,1489,2.80111
0.85,0.378702,1.3839,0.247275,1.13998,0,-298.12,0,1764,1494,2.75018
0.872,0.405897,1.43681,0.27311,1.1883,0,-298.12,0,1764,1491,2.7731
0.892,0.431733,1.48513,0.296581,1.23213,0,-297.94,0,1764,1487,2.80111
0.91,0.45427,1.52945,0.312884,1.26276,0,-297.88,0,1764,1492,2.94117
0.922,0.470262,1.56025,0.339674,1.31338,0,-297.81,0,1764,1494,2.89915
0.942,0.496689,1.61105,0.364131,1.35957,0,-297.81,0,1764,1495,2.94117
0.96,0.521145,1.65725,0.380423,1.39038,0,-297.62,0,1764,1491,2.94117
0.972,0.53645,1.68857,0.40697,1.44106,0,-297.5,0,1764,1504,2.89915
0.992,0.562372,1.73958,0.431241,1.48754,0,-297.56,0,1764,1501,2.94117
1.01,0.586955,1.7859,0.447441,1.51851,0,-297.38,0,1764,1494,2.94117
1.022,0.602216,1.81736,0.474883,1.57159,0,-297.12,0,1764,1506,3.0252
1.042,0.628301,1.87114,0.500002,1.62065,0,-297.12,0,1764,1505,3.08122
1.06,0.65342,1.9202,0.51599,1.65181,0,-297.25,0,1764,1506,2.94117
1.072,0.670088,1.95101,0.529756,1.6785,0,-297.06,0,1764,1500,3.0252
1.082,0.682861,1.97821,0.544538,1.70738,0,-297.06,0,1764,1496,3.2773
1.092,0.697643,2.00709,0.56845,1.75413,0,-297.44,0,1764,1502,2.94117
1.11,0.723538,2.05281,0.584591,1.78515,0,-297.56,0,1764,1503,2.94117
1.122,0.740305,2.08351,0.599644,1.81394,0,-297.31,0,1764,1485,3.2773
1.132,0.754055,2.11298,0.61445,1.84251,0,-297.19,0,1764,1498,3.2773
1.142,0.768234,2.14187,0.639671,1.89148,0,-297.69,0,1764,1511,3.08122
1.16,0.796062,2.18949,0.657177,1.9248,0,-297.69,0,1764,1502,3.15125
1.172,0.813568,2.22281,0.672288,1.95355,0,-297.69,0,1764,1482,3.2773
1.182,0.828679,2.25155,0.696482,1.99969,0,-297.5,0,1764,1501,2.94117
1.2,0.851883,2.29821,0.710334,2.02625,0,-297.88,0,1764,1511,3.0252
1.21,0.867712,2.32373,0.72795,2.05951,0,-297.94,0,1764,1501,3.15125
1.222,0.885639,2.35683,0.74318,2.08817,0,-297.75,0,1764,1481,3.2773
1.232,0.899882,2.38601,0.758175,2.11656,0,-297.62,0,1764,1496,3.2773
1.242,0.914202,2.41476,0.784781,2.16748,0,-298.06,0,1764,1507,3.22128
1.26,0.943092,2.46447,0.802473,2.20061,0,-298.12,0,1764,1508,3.15125
1.272,0.961096,2.49744,0.817839,2.22933,0,-298.12,0,1764,1471,3.2773
1.282,0.976461,2.52616,0.832941,2.25746,0,-297.94,0,1764,1492,3.2773
1.292,0.990631,2.55478,0.857413,2.30356,0,-297.94,0,1764,1504,2.94117
1.31,1.0151,2.60088,0.876191,2.3389,0,-298,0,1764,1498,3.36133
1.322,1.03419,2.63605,0.891431,2.3675,0,-297.94,0,1764,1493,3.2773
1.332,1.04912,2.66482,0.906606,2.39603,0,-297.75,0,1764,1492,3.2773
1.342,1.06331,2.69388,0.933274,2.44668,0,-297.69,0,1764,1505,3.22128
1.36,1.08966,2.74468,0.951906,2.48211,0,-297.69,0,1764,1501,3.36133
1.372,1.1083,2.78012,0.968176,2.51305,0,-297.75,0,1764,1498,3.5294
1.382,1.12488,2.81089,0.99367,2.56159,0,-297.5,0,1764,1494,3.08122
1.4,1.14907,2.86011,1.02709,2.62584,0,-297.44,0,1764,1502,3.32314
1.422,1.18218,2.92453,1.04207,2.65465,0,-297.44,0,1764,1508,3.2773
1.432,1.19716,2.95334,1.0571,2.68355,0,-297.19,0,1764,1501,3.2773
1.442,1.21088,2.98291,1.08453,2.73685,0,-297.38,0,1764,1516,3.36133
1.46,1.2393,3.0357,1.10304,2.77258,0,-297.31,0,1764,1506,3.36133
1.472,1.25746,3.07162,1.11799,2.80148,0,-297.44,0,1764,1495,3.2773
1.482,1.27308,3.10017,1.13408,2.83239,0,-297.25,0,1764,1507,3.5294
1.492,1.28818,3.13159,1.15924,2.88122,0,-297.56,0,1764,1513,3.08122
1.51,1.31495,3.17958,1.17901,2.91907,0,-297.62,0,1764,1508,3.57142
1.522,1.33504,3.21726,1.19413,2.94792,0,-297.69,0,1764,1485,3.2773
1.532,1.35052,3.24592,1.21028,2.97858,0,-297.5,0,1764,1498,3.5294
1.542,1.36568,3.27711,1.23794,3.03159,0,-297.44,0,1764,1510,3.36133
1.56,1.39303,3.33027,1.25645,3.06719,0,-297.44,0,1764,1499,3.36133
1.572,1.41154,3.36588,1.27257,3.09817,0,-297.44,0,1764,1502,3.5294
1.582,1.42766,3.39685,1.28756,3.12697,0,-297.31,0,1764,1499,3.2773
1.592,1.44197,3.42601,1.31388,3.17793,0,-297.5,0,1764,1506,3.22128
