secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334081,4.97344e-07,0,-299.5,0,1490,1484,1.93009
0.94,-0.155109,0.323553,-0.299725,0.0584547,0,-298.62,0,1756,1484,1.25395
1.3,0.0545428,0.748981,-0.0805222,0.479512,0,-296.5,0,1751,1542,4
1.499,0.251133,1.15638,0.122027,0.892351,0,-296.06,0,1750,1512,4
1.689,0.463674,1.60206,0.341407,1.34572,0,-295.69,0,1750,1544,4
1.868,0.682546,2.04704,0.560217,1.79855,0,-296.25,0,1751,1554,4
2.038,0.899218,2.46771,0.760648,2.19718,0,-297.25,0,1750,1530,4
2.188,1.11116,2.8816,0.983798,2.63377,0,-297.12,0,1748,1524,4
2.348,1.33045,3.29987,1.1898,3.03039,0,-297.62,0,1748,1533,4
2.508,1.55801,3.74138,1.42894,3.49132,0,-297.31,0,1749,1532,4
2.668,1.77674,4.17485,1.63857,3.90143,0,-296.56,0,1748,1516,4
2.818,1.98861,4.60308,1.86453,4.35345,0,-296.5,0,1749,1516,4
2.978,2.20747,5.04722,2.07275,4.77472,0,-296.31,0,1748,1507,4
3.128,2.40885,5.46007,2.27542,5.18412,0,-295.75,0,1748,1506,4
3.278,2.61259,5.9126,2.48536,5.63663,0,-294.69,0,1749,1528,4
3.428,2.80923,6.35243,2.68482,6.07227,0,-293.88,0,1749,1548,4
3.588,3.01129,6.80432,2.88426,6.52661,0,-294.69,0,1747,1618,3.9631
3.738,3.2241,7.22227,3.09787,6.97793,0,-297.81,0,1746,1634,3.59056
3.898,3.49828,7.63506,3.33241,7.37915,0,-303.38,0,1746,1578,3.87834
4.048,3.79682,8.00699,3.61069,7.7654,0,-307.69,0,1749,1424,3.48998
4.198,4.07394,8.40676,3.90259,8.15673,0,-303.88,0,1751,1393,3.04326
4.348,4.28676,8.85129,4.15328,8.57964,0,-295.75,0,1751,1432,3.52471
4.488,4.44225,9.30383,4.33733,9.01856,0,-289.62,0,1751,1533,4
4.628,4.58327,9.74972,4.48709,9.46054,0,-288.5,0,1744,1581,4
4.768,4.73938,10.184,4.64454,9.92283,0,-289.94,0,1744,1586,4
4.919,4.92727,10.615,4.80651,10.3349,0,-293.5,0,1744,1596,4
5.058,5.1376,11.0182,5.01212,10.7699,0,-297.25,0,1746,1591,4
5.219,5.39056,11.4283,5.24879,11.1923,0,-301.5,0,1745,1578,4
5.358,5.65281,11.8031,5.49671,11.5737,0,-304.62,0,1745,1568,4
5.519,5.95037,12.1819,5.78038,11.9627,0,-308.12,0,1640,1566,4
5.669,6.24921,12.5241,6.06404,12.3076,0,-310.88,0,1493,1568,4
5.828,6.55859,12.8461,6.36698,12.6423,0,-313.5,0,1496,1564,4
6.009,6.89973,13.1692,6.69299,12.9694,0,-316.19,0,1617,1578,3.70665
6.209,7.2738,13.4842,7.05356,13.2956,0,-319.69,0,1693,1578,3.28708
6.409,7.65531,13.7723,7.4234,13.5939,0,-322.56,0,1512,1596,2.81719
6.628,8.05209,14.0175,7.80309,13.8592,0,-328.56,0,1561,1683,2.26668
6.87,8.48255,14.1466,8.20957,14.0491,0,-342.38,0,1617,1742,1.85691
7.11,8.85136,14.1356,8.55108,14.1128,0,-358.12,0,1594,1860,1.30716
7.31,9.0864,14.0071,8.79446,14.0816,0,-18.19,0,1600,1864,1.42283
7.55,9.26538,13.7473,9.03506,13.9442,0,-43.5,0,1614,1872,1.55205
7.828,9.31996,13.3882,9.21202,13.6627,0,-71.19,0,1632,1724,2.94325
8.17,9.30935,12.8911,9.28935,13.1803,0,-86.62,0,1685,1555,3.24732
8.45,9.30225,12.4124,9.30142,12.7057,0,-89.81,0,1689,1424,2.76993
8.699,9.3377,12.0273,9.30837,12.331,0,-83.81,0,1689,1316,2.31339
9.028,9.50051,11.5876,9.41395,11.8689,0,-72.19,0,1698,1499,4
9.378,9.66994,11.141,9.57215,11.416,0,-70.69,0,1712,1494,3.95659
9.688,9.83973,10.7038,9.72745,10.9835,0,-67.69,0,1715,1510,3.58338
10.009,10.0411,10.2466,9.92925,10.5198,0,-67.19,0,1709,1600,3.13733
10.328,10.202,9.80802,10.1017,10.0837,0,-70,0,1709,1642,2.6533
10.688,10.303,9.35177,10.2369,9.63926,0,-78.12,0,1707,1690,2.05822
10.998,10.2546,8.89698,10.2689,9.20277,0,-94.06,0,1711,1663,2.55514
11.318,10.1101,8.45847,10.1852,8.74063,0,-105.31,0,1713,1486,3.83039
11.618,9.99658,7.99966,10.0687,8.29612,0,-103.31,0,1712,1434,3.44036
11.928,9.91328,7.52929,9.96991,7.82966,0,-100.38,0,1683,1393,2.99498
12.228,9.90466,7.06031,9.91526,7.35674,0,-91.38,0,1734,1358,2.87803
12.558,9.97671,6.59281,9.93747,6.89354,0,-81.38,0,1668,1414,2.46623
12.848,10.1631,6.14322,10.06,6.42819,0,-69.62,0,1725,1420,4
13.148,10.3431,5.69957,10.2314,5.98504,0,-68.31,0,1715,1542,4
13.448,10.5228,5.24097,10.4166,5.52312,0,-69.5,0,1723,1532,4
13.729,10.6957,4.78126,10.5868,5.0649,0,-69.19,0,1730,1524,4
14.009,10.8789,4.31667,10.768,4.59739,0,-68.06,0,1729,1502,4
14.269,11.0374,3.85028,10.938,4.13787,0,-70.62,0,1727,1491,3.78742
14.509,11.17,3.39977,11.0806,3.68554,0,-72.19,0,1680,1490,3.39513
14.748,11.3626,2.95845,11.2478,3.23237,0,-67.75,0,1491,1488,3.79984
14.988,11.5488,2.52278,11.4301,2.80029,0,-66.88,0,1493,1494,3.40527
15.288,11.7457,2.06334,11.6254,2.34069,0,-66.81,0,1631,1592,2.93201
15.598,11.9119,1.59425,11.8113,1.87866,0,-70.88,0,1503,1686,2.36872
15.91,11.9547,1.13249,11.9193,1.42492,0,-84.38,0,1681,1675,2.12383
16.16,11.8928,0.754399,11.9213,1.05142,0,-97.38,0,1625,1809,1.55104
16.42,11.7028,0.469981,11.8294,0.73925,0,-117.62,0,1691,1790,2.08202
16.71,11.3261,0.18151,11.5472,0.383885,0,-138.62,0,1695,1562,4
16.948,10.9513,-0.093865,11.1819,0.0894276,0,-141.25,0,1692,1488,3.68455
17.188,10.5857,-0.429863,10.8021,-0.234598,0,-137.88,0,1679,1507,4
17.409,10.2515,-0.752553,10.4641,-0.549089,0,-136.19,0,1687,1493,4
17.63,9.92066,-1.09005,10.1291,-0.878848,0,-134.56,0,1691,1495,4
17.848,9.5947,-1.45052,9.79244,-1.23481,0,-132.25,0,1695,1461,4
18.048,9.31438,-1.80856,9.49349,-1.58505,0,-128.38,0,1691,1523,4
18.259,9.02421,-2.20956,9.19644,-1.97787,0,-126.5,0,1695,1524,4
18.458,8.74526,-2.59266,8.91705,-2.36,0,-126.5,0,1695,1549,4
18.658,8.45367,-2.97566,8.62726,-2.74477,0,-127.06,0,1693,1530,4
18.858,8.15543,-3.37078,8.32536,-3.14576,0,-127.12,0,1695,1556,4
19.038,7.88057,-3.72875,8.05671,-3.49914,0,-127.69,0,1695,1553,4
19.218,7.58618,-4.07207,7.77005,-3.85578,0,-130.19,0,1699,1531,4
19.418,7.26046,-4.44628,7.45199,-4.22693,0,-131.06,0,1699,1518,4
19.638,6.94167,-4.8176,7.13316,-4.59489,0,-130.69,0,1699,1523,4
19.878,6.61791,-5.18947,6.81283,-4.96618,0,-131.19,0,1699,1512,4
20.118,6.30176,-5.56664,6.48975,-5.3441,0,-130.06,0,1699,1514,4
20.338,5.99662,-5.94285,6.18258,-5.71524,0,-129.25,0,1699,1510,4
20.558,5.68748,-6.32462,5.86933,-6.10011,0,-128.81,0,1691,1509,4
20.758,5.3988,-6.69486,5.5788,-6.46548,0,-128.06,0,1687,1502,4
20.958,5.11169,-7.07351,5.28644,-6.84313,0,-127.38,0,1489,1499,3.83931
21.158,4.83699,-7.44117,5.00829,-7.21138,0,-126.31,0,1493,1502,3.46216
21.358,4.56246,-7.83028,4.72957,-7.59766,0,-125.62,0,1489,1508,3.02148
21.558,4.28369,-8.23372,4.44924,-7.99641,0,-124.62,0,1489,1558,2.48737
21.778,3.98867,-8.62985,4.16799,-8.39506,0,-127.75,0,1489,1715,1.79542
21.968,3.72464,-8.82122,3.95812,-8.62104,0,-141.06,0,1489,1874,1.36605
22.168,3.42251,-8.86284,3.70398,-8.76141,0,-162.62,0,1491,1849,1.68626
22.418,3.0528,-8.76148,3.35602,-8.78861,0,-186.94,0,1494,1696,2.74125
22.718,2.62028,-8.54703,2.90325,-8.66082,0,-202.94,0,1495,1607,3.13232
23.069,2.21555,-8.26328,2.4661,-8.42604,0,-214.12,0,1547,1657,3.02822
23.458,1.85856,-7.91371,2.08598,-8.11891,0,-222.12,0,1681,1516,3.552
23.779,1.50305,-7.58999,1.72904,-7.79346,0,-221.94,0,1679,1504,3.11959
24.058,1.149,-7.27977,1.37327,-7.47602,0,-221.12,0,1674,1646,2.62821
24.358,0.828119,-6.91923,1.02818,-7.14617,0,-229.5,0,1680,1726,2.00287
24.64,0.657855,-6.51788,0.788993,-6.78035,0,-245.19,0,1687,1788,1.80194
24.908,0.639407,-6.13637,0.682833,-6.43675,0,-263.44,0,1685,1794,1.81355
25.198,0.785122,-5.73071,0.711065,-6.02387,0,-285.69,0,1685,1702,2.73006
25.48,1.02348,-5.32715,0.890007,-5.59865,0,-296.12,0,1697,1440,2.77431
25.748,1.18949,-4.85611,1.09277,-5.13358,0,-288,0,1694,1382,2.48946
26.008,1.23788,-4.35897,1.19986,-4.6557,0,-276.31,0,1694,1351,2.55256
26.27,1.17435,-3.87108,1.20434,-4.16878,0,-263.25,0,1692,1352,2.397
26.53,0.987768,-3.41377,1.09179,-3.69677,0,-248.62,0,1692,1357,2.33713
26.769,0.712223,-3.04414,0.876211,-3.28859,0,-234.94,0,1685,1370,2.57381
27.03,0.336176,-2.7233,0.559918,-2.92989,0,-221.56,0,1692,1280,2.09543
27.268,-0.0806331,-2.54831,0.18726,-2.68074,0,-205,0,1686,1404,2.85153
27.508,-0.556497,-2.44306,-0.275055,-2.5206,0,-195,0,1691,1490,3.20252
27.748,-1.03121,-2.3574,-0.740085,-2.41562,0,-190.62,0,1689,1350,2.71327
27.968,-1.49743,-2.36274,-1.20338,-2.36923,0,-180.81,0,1527,1552,4
28.208,-1.97407,-2.36121,-1.67502,-2.36636,0,-181.25,0,1645,1526,4
28.448,-2.43501,-2.33807,-2.13839,-2.34949,0,-182.06,0,1643,1495,3.89071
28.708,-2.93237,-2.34237,-2.63074,-2.34305,0,-180,0,1515,1503,3.48615
28.968,-3.41589,-2.36617,-3.11484,-2.35406,0,-177.44,0,1573,1524,3.04116
29.248,-3.90489,-2.39402,-3.60206,-2.37903,0,-177.38,0,1671,1652,2.51195
29.518,-4.33426,-2.32931,-4.03149,-2.36548,0,-188.06,0,1616,1714,2.09201
29.818,-4.75896,-2.10965,-4.48094,-2.23248,0,-204.94,0,1669,1682,2.40909
30.108,-5.11315,-1.79832,-4.87137,-1.98539,0,-218.5,0,1494,1650,2.39816
30.458,-5.41464,-1.4268,-5.21553,-1.65139,0,-230.06,0,1645,1727,1.69718
30.748,-5.52342,-1.13834,-5.38465,-1.40253,0,-244.94,0,1643,1843,1.48643
31.149,-5.4792,-0.784045,-5.46232,-1.09045,0,-268.81,0,1587,1816,1.52
31.679,-5.29957,-0.498754,-5.4056,-0.784816,0,-292.81,0,1621,1784,2.41608
32.389,-4.95484,-0.168732,-5.14452,-0.396482,0,-310.25,0,1690,1498,3.69138
32.689,-4.64989,0.190832,-4.8434,-0.0408074,0,-309.62,0,1708,1490,4
32.93,-4.36421,0.564513,-4.54389,0.331402,0,-307.31,0,1710,1488,4
33.168,-4.0781,0.97064,-4.24634,0.734298,0,-305.06,0,1719,1464,4
33.39,-3.82709,1.38549,-3.9833,1.13319,0,-301.38,0,1712,1558,4
33.608,-3.57495,1.79078,-3.72979,1.54595,0,-302.44,0,1712,1566,4
33.83,-3.30104,2.18431,-3.46552,1.94377,0,-304.88,0,1713,1532,4
34.05,-3.01944,2.58666,-3.18903,2.34343,0,-304.81,0,1713,1538,4
34.268,-2.74445,2.98232,-2.9208,2.7316,0,-304.94,0,1711,1538,3.66758
34.5,-2.46853,3.36941,-2.64073,3.12819,0,-305.25,0,1711,1531,3.2556
34.75,-2.20118,3.75917,-2.3729,3.51106,0,-304.62,0,1711,1493,2.78624
34.99,-1.94757,4.15255,-2.11035,3.90135,0,-302.75,0,1539,1488,2.22595
35.24,-1.70904,4.55868,-1.86147,4.30382,0,-300.62,0,1360,1486,1.45906
35.268,-1.69088,4.59109,-1.84591,4.32915,0,-300.44,0,1361,1486,1.38057
35.29,-1.67362,4.62317,-1.82531,4.36503,0,-300,0,1361,1489,1.299
35.318,-1.65756,4.65372,-1.80852,4.3923,0,-299.81,0,1329,1488,1.21667
35.35,-1.64109,4.68574,-1.78998,4.42597,0,-299.56,0,1323,1487,1.12437
35.39,-1.6247,4.71688,-1.77366,4.4543,0,-299.38,0,1361,1486,1.02621
35.428,-1.60849,4.74802,-1.75784,4.48279,0,-299.31,0,1479,1487,0.917874
35.479,-1.59319,4.77749,-1.74103,4.51425,0,-299.06,0,1489,1486,0.802039
35.539,-1.57876,4.80612,-1.72556,4.54227,0,-298.5,0,1490,1486,0.671469
35.618,-1.56567,4.83447,-1.71091,4.56697,0,-298.44,0,1491,1488,0.513379
35.7,-1.55533,4.85913,-1.70042,4.59157,0,-297.88,0,1491,1488,0.321084
35.818,-1.54985,4.87541,-1.72061,4.55141,1,-296.56,0,1491,1489,0
36.548,-1.55597,4.87545,-1.72063,4.54554,1,-295.94,0,1490,1488,0
