secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334078,4.71058e-07,0,-298.94,0,1679,1486,0.00153907
1.638,-0.171224,0.294524,-0.317186,0.0303577,0,-299.25,0,1740,1516,0.2521
1.778,-0.152741,0.323996,-0.301093,0.0588061,0,-299.44,0,1740,1535,0.65546
1.828,-0.135674,0.351898,-0.283972,0.089137,0,-299.44,0,1763,1565,0.88235
1.868,-0.118553,0.382229,-0.268176,0.11713,0,-299.56,0,1764,1564,1.09243
1.898,-0.102144,0.409875,-0.247399,0.153814,0,-299.69,0,1760,1549,1.07142
1.938,-0.0807034,0.446181,-0.228904,0.186274,0,-299.81,0,1761,1546,1.2605
1.968,-0.0615968,0.478291,-0.208952,0.220927,0,-300.12,0,1762,1536,1.34453
1.998,-0.0400673,0.512035,-0.193852,0.24693,0,-300.25,0,1752,1531,1.5126
2.018,-0.0243067,0.537654,-0.178641,0.272921,0,-300.5,0,1690,1533,1.5126
2.038,-0.00782866,0.562903,-0.162086,0.301,0,-300.62,0,1678,1536,1.63865
2.058,0.00933272,0.590623,-0.145474,0.329002,0,-300.75,0,1675,1536,1.63865
2.078,0.026602,0.618235,-0.128812,0.356984,0,-300.69,0,1674,1535,1.63865
2.098,0.042961,0.646398,-0.112164,0.384983,0,-301,0,1676,1536,1.63865
2.118,0.0611718,0.673463,-0.0966962,0.410737,0,-301,0,1680,1542,1.5126
2.138,0.0766399,0.699217,-0.0735232,0.449172,0,-301.25,0,1686,1547,1.5126
2.168,0.10107,0.736893,-0.0554238,0.478988,0,-301.31,0,1690,1548,1.7647
2.188,0.11947,0.766526,-0.030761,0.519417,0,-301.56,0,1701,1546,1.59663
2.218,0.145386,0.806189,-0.0138055,0.54704,0,-301.56,0,1704,1546,1.63865
2.238,0.162342,0.833812,0.00445507,0.576757,0,-301.62,0,1716,1554,1.7647
2.258,0.180903,0.863345,0.0227111,0.606362,0,-301.75,0,1716,1554,1.7647
2.278,0.199808,0.892548,0.0410009,0.635947,0,-301.75,0,1716,1553,1.7647
2.298,0.218098,0.922133,0.0592997,0.665545,0,-301.81,0,1716,1552,1.7647
2.318,0.236697,0.951545,0.0763441,0.693007,0,-301.94,0,1717,1552,1.63865
2.338,0.254389,0.978604,0.0934251,0.720429,0,-302.06,0,1738,1556,1.63865
2.358,0.272068,1.00565,0.113176,0.751964,0,-302.12,0,1746,1555,1.89075
2.378,0.292118,1.037,0.132955,0.783503,0,-302.19,0,1749,1554,1.89075
2.398,0.312245,1.06832,0.154174,0.817121,0,-302.44,0,1750,1552,2.0168
2.418,0.334704,1.10115,0.17555,0.850706,0,-302.69,0,1748,1542,2.0168
2.438,0.357318,1.13395,0.199827,0.888562,0,-302.69,0,1747,1539,2.2689
2.458,0.381596,1.1718,0.222811,0.924352,0,-302.75,0,1748,1540,2.14285
2.478,0.404876,1.2074,0.245801,0.960079,0,-302.94,0,1748,1541,2.14285
2.498,0.428804,1.24253,0.267511,0.993571,0,-303.12,0,1747,1550,2.0168
2.518,0.4514,1.27544,0.294744,1.03521,0,-303.25,0,1748,1550,2.521
2.538,0.479272,1.31666,0.319287,1.07268,0,-303.44,0,1744,1545,2.2689
2.558,0.504748,1.35352,0.345447,1.11218,0,-303.69,0,1739,1540,2.39495
2.578,0.532131,1.39221,0.37186,1.15167,0,-303.88,0,1737,1538,2.39495
