secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.333087,1.29692e-05,0,-301.31,0,1736,1071,0.0840333
0.06,-0.158193,0.287551,-0.317663,0.0259602,0,-299.69,0,1677,1481,0.409662
0.14,-0.150968,0.318327,-0.30316,0.0519803,0,-298.5,0,1754,1571,0.60504
0.19,-0.142572,0.347746,-0.287927,0.0800536,0,-298.75,0,1772,1564,0.65546
0.24,-0.12605,0.375116,-0.271126,0.110369,0,-299.38,0,1780,1555,0.88235
0.28,-0.106015,0.403634,-0.2502,0.147214,0,-300,0,1812,1536,1.07142
0.32,-0.0819249,0.438675,-0.231349,0.179765,0,-300.31,0,1804,1537,1.2605
0.35,-0.0614993,0.470312,-0.211051,0.214399,0,-300.44,0,1855,1532,1.34453
0.38,-0.0405428,0.504559,-0.19579,0.240346,0,-300.56,0,1863,1537,1.5126
0.4,-0.0246746,0.530148,-0.174143,0.277047,0,-300.69,0,1889,1542,1.42857
0.43,-0.00237011,0.56646,-0.158816,0.302858,0,-300.75,0,1890,1528,1.5126
0.45,0.0132598,0.592091,-0.143411,0.328758,0,-300.75,0,1893,1536,1.5126
0.47,0.0286649,0.617991,-0.125528,0.358909,0,-300.69,0,1894,1537,1.7647
0.49,0.0462447,0.648322,-0.107694,0.388977,0,-300.75,0,1897,1535,1.7647
0.51,0.0643816,0.678211,-0.0859391,0.425523,0,-300.69,0,1904,1537,2.14285
0.53,0.0858336,0.714936,-0.0642356,0.462114,0,-300.62,0,1904,1552,2.14285
0.55,0.107183,0.751737,-0.0401616,0.502837,0,-300.56,0,1500,1556,2.39495
0.57,0.130954,0.792639,-0.0162134,0.543457,0,-300.56,0,1500,1560,2.39495
0.59,0.154902,0.833259,0.00769084,0.584008,0,-300.69,0,1764,1558,2.39495
0.61,0.179464,0.873421,0.0304687,0.622353,0,-300.88,0,1500,1550,2.2689
0.63,0.2032,0.911195,0.0559733,0.665059,0,-300.81,0,1764,1553,2.521
0.65,0.228352,0.954112,0.0813725,0.707659,0,-301,0,1764,1566,2.521
0.67,0.254709,0.996138,0.106877,0.750024,0,-301.31,0,1764,1556,2.521
0.69,0.281771,1.03756,0.132717,0.792457,0,-301.38,0,1764,1553,2.521
0.71,0.307962,1.07978,0.158612,0.83487,0,-301.56,0,1764,1565,2.521
0.73,0.334759,1.12164,0.182001,0.872817,0,-301.94,0,1764,1558,2.2689
0.75,0.360046,1.15841,0.210932,0.919233,0,-302.06,0,1764,1556,2.7731
0.77,0.389575,1.20446,0.239775,0.965424,0,-302.12,0,1764,1562,2.7731
0.79,0.418716,1.25046,0.268666,1.01136,0,-302.31,0,1764,1562,2.7731
0.81,0.448552,1.2958,0.297843,1.0574,0,-302.62,0,1764,1568,2.7731
0.83,0.479265,1.34086,0.327152,1.10322,0,-302.81,0,1764,1557,2.7731
0.85,0.509513,1.38608,0.355292,1.14693,0,-303.19,0,1764,1556,2.64705
0.87,0.539526,1.42858,0.386487,1.19453,0,-303.44,0,1764,1539,2.89915
0.89,0.571948,1.47537,0.403012,1.21958,0,-303.5,0,1764,1548,3.0252
0.9,0.588766,1.50022,0.43454,1.26727,0,-303.88,0,1764,1556,2.89915
0.92,0.622152,1.54668,0.46769,1.3166,0,-304.19,0,1764,1545,3.0252
0.94,0.65681,1.59499,0.499837,1.36388,0,-304.31,0,1764,1551,2.89915
0.96,0.68954,1.64187,0.530742,1.40895,0,-304.88,0,1764,1560,2.7731
0.98,0.723201,1.68504,0.56489,1.45788,0,-305.25,0,1764,1537,3.0252
1,0.759128,1.73272,0.582215,1.48241,0,-305.25,0,1764,1544,3.0252
1.01,0.776454,1.75725,0.616938,1.53135,0,-305.81,0,1764,1549,3.0252
1.03,0.813853,1.80428,0.653577,1.58198,0,-306.12,0,1764,1522,3.15125
1.05,0.851966,1.85384,0.671401,1.6064,0,-306.12,0,1764,1525,3.0252
1.06,0.86979,1.87826,0.689201,1.6308,0,-306.25,0,1764,1528,3.0252
1.07,0.888206,1.9022,0.723419,1.67726,0,-306.62,0,1764,1525,2.89915
1.09,0.924173,1.94738,0.742931,1.70351,0,-306.56,0,1764,1517,3.2773
1.1,0.943402,1.97384,0.778973,1.75199,0,-306.56,0,1764,1534,3.0252
1.12,0.979444,2.02232,0.798372,1.77816,0,-306.69,0,1764,1521,3.2773
1.13,0.999456,2.04803,0.816448,1.80242,0,-306.75,0,1764,1538,3.0252
1.14,1.01781,2.07208,0.835895,1.82848,0,-306.75,0,1764,1520,3.2773
1.15,1.03726,2.09814,0.855496,1.85472,0,-307,0,1764,1523,3.2773
1.16,1.05804,2.12351,0.873685,1.87886,0,-307,0,1764,1526,3.0252
1.17,1.07623,2.14764,0.908409,1.92504,0,-306.88,0,1764,1522,2.89915
1.19,1.11039,2.19425,0.928068,1.95125,0,-307.12,0,1764,1530,3.2773
1.2,1.13117,2.2196,0.946247,1.97527,0,-307.25,0,1764,1523,3.0252
1.21,1.14996,2.24317,0.966066,2.00134,0,-307.19,0,1764,1509,3.2773
1.22,1.1695,2.26944,0.985771,2.02729,0,-307.31,0,1764,1511,3.2773
1.23,1.18976,2.29498,1.00555,2.05324,0,-307.25,0,1764,1520,3.2773
1.24,1.20926,2.32113,1.02538,2.07931,0,-307.38,0,1764,1507,3.2773
1.25,1.2297,2.34674,1.04363,2.10319,0,-307.25,0,1764,1509,3.0252
1.26,1.24734,2.37108,1.06336,2.12912,0,-307.25,0,1764,1499,3.2773
1.27,1.26707,2.39702,1.083,2.15493,0,-307.25,0,1764,1511,3.2773
1.28,1.28671,2.42282,1.11937,2.20279,0,-307.25,0,1764,1504,3.0252
1.3,1.32308,2.47068,1.13754,2.22667,0,-307.38,0,1764,1508,3.0252
1.31,1.34186,2.4941,1.15732,2.25255,0,-308.12,0,1764,1500,3.2773
1.32,1.36508,2.51732,1.17736,2.27807,0,-308,0,1764,1495,3.2773
1.33,1.38456,2.54327,1.19883,2.30552,0,-308,0,1764,1457,3.5294
1.34,1.40603,2.57073,1.2199,2.33242,0,-308.19,0,1764,1497,3.5294
1.35,1.42798,2.59694,1.25839,2.38126,0,-308.38,0,1764,1479,3.15125
1.37,1.46734,2.64508,1.27833,2.4064,0,-308.25,0,1764,1484,3.2773
1.38,1.48668,2.67069,1.31819,2.45677,0,-308.31,0,1764,1490,3.12124
1.401,1.52682,2.72085,1.35811,2.5071,0,-308.31,0,1764,1480,3.44979
1.42,1.56674,2.77118,1.37957,2.53422,0,-308.12,0,1764,1470,3.5294
1.43,1.58732,2.79899,1.39929,2.55932,0,-308.19,0,1764,1480,3.2773
1.44,1.60737,2.82383,1.41916,2.58454,0,-308.19,0,1764,1484,3.2773
1.45,1.62724,2.84905,1.44061,2.61176,0,-308.19,0,1764,1472,3.5294
1.46,1.64869,2.87628,1.46039,2.63687,0,-308.06,0,1764,1476,3.2773
1.47,1.66787,2.90185,1.48015,2.66207,0,-307.88,0,1764,1471,3.2773
1.48,1.6868,2.92771,1.51945,2.71263,0,-307.69,0,1764,1483,3.2773
1.5,1.72522,2.97896,1.53913,2.73807,0,-307.69,0,1764,1483,3.2773
1.51,1.74489,3.00439,1.56033,2.76546,0,-307.5,0,1764,1478,3.5294
1.52,1.76521,3.03247,1.58138,2.79285,0,-307.31,0,1764,1474,3.5294
1.53,1.78537,3.06053,1.6008,2.81828,0,-307.19,0,1764,1484,3.2773
1.54,1.80423,3.08639,1.62327,2.84785,0,-307.12,0,1764,1486,3.7815
1.55,1.82637,3.1162,1.64272,2.87352,0,-307.12,0,1764,1484,3.2773
1.56,1.84583,3.14187,1.66216,2.89916,0,-307,0,1764,1482,3.2773
1.57,1.8647,3.16794,1.68152,2.92481,0,-306.81,0,1764,1479,3.2773
1.58,1.88317,3.19426,1.70225,2.95246,0,-306.62,0,1764,1484,3.5294
1.59,1.90301,3.22258,1.72295,2.98026,0,-306.62,0,1764,1489,3.20855
1.601,1.9237,3.25038,1.76157,3.03197,0,-307,0,1764,1482,3.44979
1.62,1.96411,3.30075,1.78243,3.0596,0,-306.81,0,1764,1471,3.5294
1.63,1.98408,3.32905,1.80307,3.08712,0,-306.75,0,1764,1468,3.5294
1.64,2.00444,3.35679,1.82513,3.11659,0,-306.75,0,1764,1486,3.43773
1.651,2.0265,3.38625,1.84442,3.14239,0,-306.62,0,1764,1481,3.64144
1.66,2.04518,3.4125,1.88265,3.1939,0,-306.38,0,1764,1484,3.2773
1.68,2.08227,3.46486,1.90322,3.22179,0,-306.44,0,1764,1488,3.5294
1.69,2.10313,3.49253,1.92387,3.24971,0,-306.31,0,1764,1482,3.20855
1.701,2.12316,3.52091,1.94293,3.27559,0,-306.06,0,1764,1477,3.64144
1.71,2.14103,3.54766,1.96328,3.30348,0,-306.38,0,1764,1485,3.5294
1.72,2.1629,3.57444,1.98534,3.33338,0,-306.31,0,1764,1493,3.7815
1.73,2.18463,3.60458,2.00598,3.36142,0,-306.25,0,1764,1465,3.5294
1.74,2.20498,3.63283,2.02629,3.38905,0,-306.12,0,1764,1481,3.20855
1.751,2.22468,3.66091,2.06264,3.439,0,-306,0,1764,1485,3.31711
1.77,2.26046,3.71128,2.08451,3.46904,0,-306,0,1764,1493,3.7815
1.78,2.28233,3.74132,2.10499,3.4972,0,-306.06,0,1764,1474,3.5294
1.79,2.3031,3.76927,2.12531,3.52504,0,-305.81,0,1764,1479,3.20855
1.801,2.32222,3.79797,2.14556,3.55304,0,-305.69,0,1764,1478,3.92156
1.81,2.3419,3.82638,2.16574,3.58108,0,-305.75,0,1764,1492,3.5294
1.82,2.36237,3.85421,2.18755,3.61133,0,-305.69,0,1764,1488,3.7815
1.83,2.38389,3.88467,2.20783,3.63952,0,-305.69,0,1764,1479,3.5294
1.84,2.40418,3.91286,2.22802,3.66756,0,-305.5,0,1764,1482,3.20855
1.851,2.42346,3.94156,2.26535,3.71992,0,-305.81,0,1764,1490,3.44979
1.87,2.46226,3.99285,2.28717,3.75012,0,-305.81,0,1764,1490,3.7815
1.88,2.48408,4.02305,2.30753,3.7783,0,-305.62,0,1764,1458,3.5294
1.89,2.50354,4.05188,2.32748,3.80605,0,-305.38,0,1764,1479,3.20855
1.901,2.52234,4.08045,2.34751,3.8342,0,-305.31,0,1764,1488,3.92156
1.91,2.54204,4.10884,2.36761,3.86253,0,-305.38,0,1764,1493,3.5294
1.92,2.56247,4.13692,2.38924,3.89293,0,-305.31,0,1764,1487,3.43773
1.931,2.58376,4.16757,2.40932,3.92124,0,-305.06,0,1764,1480,3.5294
1.941,2.60265,4.19672,2.42779,3.9475,0,-304.88,0,1764,1486,3.2773
1.951,2.62025,4.22359,2.44623,3.9739,0,-304.88,0,1764,1496,3.64144
1.96,2.63869,4.24999,2.46762,4.00454,0,-304.88,0,1764,1496,3.7815
1.97,2.66008,4.28063,2.48901,4.03518,0,-304.62,0,1764,1485,3.43773
1.981,2.68022,4.31214,2.50874,4.0637,0,-304.44,0,1764,1486,3.5294
1.991,2.69907,4.34126,2.5298,4.09433,0,-304.25,0,1764,1498,3.7815
