secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334078,4.71058e-07,0,-298.94,0,1679,1486,1.89867
1.778,-0.153261,0.323784,-0.301613,0.0585944,0,-299.44,0,1740,1535,1.20648
2.168,0.0991911,0.734365,-0.0573027,0.47646,0,-301.31,0,1690,1548,4
2.438,0.35793,1.13571,0.200439,0.89032,0,-302.69,0,1747,1539,4
2.638,0.614537,1.50993,0.451921,1.2706,0,-304.25,0,1738,1550,4
2.838,0.910178,1.90778,0.741148,1.67932,0,-306.62,0,1740,1489,4
3.018,1.19392,2.2779,1.02404,2.05296,0,-306.88,0,1741,1492,4
3.198,1.47512,2.67269,1.31082,2.44658,0,-305.88,0,1746,1490,4
3.378,1.75701,3.08474,1.59744,2.853,0,-304.62,0,1747,1510,4
3.548,2.02843,3.48043,1.85404,3.22847,0,-304.62,0,1747,1507,4
3.708,2.29858,3.87285,2.14307,3.64689,0,-304.62,0,1750,1496,4
3.868,2.56823,4.26676,2.39741,4.01528,0,-304.31,0,1749,1504,4
4.018,2.82539,4.65199,2.67055,4.42026,0,-304.12,0,1750,1516,4
4.178,3.09998,5.05118,2.92674,4.79855,0,-304.44,0,1750,1522,4
4.328,3.37354,5.43816,3.21217,5.20772,0,-305.38,0,1749,1528,4
4.478,3.65265,5.81213,3.49027,5.59174,0,-306.5,0,1746,1526,4
4.629,3.93626,6.18812,3.76849,5.96554,0,-306.56,0,1747,1527,4
4.788,4.23512,6.58695,4.05275,6.34387,0,-307.06,0,1744,1512,4
4.929,4.51343,6.95166,4.34595,6.73153,0,-306.81,0,1739,1503,4
5.079,4.79985,7.33525,4.63528,7.11593,0,-306.94,0,1745,1494,4
5.229,5.08325,7.71737,4.90093,7.47097,0,-306.44,0,1744,1508,4
5.379,5.36382,8.10962,5.20272,7.88747,0,-305.81,0,1746,1494,4
5.529,5.64114,8.50038,5.47893,8.27297,0,-305.31,0,1742,1494,4
5.679,5.90489,8.8829,5.74686,8.65575,0,-304.56,0,1741,1498,4
5.829,6.18225,9.29165,6.02525,9.06103,0,-304.06,0,1744,1508,4
5.98,6.4489,9.68848,6.29419,9.45982,0,-303.94,0,1746,1520,4
6.13,6.71686,10.0857,6.5592,9.85252,0,-303.94,0,1746,1506,4
6.28,6.98197,10.4755,6.82442,10.2447,0,-304.19,0,1745,1488,4
6.43,7.2453,10.8657,7.08745,10.6322,0,-303.81,0,1744,1497,4
6.58,7.50132,11.2591,7.34651,11.0236,0,-303.06,0,1742,1493,4
6.73,7.74815,11.6467,7.59628,11.4093,0,-302.5,0,1742,1493,4
6.88,7.99533,12.0397,7.84521,11.8018,0,-302.12,0,1744,1513,4
7.03,8.24989,12.4545,8.10356,12.2167,0,-301.69,0,1746,1498,4
7.18,8.48842,12.843,8.34141,12.603,0,-301.62,0,1745,1506,4
7.338,8.74666,13.27,8.58982,13.0095,0,-301.06,0,1746,1506,4
7.48,8.97849,13.6614,8.83621,13.4216,0,-300.69,0,1746,1516,4
7.63,9.23096,14.0923,9.09098,13.8542,0,-300.38,0,1747,1516,4
7.78,9.46631,14.4971,9.32548,14.2561,0,-300.19,0,1747,1502,4
7.92,9.69757,14.9013,9.54654,14.6377,0,-300,0,1746,1516,4
8.07,9.93905,15.329,9.78887,15.0649,0,-299.56,0,1744,1516,4
8.22,10.1766,15.7604,10.031,15.4964,0,-299.19,0,1728,1507,4
8.37,10.4142,16.1906,10.268,15.9242,0,-298.88,0,1725,1526,4
