secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334078,4.71058e-07,0,-295.12,0,1579,1486,0.00148207
1.701,-0.191208,0.30472,-0.321169,0.0266795,0,-295.94,0,1670,1487,0.0720286
2.121,-0.173952,0.329323,-0.307138,0.0556014,0,-295.81,0,1680,1486,0.409662
2.201,-0.160608,0.358578,-0.293071,0.0845626,0,-295.94,0,1680,1488,0.546217
2.261,-0.145854,0.387206,-0.277945,0.11574,0,-295.88,0,1680,1487,0.70588
2.311,-0.131045,0.418537,-0.260696,0.151424,0,-295.75,0,1680,1490,0.80672
2.361,-0.114483,0.454554,-0.243297,0.187064,0,-296.31,0,1680,1496,0.80672
2.411,-0.094129,0.488751,-0.225558,0.222733,0,-296.75,0,1680,1497,1.0084
2.451,-0.0740777,0.523265,-0.209856,0.253892,0,-296.94,0,1680,1504,0.928789
2.489,-0.0573799,0.55392,-0.193989,0.28507,0,-297,0,1680,1504,1.10294
2.521,-0.0411988,0.584938,-0.178067,0.316213,0,-297.25,0,1680,1502,1.17647
2.551,-0.0239691,0.615412,-0.158515,0.353947,0,-298.19,0,1680,1536,1.12782
2.589,0.000470025,0.650578,-0.140825,0.387003,0,-298.25,0,1680,1565,1.18172
2.621,0.0184705,0.683467,-0.12317,0.419586,0,-298.88,0,1680,1566,1.2605
2.651,0.0393762,0.71428,-0.107612,0.447733,0,-299.12,0,1680,1560,1.17046
2.679,0.0561664,0.741743,-0.0905563,0.478017,0,-299.69,0,1680,1552,1.10294
2.711,0.0761393,0.770384,-0.071988,0.510454,0,-300.62,0,1678,1537,1.35054
2.739,0.099431,0.800077,-0.0514886,0.544907,0,-301.12,0,1677,1528,1.2605
2.771,0.122451,0.833023,-0.0292494,0.581423,0,-301.62,0,1676,1526,1.42857
2.801,0.147198,0.86801,-0.00942435,0.613518,0,-301.88,0,1676,1527,1.35054
2.829,0.168322,0.899301,0.00650597,0.639135,0,-301.81,0,1676,1526,1.37509
2.851,0.183903,0.925136,0.0277068,0.673368,0,-301.88,0,1676,1522,1.44057
2.879,0.205453,0.959152,0.0504059,0.709652,0,-302.19,0,1677,1512,1.33928
2.911,0.229696,0.99447,0.0691055,0.73925,0,-302.31,0,1676,1500,1.2605
2.939,0.248991,1.02369,0.0930697,0.777079,0,-302.38,0,1677,1492,1.41806
2.971,0.273303,1.0613,0.114462,0.810548,0,-302.88,0,1678,1494,1.3909
3,0.297168,1.09319,0.136074,0.843929,0,-303,0,1678,1494,1.3909
3.029,0.319372,1.12618,0.153685,0.871024,0,-303.12,0,1678,1494,1.48968
3.051,0.337574,1.15289,0.175459,0.904298,0,-303.19,0,1681,1494,1.44057
3.079,0.359693,1.18594,0.19316,0.931334,0,-303.19,0,1680,1494,1.56062
3.1,0.377393,1.21298,0.21499,0.964589,0,-303.38,0,1681,1496,1.3909
3.129,0.400156,1.24562,0.238412,0.999822,0,-303.75,0,1682,1500,1.33928
3.161,0.425389,1.27965,0.259219,1.03093,0,-303.94,0,1682,1501,1.35054
3.189,0.447123,1.31014,0.277341,1.05784,0,-303.94,0,1681,1502,1.48968
3.211,0.465246,1.33705,0.299655,1.09096,0,-303.88,0,1682,1501,1.44057
3.239,0.487267,1.37037,0.317737,1.11787,0,-303.94,0,1682,1497,1.48968
3.261,0.505641,1.39708,0.341362,1.15295,0,-304.25,0,1682,1491,1.53061
3.289,0.530774,1.43114,0.359516,1.17962,0,-304.12,0,1682,1491,1.48968
3.311,0.548296,1.45823,0.383204,1.21452,0,-304.25,0,1681,1490,1.53061
3.339,0.572616,1.49271,0.401357,1.24116,0,-304.19,0,1684,1489,1.48968
3.361,0.590478,1.51954,0.423669,1.27396,0,-304.25,0,1682,1490,1.44057
3.389,0.613081,1.55215,0.441826,1.3006,0,-304.31,0,1682,1490,1.48968
3.411,0.631529,1.57859,0.465576,1.33538,0,-304.5,0,1684,1487,1.53061
3.439,0.6562,1.61274,0.48521,1.36395,0,-304.5,0,1684,1485,1.60427
3.461,0.675834,1.64131,0.509046,1.3986,0,-304.44,0,1684,1488,1.53061
3.489,0.699379,1.67615,0.528676,1.42719,0,-304.5,0,1690,1488,1.60427
3.511,0.7193,1.70455,0.553947,1.46395,0,-304.44,0,1698,1490,1.62064
3.539,0.74428,1.74151,0.572175,1.49054,0,-304.44,0,1700,1491,1.48968
3.561,0.762508,1.7681,0.597443,1.52741,0,-304.38,0,1699,1498,1.62064
3.589,0.787486,1.80517,0.617154,1.5562,0,-304.25,0,1700,1500,1.60427
3.611,0.806566,1.83439,0.642454,1.59334,0,-304.25,0,1698,1502,1.62064
3.639,0.831866,1.87153,0.664906,1.62637,0,-304.12,0,1698,1502,1.83345
3.661,0.853686,1.90499,0.683118,1.65323,0,-304.06,0,1698,1502,1.82072
3.679,0.871606,1.93205,0.702793,1.68211,0,-304.31,0,1698,1503,1.7647
3.699,0.892496,1.9601,0.723929,1.71307,0,-304.25,0,1698,1504,1.71886
3.721,0.913341,1.99126,0.743624,1.74198,0,-304.56,0,1698,1505,1.96078
3.739,0.934538,2.01914,0.764904,1.7729,0,-304.62,0,1698,1507,1.71886
3.761,0.956109,2.04986,0.781987,1.7976,0,-304.69,0,1697,1510,1.68067
3.779,0.973529,2.07433,0.803414,1.82851,0,-304.69,0,1698,1510,1.89075
3.799,0.994956,2.10524,0.826251,1.8615,0,-304.56,0,1698,1510,1.92076
3.82,1.01717,2.13866,0.846162,1.89039,0,-304.88,0,1698,1511,1.85758
3.839,1.03862,2.16648,0.8691,1.92333,0,-304.81,0,1698,1511,1.92076
3.86,1.06122,2.19965,0.889156,1.95217,0,-304.88,0,1697,1512,1.85758
3.879,1.08162,2.22826,0.912148,1.9851,0,-304.94,0,1697,1516,2.0168
3.899,1.1049,2.26099,0.93519,2.01808,0,-305.19,0,1698,1516,1.92076
3.92,1.12914,2.29312,0.952578,2.04273,0,-305.19,0,1698,1516,1.59221
3.939,1.14653,2.31778,0.975787,2.0756,0,-305.31,0,1698,1513,1.92076
3.96,1.17031,2.35024,0.996113,2.1043,0,-305.25,0,1698,1513,1.85758
3.979,1.19035,2.37914,1.01929,2.13712,0,-305.12,0,1698,1515,2.0168
3.999,1.21291,2.41241,1.04247,2.17002,0,-305.19,0,1698,1517,1.92076
4.02,1.23642,2.44507,1.06278,2.1988,0,-305.25,0,1698,1515,1.85758
