secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.3342,1.36695e-06,0,-297.31,0,1718,1365,0.063025
0.04,-0.179789,0.299039,-0.318904,0.0304845,0,-296,0,1697,1509,0.271492
0.17,-0.17137,0.332974,-0.304857,0.0595405,0,-295.56,0,1783,1575,0.65546
0.22,-0.15965,0.363154,-0.291007,0.0883464,0,-295.81,0,1799,1572,0.819325
0.26,-0.144477,0.391323,-0.273649,0.123798,0,-296.44,0,1804,1561,1.0084
0.3,-0.123796,0.425146,-0.258152,0.154847,0,-296.88,0,1815,1567,1.17647
0.33,-0.10599,0.455034,-0.241276,0.188059,0,-297.06,0,1836,1561,1.2605
0.36,-0.0881712,0.487767,-0.222025,0.225484,0,-297.62,0,1880,1560,1.42857
0.39,-0.0659983,0.523681,-0.202423,0.262907,0,-297.94,0,1887,1559,1.42857
0.42,-0.0447336,0.560228,-0.181481,0.302332,0,-298.06,0,1891,1559,1.5126
0.45,-0.0231688,0.599322,-0.159361,0.343806,0,-298.31,0,1893,1568,1.59663
0.48,0.000245154,0.640103,-0.144097,0.372103,0,-298.56,0,1898,1560,1.63865
0.5,0.0168009,0.667701,-0.126309,0.404739,0,-298.75,0,1898,1558,1.89075
0.52,0.035568,0.699801,-0.108381,0.437327,0,-299.06,0,1500,1561,1.89075
0.54,0.0550898,0.73151,-0.0878894,0.474212,0,-299.31,0,1500,1554,2.14285
0.56,0.0768635,0.767678,-0.0672245,0.510905,0,-299.81,0,1500,1569,2.14285
0.58,0.100083,0.802922,-0.0475466,0.54516,0,-300.25,0,1764,1556,2.0168
0.6,0.121999,0.835884,-0.0274798,0.579402,0,-300.62,0,1764,1554,2.0168
0.62,0.143939,0.869025,-0.00465757,0.617921,0,-301,0,1764,1560,2.2689
0.64,0.168678,0.906401,0.0183652,0.656106,0,-301.44,0,1764,1545,2.2689
0.66,0.193912,0.943246,0.0418096,0.694398,0,-301.81,0,1764,1544,2.2689
0.68,0.219206,0.980399,0.0681195,0.736751,0,-302.12,0,1764,1536,2.521
0.7,0.247061,1.02179,0.0933602,0.776986,0,-302.25,0,1764,1538,2.39495
0.72,0.272948,1.06162,0.118732,0.81703,0,-302.75,0,1764,1540,2.39495
0.74,0.300797,1.10008,0.143188,0.85493,0,-303.12,0,1764,1526,2.2689
0.76,0.327077,1.1368,0.172068,0.899145,0,-303.38,0,1764,1524,2.64705
0.78,0.357234,1.18018,0.201151,0.943192,0,-303.62,0,1764,1523,2.64705
0.8,0.387493,1.22345,0.229077,0.985093,0,-303.81,0,1764,1524,2.521
0.82,0.416347,1.26473,0.245886,1.0102,0,-304.06,0,1764,1521,3.0252
0.83,0.434374,1.28901,0.27698,1.05607,0,-304.19,0,1764,1514,2.7731
0.85,0.466101,1.33446,0.303891,1.09554,0,-304.5,0,1764,1524,2.39495
0.87,0.494515,1.3729,0.335296,1.14107,0,-304.75,0,1764,1513,2.7731
0.89,0.527128,1.41759,0.366768,1.18641,0,-304.88,0,1764,1514,2.7731
0.91,0.559227,1.4625,0.384015,1.21115,0,-304.94,0,1764,1517,3.0252
0.92,0.576763,1.48703,0.417129,1.25847,0,-305.06,0,1764,1512,2.89915
0.94,0.610455,1.53395,0.448911,1.30363,0,-305.19,0,1764,1511,2.7731
0.96,0.642862,1.57868,0.466269,1.32824,0,-305.19,0,1764,1506,3.0252
0.97,0.660219,1.60328,0.496653,1.3712,0,-305.38,0,1764,1511,2.64705
0.99,0.691515,1.6456,0.514092,1.39575,0,-305.5,0,1764,1505,3.0252
1,0.709527,1.66974,0.547545,1.44256,0,-305.62,0,1764,1502,2.89915
1.02,0.743554,1.71614,0.582527,1.49129,0,-305.75,0,1764,1503,3.0252
1.04,0.779157,1.76442,0.617607,1.53992,0,-305.94,0,1764,1502,3.0252
1.06,0.815141,1.81241,0.652806,1.58844,0,-305.94,0,1764,1495,3.0252
1.08,0.85034,1.86092,0.685065,1.6328,0,-306.12,0,1764,1502,2.64105
1.101,0.883454,1.90466,0.720418,1.68108,0,-306.44,0,1764,1497,3.18442
1.12,0.920323,1.95183,0.75737,1.73113,0,-306.38,0,1764,1489,3.15125
