secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334078,4.71058e-07,0,-295.12,0,1579,1486,2.21057
2.121,-0.175272,0.33158,-0.308458,0.0578582,0,-295.81,0,1680,1486,1.37339
2.679,0.058142,0.742723,-0.0885807,0.478997,0,-299.69,0,1680,1552,4
3.051,0.338876,1.15495,0.176761,0.906362,0,-303.19,0,1681,1494,4
3.389,0.612141,1.55063,0.440886,1.29908,0,-304.31,0,1682,1490,4
3.699,0.892491,1.96095,0.723924,1.71392,0,-304.25,0,1698,1504,4
3.96,1.16916,2.34936,0.994967,2.10342,0,-305.25,0,1698,1513,4
4.22,1.45578,2.74212,1.278,2.49852,0,-306,0,1698,1503,4
4.479,1.7447,3.12778,1.56694,2.89022,0,-306.81,0,1718,1498,4
4.719,2.04145,3.51245,1.86244,3.27914,0,-307.25,0,1718,1504,4
4.939,2.32966,3.88686,2.15126,3.65593,0,-307.56,0,1720,1495,4
5.159,2.63295,4.27638,2.45403,4.04634,0,-307.88,0,1718,1509,4
5.379,2.94758,4.66416,2.76578,4.43875,0,-308.81,0,1717,1483,4
5.579,3.23796,5.0215,3.05529,4.7969,0,-309,0,1713,1486,4
5.779,3.52271,5.37634,3.33941,5.14903,0,-308.81,0,1714,1479,4
5.979,3.80484,5.73266,3.62462,5.50609,0,-308.31,0,1714,1485,4
6.199,4.10488,6.12553,3.92688,5.89264,0,-306.81,0,1714,1431,4
6.399,4.3552,6.51653,4.19563,6.2744,0,-302.94,0,1714,1483,4
6.599,4.59366,6.91657,4.44068,6.66944,0,-302.06,0,1716,1596,3.80479
6.799,4.87376,7.27506,4.7002,7.0436,0,-307.38,0,1710,1552,4
6.999,5.18056,7.62255,4.99233,7.4035,0,-311.06,0,1711,1514,4
7.199,5.49674,7.9627,5.30313,7.75177,0,-312.75,0,1701,1516,4
7.399,5.81551,8.29691,5.61349,8.08312,0,-313.5,0,1702,1499,4
7.619,6.15742,8.65146,5.95524,8.4407,0,-313.94,0,1699,1480,4
7.839,6.48454,9.00299,6.28524,8.78832,0,-312.81,0,1702,1440,4
8.059,6.77592,9.36938,6.59196,9.14175,0,-308.62,0,1688,1458,4
8.299,7.05897,9.77739,6.88915,9.53929,0,-305.25,0,1706,1466,4
8.539,7.32398,10.1848,7.16302,9.94105,0,-303.12,0,1718,1484,4
8.76,7.5648,10.5776,7.41061,10.3289,0,-301.62,0,1718,1466,4
8.98,7.80934,10.9959,7.65928,10.7425,0,-300.25,0,1718,1484,4
9.199,8.05271,11.4301,7.9112,11.1805,0,-299.44,0,1718,1490,4
9.399,8.28096,11.8329,8.1403,11.583,0,-299.31,0,1718,1496,4
9.599,8.5116,12.2435,8.37244,11.9956,0,-299.31,0,1718,1492,4
9.799,8.74505,12.6589,8.60588,12.4109,0,-299.25,0,1718,1494,4
9.999,8.98055,13.0793,8.84289,12.8334,0,-299.12,0,1718,1498,4
10.199,9.22004,13.5096,9.08309,13.2632,0,-298.88,0,1718,1489,4
10.399,9.45586,13.9395,9.32005,13.6924,0,-298.75,0,1720,1490,4
10.599,9.69397,14.3743,9.55859,14.1269,0,-298.62,0,1718,1487,4
10.799,9.9268,14.8107,9.79624,14.5638,0,-297.81,0,1717,1494,4
10.981,10.1333,15.2124,9.99944,14.9538,0,-297.31,0,1718,1522,4
11.181,10.3703,15.6516,10.232,15.3948,0,-298.62,0,1720,1501,4
11.361,10.591,16.0441,10.452,15.7933,0,-299,0,1719,1496,4
11.561,10.83,16.4827,10.694,16.2328,0,-298.5,0,1720,1491,4
11.739,11.0493,16.8846,10.913,16.6353,0,-298.75,0,1720,1502,4
11.921,11.2725,17.2969,11.134,17.0404,0,-298.31,0,1718,1506,4
12.099,11.4899,17.6944,11.3563,17.4494,0,-298.56,0,1718,1502,4
