secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334078,4.71058e-07,0,-36.69,0,1678,1485,0.0022114
1.14,-0.0642056,-0.201083,-0.306295,-0.0206125,0,-36.5,0,1698,1483,0.294117
1.26,-0.0357574,-0.2208,-0.280519,-0.0396304,0,-36.31,0,1722,1482,0.668837
1.309,-0.00931907,-0.23892,-0.248708,-0.0629649,0,-36.19,0,1723,1484,0.80672
1.359,0.0229097,-0.261686,-0.216837,-0.0862311,0,-36.12,0,1722,1481,1.0084
1.399,0.0550227,-0.28462,-0.188943,-0.106535,0,-35.94,0,1722,1484,1.21703
1.428,0.083539,-0.304069,-0.15296,-0.132581,0,-35.88,0,1722,1488,1.46381
1.459,0.119728,-0.329829,-0.116921,-0.158646,0,-35.88,0,1722,1488,1.5126
1.489,0.155767,-0.355894,-0.0808445,-0.184681,0,-35.75,0,1721,1488,1.56476
1.518,0.192291,-0.38131,-0.0527525,-0.204887,0,-35.69,0,1722,1487,1.68067
1.539,0.220588,-0.40123,-0.0246064,-0.225088,0,-35.62,0,1722,1498,1.7647
1.559,0.248974,-0.421097,0.0117983,-0.251157,0,-35.62,0,1722,1503,1.5126
1.589,0.285379,-0.447166,0.042242,-0.272936,0,-35.44,0,1722,1504,1.89075
1.609,0.316437,-0.468084,0.0707307,-0.29318,0,-35.31,0,1722,1504,1.85758
1.628,0.345368,-0.487706,0.105373,-0.317704,0,-35.25,0,1722,1505,2.04081
1.649,0.380214,-0.511942,0.135993,-0.339312,0,-35.19,0,1722,1503,1.99026
1.668,0.411037,-0.533262,0.170635,-0.363724,0,-35.12,0,1722,1502,2.04081
1.689,0.445915,-0.557338,0.205299,-0.388059,0,-35.12,0,1722,1500,2.14285
1.709,0.480579,-0.581673,0.237885,-0.410933,0,-35.06,0,1722,1498,2.12295
1.728,0.513368,-0.604259,0.272425,-0.435214,0,-35.12,0,1720,1492,2.04081
