secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334819,-3.2423e-06,0,-33.81,0,1752,1929,0.0413279
0.061,-0.0551835,-0.187273,-0.305603,-0.0199656,0,-35.12,0,1688,1598,0.37815
0.161,-0.0303224,-0.21358,-0.277831,-0.0398021,0,-35.81,0,1926,1490,0.70588
0.211,-0.00490143,-0.236717,-0.251392,-0.0589633,0,-36.06,0,1957,1513,0.819325
0.251,0.0206753,-0.257067,-0.216926,-0.084121,0,-36.25,0,1988,1514,1.07142
0.291,0.0544826,-0.283126,-0.19064,-0.10335,0,-36.06,0,2000,1514,1.17046
0.319,0.0814269,-0.301455,-0.158173,-0.127043,0,-36.25,0,2000,1508,1.2605
0.351,0.113236,-0.326049,-0.127901,-0.149202,0,-36.25,0,2000,1512,1.35054
0.379,0.143508,-0.348207,-0.101628,-0.168461,0,-36.31,0,2000,1505,1.48968
0.401,0.169572,-0.367751,-0.0673788,-0.193569,0,-36.31,0,2000,1510,1.53061
0.429,0.203822,-0.392858,-0.0370762,-0.215807,0,-36.31,0,2000,1500,1.71886
0.451,0.234124,-0.415097,-0.0109098,-0.235009,0,-36.19,0,2000,1502,1.82072
0.469,0.260707,-0.43373,0.0233761,-0.260082,0,-36.12,0,1500,1510,1.94805
0.491,0.295236,-0.458471,0.0536811,-0.282219,0,-36.25,0,1500,1509,1.89075
0.511,0.32509,-0.481225,0.0818946,-0.302898,0,-36.31,0,1500,1501,1.96078
0.529,0.353095,-0.502188,0.118077,-0.329471,0,-36.38,0,1887,1501,2.06264
0.551,0.389033,-0.529092,0.150195,-0.353121,0,-36.5,0,1887,1498,2.24089
0.569,0.420733,-0.553308,0.19022,-0.382717,0,-36.5,0,1887,1493,2.29182
0.591,0.460758,-0.582904,0.226188,-0.409279,0,-36.5,0,1887,1498,2.2689
0.611,0.496726,-0.609467,0.258211,-0.432991,0,-36.5,0,1887,1495,2.24089
0.629,0.528749,-0.633179,0.302082,-0.465422,0,-36.5,0,1887,1500,2.521
0.651,0.57262,-0.66561,0.338111,-0.492012,0,-36.31,0,1887,1496,2.521
0.669,0.609311,-0.691302,0.384206,-0.525941,0,-36.38,0,1887,1502,2.63559
0.691,0.655163,-0.725562,0.430208,-0.559753,0,-36.31,0,1887,1499,2.89915
0.711,0.701408,-0.759042,0.474389,-0.592115,0,-36.19,0,1887,1497,3.08122
0.729,0.746006,-0.790836,0.506466,-0.615553,0,-36.25,0,1887,1503,3.36133
0.741,0.777875,-0.814558,0.532614,-0.63471,0,-36.12,0,1887,1496,3.2773
0.751,0.804474,-0.833099,0.560694,-0.655176,0,-36.31,0,1887,1493,3.5294
0.761,0.831895,-0.854466,0.610787,-0.691951,0,-36.06,0,1887,1484,3.50139
0.779,0.882855,-0.890055,0.642644,-0.715099,0,-36.06,0,1887,1494,3.36133
0.791,0.914711,-0.913203,0.67071,-0.735507,0,-36.25,0,1887,1506,3.5294
0.801,0.942119,-0.934513,0.702945,-0.759124,0,-36.12,0,1887,1495,4.0336
0.811,0.974805,-0.957513,0.758882,-0.799826,0,-36,0,1887,1498,3.92156
0.829,1.03116,-0.997645,0.79708,-0.827536,0,-36,0,1887,1498,3.99158
0.841,1.06935,-1.02536,0.831264,-0.852338,0,-36.12,0,1887,1498,4.2857
0.851,1.10312,-1.05073,0.863391,-0.875752,0,-36.06,0,1887,1495,4.0336
0.861,1.13546,-1.07386,0.921408,-0.917817,0,-35.94,0,1887,1493,4.06161
0.879,1.19389,-1.11535,0.963512,-0.948275,0,-36,0,1887,1498,4.41175
0.891,1.23579,-1.14609,0.999703,-0.974531,0,-35.94,0,1887,1491,4.5378
0.901,1.27218,-1.17207,1.03576,-1.00062,0,-35.75,0,1887,1488,4.5378
0.911,1.30889,-1.19725,1.06382,-1.02079,0,-35.69,0,1887,1493,4.41175
0.919,1.33716,-1.21713,1.10405,-1.04963,0,-35.88,0,1887,1501,5.042
0.929,1.37674,-1.24687,1.14641,-1.08022,0,-35.81,0,1887,1497,4.41175
0.941,1.41934,-1.27714,1.18267,-1.10634,0,-35.69,0,1887,1482,4.5378
0.951,1.45601,-1.30268,1.22061,-1.13352,0,-35.62,0,1887,1494,4.7899
0.961,1.49419,-1.32952,1.25487,-1.15802,0,-35.62,0,1887,1498,5.35712
0.969,1.52845,-1.35403,1.29325,-1.18547,0,-35.5,0,1887,1495,4.7899
0.979,1.56724,-1.38091,1.3437,-1.22137,0,-35.38,0,1887,1489,5.25208
0.991,1.6181,-1.41623,1.38398,-1.2499,0,-35.62,0,1887,1496,5.042
1.001,1.65756,-1.44591,1.42231,-1.27732,0,-35.62,0,1887,1496,4.7899
1.011,1.69589,-1.47333,1.4546,-1.30042,0,-35.44,0,1887,1480,5.042
1.019,1.72879,-1.49557,1.49858,-1.33162,0,-35.44,0,1887,1489,5.5462
1.029,1.77278,-1.52677,1.55087,-1.36871,0,-35.5,0,1887,1501,5.46217
1.041,1.82486,-1.56415,1.59545,-1.40046,0,-35.31,0,1887,1491,5.5462
1.051,1.87009,-1.59499,1.63985,-1.43183,0,-35.38,0,1887,1489,5.5462
1.061,1.91425,-1.62669,1.67209,-1.45468,0,-35.5,0,1887,1501,5.042
1.069,1.94608,-1.65011,1.71667,-1.48643,0,-35.31,0,1887,1496,5.5462
1.079,1.99131,-1.68095,1.77333,-1.52645,0,-35.25,0,1887,1495,5.88233
1.091,2.04817,-1.72069,1.8199,-1.55929,0,-35.38,0,1887,1512,5.7983
1.101,2.0943,-1.75415,1.86691,-1.59264,0,-35.12,0,1887,1508,5.7983
1.111,2.14219,-1.78626,1.90374,-1.61852,0,-35.06,0,1887,1500,5.67225
1.119,2.17922,-1.81185,1.95057,-1.65132,0,-35.19,0,1887,1519,5.7983
1.129,2.22562,-1.84527,2.00819,-1.69194,0,-34.94,0,1887,1513,5.88233
1.141,2.28407,-1.88469,2.05959,-1.72783,0,-35,0,1887,1503,6.3025
1.151,2.33528,-1.92087,2.10859,-1.76208,0,-35.06,0,1887,1520,6.0504
1.161,2.38408,-1.95541,2.14984,-1.79102,0,-34.88,0,1887,1511,6.3025
1.169,2.42593,-1.98348,2.19711,-1.82395,0,-34.88,0,1887,1511,5.7983
1.179,2.4732,-2.01641,2.2567,-1.86544,0,-34.88,0,1887,1526,6.09242
1.191,2.53279,-2.0579,2.31038,-1.90287,0,-34.62,0,1887,1516,6.5546
1.201,2.58734,-2.09408,2.36416,-1.93998,0,-34.81,0,1887,1517,6.5546
1.211,2.64048,-2.1321,2.40545,-1.96868,0,-34.81,0,1887,1535,6.3025
1.219,2.68178,-2.1608,2.45489,-2.00309,0,-34.69,0,1887,1513,6.0504
1.229,2.73162,-2.19463,2.51676,-2.04587,0,-34.88,0,1889,1530,6.3025
1.241,2.79285,-2.23833,2.5745,-2.08615,0,-34.69,0,1888,1543,7.0588
1.251,2.85122,-2.27769,2.62799,-2.12324,0,-34.81,0,1888,1529,6.5546
1.261,2.90431,-2.31537,2.67134,-2.1534,0,-34.94,0,1887,1552,6.61762
1.269,2.94722,-2.34615,2.72244,-2.18919,0,-34.75,0,1887,1534,6.3025
1.279,2.99897,-2.38102,2.78845,-2.23504,0,-34.81,0,1887,1531,6.72267
1.291,3.06478,-2.42716,2.84622,-2.27524,0,-34.69,0,1887,1552,7.0588
1.301,3.12295,-2.46678,2.90365,-2.3151,0,-34.88,0,1882,1560,7.0588
1.311,3.17974,-2.50756,2.9485,-2.34645,0,-34.94,0,1878,1587,6.93275
1.319,3.22439,-2.5392,3.00093,-2.38327,0,-34.75,0,1879,1568,6.5546
1.329,3.27745,-2.5751,3.0682,-2.43016,0,-34.94,0,1886,1574,6.93275
1.341,3.34409,-2.62291,3.12701,-2.47145,0,-34.88,0,1887,1588,7.3109
1.351,3.4031,-2.6639,3.18351,-2.51105,0,-35.06,0,1887,1573,7.0588
1.361,3.45899,-2.70438,3.22803,-2.54241,0,-35,0,1881,1588,6.93275
1.369,3.50372,-2.73544,3.28445,-2.58213,0,-35.06,0,1887,1585,7.0588
1.379,3.55993,-2.77546,3.35306,-2.6306,0,-35.25,0,1887,1604,7.14283
1.391,3.6279,-2.82484,3.41093,-2.67179,0,-35.12,0,1887,1598,7.3109
1.401,3.68621,-2.8654,3.46904,-2.71293,0,-35.44,0,1887,1593,7.3109
1.411,3.74323,-2.90808,3.51298,-2.74435,0,-35.38,0,1887,1611,6.93275
1.419,3.78738,-2.93921,3.57058,-2.78556,0,-35.62,0,1887,1585,7.3109
1.429,3.84416,-2.98157,3.64075,-2.83615,0,-35.81,0,1887,1606,7.35292
1.441,3.91368,-3.03306,3.70017,-2.87932,0,-35.94,0,1887,1602,7.563
1.451,3.97265,-3.07686,3.75361,-2.9183,0,-36.12,0,1887,1609,6.8067
1.461,4.02547,-3.11669,3.80281,-2.95441,0,-36.38,0,1887,1611,7.87812
1.469,4.07377,-3.15403,3.85971,-2.99661,0,-36.75,0,1887,1601,7.3109
1.479,4.12937,-3.19797,3.93241,-3.05129,0,-36.88,0,1887,1597,7.77308
1.491,4.20161,-3.25327,3.98731,-3.09269,0,-37.19,0,1887,1586,7.0588
1.501,4.25542,-3.29613,4.04619,-3.13757,0,-37.44,0,1887,1607,7.563
1.511,4.31341,-3.34217,4.09266,-3.17332,0,-37.94,0,1887,1596,7.563
1.519,4.35808,-3.38024,4.15462,-3.22187,0,-38.19,0,1887,1600,8.0672
1.529,4.41914,-3.42995,4.22406,-3.2768,0,-38.5,0,1887,1571,7.563
1.541,4.48745,-3.48631,4.28031,-3.32167,0,-38.81,0,1887,1591,7.3109
1.551,4.54256,-3.53259,4.33974,-3.36966,0,-39.25,0,1887,1583,7.8151
1.561,4.60036,-3.58259,4.38746,-3.40875,0,-39.56,0,1887,1575,7.87812
1.569,4.64693,-3.6231,4.44664,-3.45777,0,-39.81,0,1887,1562,7.8151
1.579,4.70517,-3.67324,4.51549,-3.51528,0,-40.19,0,1887,1558,7.563
1.591,4.77258,-3.73246,4.57449,-3.5652,0,-40.5,0,1887,1562,7.8151
1.601,4.8304,-3.78377,4.63504,-3.61701,0,-40.88,0,1887,1552,8.0672
1.611,4.8895,-3.83727,4.6841,-3.65951,0,-41.12,0,1887,1547,8.19325
1.619,4.93763,-3.88084,4.74061,-3.70889,0,-41.44,0,1887,1536,7.563
1.629,4.99291,-3.93163,4.81214,-3.77208,0,-41.88,0,1887,1535,7.98317
1.641,5.06271,-3.99675,4.87383,-3.82741,0,-42.25,0,1887,1525,8.3193
1.651,5.12295,-4.0537,4.93348,-3.8816,0,-42.38,0,1887,1516,8.0672
1.661,5.18208,-4.10845,4.97802,-3.92225,0,-42.81,0,1887,1509,7.563
1.669,5.22492,-4.15095,5.03854,-3.97829,0,-43.19,0,1887,1516,8.3193
