secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334084,5.23556e-07,0,-39.94,0,1677,1482,0.00283258
0.89,-0.0760456,-0.21606,-0.309443,-0.0205515,0,-39.75,0,1707,1484,0.2521
1.02,-0.0506889,-0.235755,-0.28282,-0.0426189,0,-39.5,0,1707,1487,0.588233
1.08,-0.0231295,-0.256691,-0.252312,-0.0677846,0,-39.5,0,1706,1489,0.80672
1.13,0.00737785,-0.281857,-0.223699,-0.091355,0,-39.38,0,1711,1488,0.945375
1.17,0.0364389,-0.304883,-0.19885,-0.11173,0,-39.25,0,1707,1487,1.09243
1.2,0.061772,-0.324667,-0.170123,-0.135139,0,-39.12,0,1709,1488,1.2605
1.23,0.0909816,-0.347484,-0.139401,-0.16006,0,-39,0,1711,1488,1.34453
1.26,0.122147,-0.371858,-0.106728,-0.186466,0,-38.81,0,1708,1489,1.42857
1.29,0.155521,-0.397395,-0.0720403,-0.214292,0,-38.62,0,1709,1488,1.5126
1.32,0.190907,-0.424351,-0.0469169,-0.234329,0,-38.56,0,1707,1488,1.63865
1.34,0.21625,-0.444112,-0.0217611,-0.254324,0,-38.44,0,1708,1488,1.63865
1.36,0.241845,-0.463556,0.0150343,-0.283514,0,-38.38,0,1706,1488,1.59663
1.39,0.278859,-0.492469,0.0402436,-0.303442,0,-38.31,0,1707,1489,1.63865
1.41,0.304324,-0.512075,0.067422,-0.324875,0,-38.12,0,1707,1488,1.7647
1.43,0.332192,-0.532631,0.0946632,-0.346214,0,-37.94,0,1707,1490,1.7647
1.45,0.360085,-0.553137,0.121995,-0.367509,0,-37.94,0,1707,1490,1.7647
1.47,0.387417,-0.574432,0.151276,-0.390322,0,-37.81,0,1706,1491,1.89075
1.49,0.417167,-0.596643,0.18062,-0.413077,0,-37.75,0,1709,1490,1.89075
1.51,0.446726,-0.619119,0.211945,-0.437288,0,-37.62,0,1707,1490,2.0168
1.53,0.478519,-0.642726,0.239426,-0.458408,0,-37.5,0,1708,1490,1.7647
1.55,0.506429,-0.663287,0.268883,-0.480996,0,-37.5,0,1709,1490,1.89075
1.57,0.535886,-0.685874,0.29832,-0.503567,0,-37.44,0,1708,1488,1.89075
1.59,0.565537,-0.708166,0.331715,-0.529052,0,-37.25,0,1709,1489,2.14285
1.61,0.599609,-0.732763,0.363251,-0.552921,0,-37,0,1709,1488,2.0168
1.63,0.632032,-0.755461,0.39484,-0.576704,0,-36.94,0,1709,1488,2.0168
1.65,0.663833,-0.778964,0.428453,-0.6019,0,-36.75,0,1709,1488,2.14285
1.67,0.698115,-0.803267,0.462138,-0.627002,0,-36.5,0,1709,1488,2.14285
1.69,0.732676,-0.827189,0.493933,-0.650508,0,-36.38,0,1709,1488,2.0168
1.71,0.76489,-0.850129,0.525804,-0.673968,0,-36.38,0,1708,1488,2.0168
1.73,0.796761,-0.873588,0.557683,-0.697403,0,-36.25,0,1708,1490,2.0168
1.75,0.829092,-0.896409,0.591642,-0.722225,0,-36,0,1709,1490,2.14285
1.77,0.863917,-0.920044,0.625697,-0.746915,0,-35.88,0,1708,1490,2.14285
1.79,0.898385,-0.944163,0.659844,-0.771563,0,-35.75,0,1708,1496,2.14285
