secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.333087,1.29692e-05,0,-32.06,0,1720,1071,0.0813226
0.062,-0.0478636,-0.17863,-0.30527,-0.016769,0,-30.19,0,1705,1929,0.37815
0.182,-0.0143691,-0.18601,-0.27956,-0.0314404,0,-29,0,1702,1929,0.85714
0.232,0.0147929,-0.194603,-0.249097,-0.0483686,0,-28.88,0,1700,1929,1.0084
0.282,0.0455975,-0.210914,-0.218749,-0.0655068,0,-29.94,0,1696,1929,1.0084
0.332,0.0728877,-0.233476,-0.19028,-0.0824946,0,-31.75,0,1687,1929,1.19747
0.372,0.0959056,-0.259592,-0.158218,-0.103399,0,-34.5,0,1889,1929,1.2605
0.412,0.119142,-0.294023,-0.129864,-0.124005,0,-37.81,0,1891,1929,1.32684
0.45,0.136027,-0.330326,-0.105015,-0.143989,0,-40.25,0,1893,1844,1.41806
0.482,0.151851,-0.361442,-0.0733085,-0.171778,0,-42.69,0,1898,1475,1.5126
0.512,0.174067,-0.399969,-0.0501924,-0.193447,0,-44.44,0,1903,1428,1.63865
0.532,0.190099,-0.429086,-0.0174594,-0.226679,0,-47.12,0,1500,1314,1.68067
0.562,0.211551,-0.473296,0.00772398,-0.254444,0,-49.38,0,1500,1292,2.14285
0.582,0.226831,-0.5099,0.0264828,-0.276874,0,-51.56,0,1922,1237,1.96078
0.6,0.235714,-0.54048,0.0479398,-0.304433,0,-52.88,0,1931,1157,2.06264
0.622,0.251043,-0.572789,0.0730293,-0.338422,0,-54.12,0,1942,1118,2.07082
0.65,0.270278,-0.61111,0.0925583,-0.365845,0,-54.69,0,1949,1073,2.17723
0.672,0.287084,-0.640482,0.116053,-0.399472,0,-54.69,0,1764,1071,2.16086
0.7,0.310579,-0.674109,0.136537,-0.428662,0,-54,0,1764,1071,2.40641
0.722,0.334356,-0.700937,0.163972,-0.466117,0,-52.38,0,1500,1125,2.43096
0.75,0.36941,-0.73269,0.184828,-0.493265,0,-51.5,0,1764,1142,2.17723
0.772,0.394335,-0.756652,0.208387,-0.522681,0,-49.88,0,1764,1071,2.94117
0.79,0.425256,-0.78004,0.237002,-0.556155,0,-47.94,0,1764,1218,2.75018
0.812,0.46246,-0.806025,0.265221,-0.586816,0,-45.69,0,1764,1241,2.64705
0.832,0.500314,-0.827642,0.296679,-0.61843,0,-43.69,0,1764,1265,3.08122
0.85,0.540034,-0.850904,0.334885,-0.654146,0,-41.25,0,1764,1301,2.86477
0.872,0.587917,-0.876049,0.372844,-0.686785,0,-39.19,0,1764,1326,3.22128
0.89,0.633689,-0.899448,0.420588,-0.72466,0,-37,0,1764,1362,3.09395
0.912,0.689369,-0.927201,0.46198,-0.75525,0,-35.06,0,1764,1386,2.7731
0.932,0.737463,-0.948576,0.504818,-0.784694,0,-33.5,0,1764,1425,3.08122
0.95,0.785462,-0.970449,0.532761,-0.803096,0,-32.62,0,1764,1458,2.94117
0.962,0.816225,-0.984519,0.559296,-0.820011,0,-31.69,0,1764,1469,3.2773
0.972,0.845668,-0.996809,0.605377,-0.848001,0,-30.31,0,1764,1508,3.08122
0.99,0.895923,-1.01785,0.633458,-0.8644,0,-29.75,0,1764,1516,3.2773
1,0.925651,-1.0314,0.664013,-0.881856,0,-29.19,0,1764,1536,2.94117
1.012,0.957824,-1.04599,0.692461,-0.897764,0,-28.62,0,1764,1543,3.2773
1.022,0.98789,-1.05897,0.71879,-0.912152,0,-28.06,0,1764,1548,3.0252
1.032,1.01578,-1.07046,0.76485,-0.936442,0,-27.19,0,1764,1587,2.94117
1.05,1.06421,-1.09023,0.795388,-0.952216,0,-27,0,1764,1608,2.94117
1.062,1.09526,-1.10501,0.849636,-0.979839,0,-26.38,0,1764,1602,3.15125
1.082,1.15114,-1.12938,0.897378,-1.00353,0,-26.19,0,1764,1641,3.08122
1.1,1.19938,-1.15206,0.929504,-1.01951,0,-26.31,0,1764,1651,3.15125
