secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334084,5.23556e-07,0,-39.94,0,1677,1482,1.91463
1.02,-0.049346,-0.236864,-0.281477,-0.0437276,0,-39.5,0,1707,1487,1.31538
1.43,0.332302,-0.532846,0.094773,-0.346429,0,-37.94,0,1707,1490,4
1.69,0.731718,-0.826846,0.492975,-0.650165,0,-36.38,0,1709,1488,4
1.91,1.10831,-1.08806,0.867608,-0.919084,0,-34.94,0,1727,1506,4
2.13,1.51421,-1.36727,1.27696,-1.2023,0,-34.75,0,1728,1539,4
2.33,1.90416,-1.65064,1.67207,-1.48323,0,-35.94,0,1728,1525,4
2.51,2.27463,-1.93085,2.04978,-1.76211,0,-36.81,0,1729,1520,4
2.69,2.65116,-2.21788,2.42536,-2.04539,0,-37.38,0,1727,1504,4
2.87,3.03595,-2.51261,2.81237,-2.34137,0,-37.31,0,1755,1506,4
3.03,3.39326,-2.78144,3.16835,-2.61198,0,-37.06,0,1754,1506,4
3.191,3.77168,-3.06099,3.54901,-2.89692,0,-36.44,0,1754,1505,4
3.341,4.15758,-3.33897,3.93158,-3.17552,0,-35.88,0,1754,1512,4
3.491,4.53972,-3.61098,4.29004,-3.43327,0,-35.38,0,1754,1512,4
3.631,4.91909,-3.87646,4.66842,-3.70015,0,-35.19,0,1755,1512,4
3.781,5.32496,-4.1586,5.07786,-3.98595,0,-34.75,0,1754,1514,4
3.921,5.71893,-4.43147,5.46914,-4.25856,0,-34.69,0,1749,1520,4
4.06,6.10497,-4.69936,5.86175,-4.53026,0,-34.88,0,1739,1520,4
4.191,6.49027,-4.96915,6.23935,-4.79346,0,-34.88,0,1744,1522,4
4.331,6.88947,-5.24957,6.64265,-5.07637,0,-35.06,0,1741,1542,4
4.471,7.28571,-5.53945,7.03796,-5.35906,0,-36.19,0,1724,1536,4
4.61,7.66437,-5.8291,7.42838,-5.65004,0,-37.19,0,1734,1520,4
4.742,8.04194,-6.12148,7.82319,-5.95246,0,-37.75,0,1738,1510,4
4.881,8.4261,-6.4184,8.18726,-6.23433,0,-37.62,0,1749,1508,4
5.01,8.78115,-6.69491,8.54706,-6.51279,0,-37.81,0,1750,1506,4
5.142,9.16041,-6.98984,8.91824,-6.80191,0,-37.62,0,1750,1508,4
5.272,9.54135,-7.27595,9.30278,-7.09577,0,-37.06,0,1765,1511,4
5.4,9.9257,-7.5597,9.68577,-7.38137,0,-36.44,0,1761,1510,4
5.532,10.3277,-7.85268,10.0844,-7.67469,0,-36.25,0,1764,1512,4
5.66,10.7261,-8.14047,10.4922,-7.97088,0,-35.94,0,1763,1512,4
5.782,11.1168,-8.42153,10.8743,-8.24661,0,-35.75,0,1763,1512,4
5.9,11.4926,-8.69161,11.252,-8.51841,0,-35.75,0,1762,1512,4
6.022,11.8837,-8.97096,11.6426,-8.79853,0,-35.56,0,1492,1510,4
6.142,12.2669,-9.24443,12.0469,-9.0871,0,-35.94,0,1488,1472,3.79759
6.282,12.6702,-9.53521,12.4238,-9.35811,0,-35.44,0,1490,1388,3.23176
6.422,13.0774,-9.76299,12.8391,-9.62307,0,-29.06,0,1490,1264,2.59069
6.542,13.3911,-9.86469,13.1241,-9.75468,0,-20.31,0,1491,1234,2.16015
6.642,13.6711,-9.88511,13.3867,-9.82441,0,-9.44,0,1490,1228,2.30078
6.76,13.9878,-9.83076,13.7074,-9.83835,0,-356,0,1492,1225,2.19959
6.882,14.2695,-9.70302,13.9877,-9.78115,0,-342.06,0,1493,1222,2.26201
7,14.5045,-9.52144,14.2555,-9.65854,0,-328.62,0,1492,1214,2.167
7.121,14.6797,-9.302,14.466,-9.49586,0,-315.56,0,1491,1207,2.29536
7.242,14.8007,-9.06438,14.6263,-9.30732,0,-303.5,0,1493,1198,2.10987
