secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334119,8.06536e-07,0,-35.38,0,1658,1459,0.00268477
0.939,-0.0597197,-0.194861,-0.308296,-0.0182076,0,-35,0,1655,1458,0.234093
1.079,-0.0326106,-0.211245,-0.280382,-0.0376708,0,-34.69,0,1654,1460,0.441175
1.159,-0.00365627,-0.229214,-0.252297,-0.056964,0,-34.25,0,1656,1467,0.5042
1.229,0.0258922,-0.246376,-0.221937,-0.0774937,0,-33.88,0,1659,1474,0.63025
1.289,0.0574689,-0.265105,-0.191334,-0.0978538,0,-33.38,0,1662,1472,0.63025
1.349,0.0896986,-0.28302,-0.16269,-0.116614,0,-33.06,0,1672,1469,0.70588
1.399,0.119372,-0.300208,-0.129907,-0.137787,0,-32.62,0,1678,1463,0.80672
1.449,0.153557,-0.31921,-0.101158,-0.156077,0,-32.31,0,1678,1463,0.88235
1.489,0.183284,-0.335963,-0.0682103,-0.176776,0,-31.94,0,1678,1453,1.0084
1.529,0.217387,-0.354821,-0.0333535,-0.198328,0,-31.5,0,1678,1424,1.07142
1.569,0.253603,-0.374175,-0.00679849,-0.214542,0,-31.31,0,1676,1415,1.09243
1.599,0.280739,-0.389437,0.0218386,-0.231856,0,-31,0,1676,1416,1.17647
1.629,0.310318,-0.405192,0.0505943,-0.249005,0,-30.62,0,1676,1415,1.17647
1.659,0.340217,-0.420424,0.0794435,-0.265921,0,-30.12,0,1676,1414,1.17647
1.689,0.370551,-0.434806,0.110524,-0.283745,0,-29.5,0,1676,1417,1.2605
1.719,0.403443,-0.449471,0.141854,-0.301304,0,-29,0,1676,1421,1.2605
1.749,0.436207,-0.464466,0.175429,-0.319765,0,-28.5,0,1674,1425,1.34453
1.779,0.471195,-0.480353,0.213501,-0.340189,0,-27.88,0,1678,1441,1.5126
1.809,0.510987,-0.497567,0.247722,-0.358075,0,-27.19,0,1678,1453,1.34453
1.839,0.547082,-0.511859,0.28663,-0.377879,0,-26.69,0,1678,1462,1.5126
1.869,0.58732,-0.529045,0.321473,-0.395201,0,-26.06,0,1678,1464,1.34453
1.899,0.623807,-0.543051,0.358757,-0.413237,0,-25.5,0,1688,1470,1.42857
