secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334119,8.06536e-07,0,-35.38,0,1658,1459,1.29287
1.079,-0.0315243,-0.211878,-0.279296,-0.0383034,0,-34.69,0,1654,1460,0.902598
1.719,0.404117,-0.449815,0.142528,-0.301648,0,-29,0,1676,1421,2.97611
2.069,0.864391,-0.637745,0.586001,-0.51599,0,-23.5,0,1704,1529,3
2.329,1.28686,-0.82203,1.015,-0.703202,0,-23.69,0,1710,1552,3
2.569,1.72694,-1.0319,1.45855,-0.905407,0,-25.44,0,1704,1549,3
2.809,2.17031,-1.26142,1.9102,-1.12887,0,-27.12,0,1703,1491,3
3.029,2.5943,-1.47676,2.33201,-1.34452,0,-26.69,0,1728,1529,3
3.249,3.04033,-1.69725,2.78396,-1.56945,0,-26.56,0,1726,1537,3
3.449,3.47132,-1.92176,3.21442,-1.78949,0,-27.31,0,1726,1536,3
3.63,3.86948,-2.13328,3.61659,-1.99917,0,-28,0,1724,1529,3
3.81,4.27194,-2.35943,4.02381,-2.2216,0,-29.12,0,1728,1533,3
3.989,4.68072,-2.5909,4.43537,-2.45201,0,-29.44,0,1726,1493,3
4.16,5.08595,-2.81682,4.83967,-2.67962,0,-29.12,0,1725,1497,3
4.349,5.51788,-3.04895,5.25063,-2.90383,0,-28.31,0,1728,1508,3
4.51,5.92259,-3.26065,5.67597,-3.13094,0,-27.81,0,1734,1529,3
4.681,6.33073,-3.4728,6.0765,-3.34121,0,-27.56,0,1734,1527,3
4.839,6.73268,-3.682,6.48964,-3.55619,0,-27.38,0,1734,1527,3
5.011,7.1697,-3.91498,6.91924,-3.78149,0,-28.19,0,1734,1531,3
5.181,7.59721,-4.14904,7.34789,-4.01335,0,-28.75,0,1734,1531,3
5.349,8.01054,-4.38151,7.74525,-4.23332,0,-29.19,0,1733,1529,3
5.511,8.42395,-4.62142,8.15877,-4.46796,0,-30.06,0,1735,1529,3
5.661,8.81748,-4.85465,8.57747,-4.71323,0,-30.44,0,1737,1521,3
5.821,9.22387,-5.09627,8.96061,-4.93965,0,-30.69,0,1736,1520,3
5.981,9.64514,-5.35117,9.40468,-5.20548,0,-31,0,1736,1520,3
6.149,10.0714,-5.60969,9.81587,-5.45468,0,-31.06,0,1734,1518,3
6.299,10.4699,-5.85066,10.2146,-5.69531,0,-31.25,0,1734,1514,3
6.449,10.8616,-6.0895,10.6084,-5.93547,0,-31.31,0,1728,1513,3
6.599,11.2632,-6.3305,11.0075,-6.17571,0,-31.19,0,1535,1516,3
6.76,11.6871,-6.58235,11.4237,-6.42565,0,-30.81,0,1492,1512,3
6.93,12.101,-6.82728,11.8544,-6.68165,0,-30.44,0,1492,1513,3
7.11,12.5052,-7.0593,12.2576,-6.91554,0,-29.81,0,1494,1515,3
7.31,12.9277,-7.29915,12.6771,-7.15588,0,-29.69,0,1496,1526,2.7828
7.529,13.3491,-7.53238,13.0902,-7.38816,0,-29.12,0,1497,1531,2.41192
7.769,13.7608,-7.75999,13.497,-7.61415,0,-29,0,1500,1535,1.98391
8.049,14.1567,-7.99927,13.9044,-7.84763,0,-31.94,0,1494,1684,1.4441
8.289,14.3611,-8.2214,14.1327,-8.01708,0,-43.75,0,1493,1823,0.936977
8.519,14.4126,-8.44075,14.2576,-8.17383,0,-63.44,0,1507,1950,1.01601
8.899,14.312,-8.72042,14.3109,-8.41156,0,-93.25,0,1510,1985,0.998594
9.349,14.1125,-8.88906,14.2554,-8.61123,0,-120.62,0,1610,1989,1.09345
10.179,13.8065,-8.94513,14.0724,-8.78454,0,-151.94,0,1674,1985,1.08778
10.64,13.5488,-8.87356,13.8546,-8.8442,0,-178.19,0,1609,1983,1.06248
10.999,13.3407,-8.65946,13.6209,-8.78898,0,-208.25,0,1662,1973,1.0729
11.309,13.2608,-8.39888,13.4494,-8.63871,0,-235.75,0,1538,1949,1.08978
11.63,13.3125,-8.11873,13.3649,-8.41878,0,-263.44,0,1611,1751,2.19254
12.009,13.3815,-7.76471,13.3669,-8.062,0,-272.75,0,1596,1461,1.83425
12.581,13.3395,-7.29299,13.3637,-7.59414,0,-264.06,0,1592,1291,1.42336
13.281,13.1583,-6.94307,13.273,-7.22707,0,-246.38,0,1499,1241,1.59983
14.059,12.8091,-6.63211,13.0157,-6.85259,0,-225.5,0,1606,1293,2.2572
14.48,12.4008,-6.38703,12.6515,-6.56019,0,-214.5,0,1646,1491,3
14.909,12.0026,-6.13378,12.2507,-6.29687,0,-213.19,0,1691,1483,3
15.219,11.6053,-5.88614,11.8615,-6.04588,0,-211.94,0,1690,1490,3
15.489,11.1838,-5.64708,11.4405,-5.79528,0,-209.94,0,1689,1542,3
15.749,10.7549,-5.40052,11.0163,-5.55282,0,-210.56,0,1690,1613,2.7445
16.009,10.3736,-5.11141,10.6133,-5.28623,0,-216.56,0,1688,1493,3
16.269,9.97723,-4.81647,10.2222,-4.99418,0,-215.62,0,1687,1451,3
16.509,9.57955,-4.56738,9.82878,-4.72897,0,-212.69,0,1690,1489,3
16.749,9.17511,-4.32888,9.43371,-4.48426,0,-210.81,0,1692,1501,3
16.989,8.75991,-4.09268,9.01679,-4.24097,0,-210,0,1696,1545,3
17.229,8.34891,-3.83828,8.60362,-3.99503,0,-211.81,0,1696,1542,3
17.469,7.94165,-3.56895,8.18762,-3.72986,0,-213.19,0,1696,1510,3
17.709,7.52584,-3.29324,7.77085,-3.45582,0,-213.5,0,1700,1507,3
17.93,7.13543,-3.03757,7.37883,-3.19795,0,-213.31,0,1708,1510,3
18.15,6.73073,-2.77429,6.98142,-2.93748,0,-213.06,0,1708,1503,3
18.369,6.32024,-2.51058,6.55943,-2.66484,0,-212.75,0,1707,1489,3
18.59,5.89654,-2.24622,6.14576,-2.4027,0,-212.06,0,1707,1499,3
18.791,5.49944,-2.00681,5.75077,-2.15972,0,-211.25,0,1714,1501,3
