secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334104,6.92066e-07,0,-29.38,0,1642,1471,0.00247157
1.02,-0.0408398,-0.165111,-0.306442,-0.0155029,0,-29.19,0,1671,1465,0.191655
1.191,-0.0126318,-0.179641,-0.278728,-0.0309535,0,-29.06,0,1671,1467,0.481956
1.259,0.0154545,-0.194424,-0.250976,-0.0463181,0,-28.88,0,1668,1467,0.65546
1.309,0.0437179,-0.208864,-0.221036,-0.0627643,0,-28.62,0,1670,1467,0.70588
1.359,0.0743929,-0.223971,-0.191015,-0.0790682,0,-28.38,0,1667,1467,0.88235
1.399,0.105086,-0.239036,-0.158758,-0.0963592,0,-28.06,0,1669,1467,0.900357
1.441,0.138233,-0.254671,-0.126437,-0.113478,0,-27.75,0,1670,1466,0.945375
1.481,0.171406,-0.270181,-0.0918841,-0.131547,0,-27.5,0,1670,1465,1.0084
1.521,0.206639,-0.286948,-0.061566,-0.147222,0,-27.06,0,1670,1468,0.928789
1.559,0.238142,-0.300326,-0.0332846,-0.161593,0,-26.81,0,1671,1467,1.02416
1.591,0.267089,-0.313389,-0.00494298,-0.175832,0,-26.5,0,1672,1467,1.09243
1.621,0.296247,-0.326,0.0234668,-0.189935,0,-26.31,0,1681,1469,1.17046
1.649,0.325153,-0.339103,0.0563434,-0.206112,0,-26.06,0,1687,1469,1.18172
1.681,0.358678,-0.353963,0.0871215,-0.221093,0,-25.88,0,1688,1471,1.2605
1.709,0.389919,-0.367993,0.122368,-0.23806,0,-25.56,0,1688,1469,1.2605
1.741,0.425981,-0.383267,0.157699,-0.254811,0,-25.19,0,1688,1472,1.34453
1.771,0.462243,-0.398053,0.190943,-0.270359,0,-24.94,0,1695,1473,1.35054
1.799,0.496109,-0.412271,0.228754,-0.287808,0,-24.62,0,1698,1473,1.33928
1.831,0.534709,-0.428014,0.264427,-0.304024,0,-24.25,0,1699,1473,1.44057
1.859,0.571281,-0.442252,0.293463,-0.317048,0,-24.06,0,1699,1473,1.48968
1.881,0.600773,-0.454257,0.331559,-0.333934,0,-23.75,0,1700,1475,1.53061
1.909,0.639607,-0.469478,0.365236,-0.348701,0,-23.69,0,1700,1475,1.71886
1.931,0.673426,-0.483923,0.407989,-0.367327,0,-23.38,0,1699,1493,1.71068
1.959,0.716906,-0.500879,0.439965,-0.381089,0,-23.19,0,1699,1503,1.60427
1.981,0.749323,-0.513616,0.467571,-0.392873,0,-22.94,0,1699,1517,1.68067
1.999,0.777504,-0.524049,0.50001,-0.406579,0,-22.81,0,1700,1518,1.60427
2.021,0.810241,-0.537051,0.532489,-0.420212,0,-22.62,0,1700,1515,1.7647
2.041,0.843151,-0.549655,0.56032,-0.431762,0,-22.31,0,1699,1513,1.68067
2.059,0.871677,-0.559522,0.59746,-0.446967,0,-22.19,0,1696,1513,1.83345
2.081,0.909084,-0.574075,0.625357,-0.45832,0,-22.12,0,1696,1523,1.68067
2.099,0.937135,-0.585047,0.662681,-0.47345,0,-22.06,0,1695,1527,1.83345
2.121,0.974593,-0.59985,0.699984,-0.48855,0,-22,0,1693,1527,2.0168
2.141,1.01203,-0.614624,0.732639,-0.501726,0,-21.81,0,1694,1527,1.96078
2.159,1.0451,-0.626764,0.77,-0.516683,0,-21.75,0,1693,1527,1.83345
2.181,1.08259,-0.641394,0.798032,-0.52787,0,-21.75,0,1692,1527,1.68067
2.199,1.11062,-0.652581,0.835401,-0.542786,0,-21.69,0,1692,1527,1.83345
2.221,1.14812,-0.667169,0.872787,-0.557637,0,-21.5,0,1689,1529,2.0168
2.241,1.18592,-0.680983,0.905461,-0.570518,0,-21.5,0,1679,1543,1.96078
2.259,1.21859,-0.693864,0.944977,-0.586133,0,-21.56,0,1670,1548,1.94805
2.281,1.25798,-0.709807,0.977453,-0.59897,0,-21.56,0,1657,1547,1.96078
2.299,1.29046,-0.722644,1.01689,-0.614584,0,-21.5,0,1625,1547,1.94805
2.321,1.33003,-0.73793,1.05405,-0.629225,0,-21.38,0,1627,1543,2.0168
2.341,1.36744,-0.751915,1.08429,-0.641099,0,-21.5,0,1629,1543,1.82072
2.359,1.39742,-0.764445,1.11916,-0.654854,0,-21.44,0,1632,1543,1.71886
2.381,1.43242,-0.777872,1.15171,-0.667673,0,-21.5,0,1633,1543,1.96078
2.399,1.46484,-0.791019,1.18891,-0.682349,0,-21.56,0,1634,1544,1.83345
2.421,1.50191,-0.806023,1.22373,-0.69615,0,-21.62,0,1631,1545,1.89075
2.441,1.5366,-0.820151,1.2539,-0.708122,0,-21.62,0,1634,1547,1.82072
2.459,1.56677,-0.832124,1.29331,-0.723799,0,-21.75,0,1650,1563,1.94805
2.481,1.6059,-0.84851,1.32308,-0.735709,0,-21.75,0,1658,1584,1.82072
2.499,1.63567,-0.86042,1.35938,-0.750285,0,-21.88,0,1664,1606,1.83345
2.521,1.67168,-0.875705,1.3909,-0.763014,0,-22,0,1664,1605,1.7647
2.541,1.70295,-0.889088,1.43596,-0.781327,0,-22.19,0,1664,1593,1.68067
2.571,1.74759,-0.908435,1.4676,-0.79429,0,-22.25,0,1663,1585,1.7647
2.591,1.77909,-0.921724,1.49938,-0.80741,0,-22.62,0,1677,1581,1.96078
