secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334751,3.17117e-06,0,-35.19,0,1715,1111,0.0427288
0.059,-0.0597071,-0.193947,-0.306142,-0.0195202,0,-33.31,0,1664,1327,0.529099
0.14,-0.0248828,-0.204343,-0.279053,-0.0367653,0,-31.5,0,1661,1356,0.70588
0.19,0.00790286,-0.212612,-0.253049,-0.0523278,0,-30.38,0,1665,1390,0.65546
0.24,0.0372898,-0.222532,-0.224349,-0.0689827,0,-29.75,0,1682,1397,0.88235
0.28,0.0678438,-0.235984,-0.193326,-0.0864771,0,-28.94,0,1697,1407,0.969615
0.319,0.101198,-0.249331,-0.166046,-0.101406,0,-28.44,0,1710,1417,1.05719
0.35,0.129888,-0.261684,-0.138213,-0.116303,0,-27.81,0,1714,1476,1.09243
0.38,0.159465,-0.273318,-0.109943,-0.131075,0,-27.25,0,1731,1480,1.1301
0.409,0.189255,-0.285172,-0.072626,-0.15006,0,-26.62,0,1734,1489,1.38248
0.44,0.228249,-0.300859,-0.0349773,-0.168803,0,-26.31,0,1749,1487,1.47783
0.469,0.266709,-0.317971,-0.00614968,-0.183014,0,-26.19,0,1760,1486,1.56062
0.49,0.295849,-0.33155,0.0337661,-0.202553,0,-26,0,1777,1491,1.56476
0.519,0.336255,-0.350087,0.0648596,-0.21767,0,-25.81,0,1788,1490,1.68067
0.54,0.367836,-0.3642,0.0960426,-0.232704,0,-25.62,0,1802,1492,1.85758
0.559,0.399504,-0.378228,0.127292,-0.247661,0,-25.62,0,1820,1493,1.68067
0.58,0.430753,-0.393185,0.15855,-0.262601,0,-25.56,0,1724,1483,1.7647
0.6,0.462163,-0.407808,0.194106,-0.279513,0,-25.38,0,1724,1478,2.12295
0.619,0.498174,-0.423765,0.234122,-0.298434,0,-25.31,0,1724,1480,2.16086
0.64,0.538366,-0.442314,0.2741,-0.317301,0,-25.38,0,1724,1482,2.38832
0.659,0.578168,-0.461553,0.318447,-0.338216,0,-25.25,0,1724,1475,2.521
0.679,0.622841,-0.481778,0.358407,-0.356969,0,-25.12,0,1724,1477,2.2689
0.699,0.663126,-0.499839,0.398436,-0.375644,0,-25,0,1724,1479,2.2689
0.719,0.703454,-0.517876,0.440757,-0.395279,0,-24.94,0,1724,1479,2.39495
0.739,0.745924,-0.537192,0.483071,-0.414881,0,-24.81,0,1724,1473,2.39495
0.759,0.788559,-0.556101,0.52763,-0.435293,0,-24.5,0,1724,1479,2.521
0.779,0.833877,-0.574858,0.572485,-0.455631,0,-24.31,0,1724,1483,2.521
0.799,0.879193,-0.59418,0.615149,-0.474807,0,-24.19,0,1724,1483,2.39495
0.819,0.922147,-0.612713,0.662359,-0.495868,0,-23.94,0,1724,1481,2.64705
0.839,0.969956,-0.632434,0.702935,-0.513767,0,-23.81,0,1724,1485,2.2689
0.859,1.01084,-0.649634,0.745879,-0.532626,0,-23.75,0,1724,1482,2.39495
0.879,1.05393,-0.66817,0.790997,-0.55234,0,-23.5,0,1724,1483,2.521
0.899,1.09963,-0.686539,0.836315,-0.571918,0,-23.31,0,1724,1491,2.521
0.919,1.14539,-0.705092,0.884169,-0.592417,0,-23.12,0,1724,1494,2.64705
0.939,1.19369,-0.724566,0.929864,-0.611874,0,-23.06,0,1724,1497,2.521
0.959,1.23952,-0.743699,0.975646,-0.631167,0,-22.75,0,1724,1498,2.521
0.979,1.28601,-0.761315,1.01714,-0.648515,0,-22.75,0,1724,1501,2.2689
0.999,1.3275,-0.778663,1.06547,-0.668713,0,-22.62,0,1724,1498,2.64705
1.019,1.37613,-0.798156,1.11393,-0.688782,0,-22.38,0,1724,1513,2.64705
1.039,1.42513,-0.816923,1.16045,-0.707929,0,-22.25,0,1724,1518,2.521
1.059,1.47194,-0.835363,1.20933,-0.727948,0,-22.38,0,1724,1525,2.64705
1.079,1.52053,-0.856088,1.25587,-0.747049,0,-22.19,0,1724,1516,2.521
1.099,1.5675,-0.874157,1.30009,-0.765086,0,-22.19,0,1724,1527,2.39495
1.119,1.61172,-0.892194,1.34667,-0.784149,0,-22.25,0,1724,1526,2.521
1.139,1.65816,-0.911583,1.39559,-0.804137,0,-22.25,0,1724,1531,2.64705
1.159,1.70708,-0.931571,1.4444,-0.824064,0,-22.06,0,1724,1527,2.64705
1.179,1.75631,-0.950464,1.49319,-0.843891,0,-22.19,0,1724,1539,2.64705
1.199,1.80481,-0.970999,1.54178,-0.863751,0,-22.12,0,1724,1560,2.64705
1.219,1.85356,-0.990478,1.5877,-0.882452,0,-22.06,0,1724,1570,2.521
1.239,1.89961,-1.00885,1.63343,-0.901127,0,-22.25,0,1724,1570,2.521
1.259,1.94492,-1.02856,1.67921,-0.919957,0,-22.38,0,1724,1567,2.521
1.279,1.99041,-1.0481,1.72725,-0.939785,0,-22.38,0,1724,1568,2.64705
1.299,2.03845,-1.06793,1.7751,-0.959662,0,-22.75,0,1724,1570,2.64705
1.319,2.08547,-1.08981,1.82296,-0.979875,0,-22.94,0,1724,1561,2.64705
1.339,2.1329,-1.11105,1.87085,-1.00027,0,-23.25,0,1724,1567,2.64705
1.359,2.18007,-1.13312,1.914,-1.01896,0,-23.75,0,1724,1558,2.39495
1.379,2.22205,-1.15451,1.96173,-1.04012,0,-24.19,0,1724,1546,2.64705
1.399,2.26873,-1.17803,2.00718,-1.06067,0,-24.44,0,1724,1547,2.521
1.419,2.31357,-1.19992,2.0571,-1.08354,0,-25,0,1724,1554,2.7731
1.439,2.36212,-1.22577,2.10453,-1.1058,0,-25.31,0,1724,1535,2.64705
1.459,2.40878,-1.24968,2.15208,-1.12837,0,-25.56,0,1724,1542,2.64705
1.479,2.45569,-1.27358,2.1949,-1.14899,0,-26,0,1724,1539,2.39495
1.499,2.49739,-1.29652,2.24445,-1.17331,0,-26.44,0,1724,1529,2.7731
1.519,2.5458,-1.32317,2.29176,-1.19688,0,-26.56,0,1724,1524,2.64705
1.539,2.59279,-1.34736,2.33895,-1.22058,0,-26.94,0,1724,1531,2.64705
1.559,2.63898,-1.37306,2.38824,-1.24574,0,-27.19,0,1724,1517,2.7731
1.579,2.6876,-1.39952,2.43517,-1.26989,0,-27.44,0,1724,1518,2.64705
1.599,2.73385,-1.42498,2.47979,-1.29308,0,-27.62,0,1724,1513,2.521
1.619,2.77799,-1.44911,2.52871,-1.31874,0,-27.81,0,1724,1511,2.7731
1.639,2.82639,-1.47576,2.57744,-1.34446,0,-27.88,0,1724,1511,2.7731
1.659,2.87493,-1.50184,2.62399,-1.36903,0,-27.94,0,1724,1513,2.64705
1.679,2.92131,-1.52672,2.67281,-1.39498,0,-28,0,1724,1507,2.7731
1.699,2.96997,-1.55298,2.71918,-1.41961,0,-28.06,0,1724,1515,2.64705
1.719,3.01617,-1.57792,2.7635,-1.44322,0,-28.19,0,1724,1509,2.521
1.739,3.06013,-1.60221,2.81208,-1.46927,0,-28.19,0,1724,1504,2.7731
1.759,3.10871,-1.62825,2.86051,-1.49533,0,-28.44,0,1724,1515,2.7731
1.779,3.15644,-1.65561,2.90888,-1.5215,0,-28.44,0,1724,1510,2.7731
1.799,3.20482,-1.68178,2.95732,-1.54774,0,-28.5,0,1724,1510,2.7731
1.819,3.25309,-1.70833,3.0057,-1.57399,0,-28.56,0,1724,1509,2.7731
1.839,3.3013,-1.73488,3.04967,-1.5979,0,-28.62,0,1724,1505,2.521
1.859,3.3451,-1.75911,3.09794,-1.62425,0,-28.69,0,1724,1504,2.7731
1.879,3.39318,-1.78582,3.14616,-1.65053,0,-28.56,0,1724,1506,2.7731
1.899,3.44175,-1.81142,3.19455,-1.67684,0,-28.5,0,1724,1507,2.7731
1.919,3.49032,-1.83743,3.24291,-1.7031,0,-28.56,0,1724,1513,2.7731
1.939,3.5385,-1.864,3.29136,-1.72939,0,-28.44,0,1724,1510,2.7731
1.959,3.58729,-1.88967,3.33551,-1.75326,0,-28.38,0,1724,1511,2.521
1.979,3.63161,-1.91322,3.36197,-1.76754,0,-28.38,0,1724,1514,3.0252
1.989,3.65807,-1.92751,3.41053,-1.79376,0,-28.25,0,1724,1510,2.7731
2.009,3.70699,-1.95305,3.45908,-1.81982,0,-28.19,0,1724,1517,2.7731
2.029,3.75571,-1.97881,3.50776,-1.84593,0,-28.31,0,1724,1514,2.7731
2.049,3.80406,-2.00554,3.53429,-1.86021,0,-28.31,0,1724,1507,3.0252
2.059,3.83058,-2.01982,3.58053,-1.88509,0,-28.31,0,1724,1509,2.64705
