secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334104,6.92066e-07,0,-29.38,0,1642,1471,1.23379
1.191,-0.0124113,-0.17975,-0.278507,-0.031062,0,-29.06,0,1671,1467,0.895277
1.741,0.425872,-0.383003,0.15759,-0.254547,0,-25.19,0,1688,1472,3
2.059,0.874486,-0.561165,0.600269,-0.44861,0,-22.19,0,1696,1513,3
2.321,1.32806,-0.737173,1.05208,-0.628468,0,-21.38,0,1627,1543,3
2.591,1.77911,-0.922748,1.4994,-0.808434,0,-22.62,0,1677,1581,3
2.871,2.21807,-1.15297,1.94882,-1.01693,0,-27,0,1684,1501,3
3.121,2.62732,-1.36959,2.36406,-1.23287,0,-27.38,0,1709,1503,3
3.359,3.06292,-1.59286,2.80345,-1.46037,0,-27.19,0,1707,1532,3
3.58,3.46736,-1.80603,3.20498,-1.66831,0,-27.69,0,1708,1529,3
3.799,3.88732,-2.03399,3.63315,-1.89707,0,-28.31,0,1719,1517,3
4.02,4.31547,-2.26542,4.06041,-2.12714,0,-28.31,0,1719,1471,3
4.219,4.73537,-2.47125,4.47611,-2.34187,0,-26.19,0,1737,1482,3
4.409,5.17631,-2.66786,4.91788,-2.55,0,-24.25,0,1737,1509,3
4.589,5.60662,-2.85325,5.34661,-2.73953,0,-23.5,0,1736,1531,3
4.759,6.02875,-3.04024,5.77131,-2.92597,0,-23.88,0,1729,1554,3
4.939,6.47235,-3.24486,6.21692,-3.12616,0,-25.19,0,1737,1549,3
5.119,6.90897,-3.47311,6.66049,-3.34596,0,-27.31,0,1741,1546,3
5.289,7.33427,-3.71333,7.06669,-3.56386,0,-29.25,0,1741,1539,3
5.459,7.75028,-3.96458,7.48725,-3.80729,0,-30.94,0,1743,1537,3
5.619,8.14401,-4.21123,7.90862,-4.06518,0,-31.69,0,1743,1495,3
5.779,8.55137,-4.45663,8.31709,-4.314,0,-31.06,0,1748,1501,3
5.939,8.98062,-4.70661,8.74206,-4.56665,0,-30.19,0,1757,1508,3
6.099,9.41105,-4.9506,9.14718,-4.79977,0,-29.62,0,1759,1513,3
6.249,9.84024,-5.19185,9.57781,-5.04373,0,-29.31,0,1759,1514,3
6.389,10.2493,-5.42003,9.98647,-5.27248,0,-29.19,0,1761,1515,3
6.529,10.6677,-5.65701,10.4055,-5.50831,0,-29.56,0,1761,1515,3
6.669,11.0922,-5.89777,10.8299,-5.74935,0,-29.44,0,1762,1515,3
6.809,11.5248,-6.14309,11.2628,-5.99415,0,-29.62,0,1762,1517,3
6.939,11.9312,-6.3762,11.6699,-6.22608,0,-29.88,0,1508,1527,3
7.079,12.3577,-6.62338,12.0944,-6.47102,0,-29.94,0,1492,1557,2.73785
7.229,12.7663,-6.87422,12.5292,-6.73045,0,-31.94,0,1492,1667,2.36182
7.4,13.1345,-7.18054,12.9115,-7.00122,0,-40.19,0,1491,1721,1.91367
7.6,13.4131,-7.57737,13.2365,-7.34331,0,-54.75,0,1497,1778,1.39381
7.78,13.4988,-7.93049,13.3968,-7.64405,0,-72.38,0,1546,1847,1.24202
7.959,13.4455,-8.24078,13.4453,-7.93759,0,-92.31,0,1493,1867,1.12651
8.14,13.28,-8.47293,13.3881,-8.19451,0,-114.94,0,1493,1933,1.05528
8.34,13.0377,-8.59436,13.2536,-8.38259,0,-139.56,0,1494,1975,1.02843
8.55,12.7686,-8.5823,13.0587,-8.48628,0,-165.5,0,1584,1973,1.0785
8.79,12.5262,-8.44125,12.8326,-8.49114,0,-192.56,0,1664,1915,1.13867
9.059,12.3603,-8.18183,12.5997,-8.37147,0,-221.75,0,1671,1881,1.5313
9.419,12.2853,-7.70283,12.3779,-7.98726,0,-253,0,1695,1525,3
9.669,12.1862,-7.24681,12.259,-7.53033,0,-255.44,0,1710,1465,2.89627
9.909,12.036,-6.78156,12.1245,-7.05848,0,-252.25,0,1710,1443,2.5363
10.131,11.8534,-6.35092,11.9667,-6.6279,0,-247.06,0,1605,1353,2.13582
10.351,11.5903,-5.96976,11.7523,-6.21824,0,-235.81,0,1675,1377,2.18182
10.569,11.2607,-5.64813,11.46,-5.85968,0,-226.06,0,1656,1455,3
10.791,10.8981,-5.35265,11.1231,-5.54748,0,-220.56,0,1689,1465,3
11.031,10.4999,-5.05406,10.7334,-5.23463,0,-217.12,0,1704,1466,3
11.251,10.1137,-4.79264,10.3559,-4.96118,0,-214.56,0,1715,1467,3
11.469,9.69624,-4.52888,9.93239,-4.68171,0,-212.44,0,1716,1515,3
11.669,9.30043,-4.28188,9.5405,-4.43436,0,-212.62,0,1717,1561,3
11.869,8.92077,-4.00696,9.15235,-4.17169,0,-215.69,0,1716,1545,3
12.069,8.54415,-3.7046,8.7852,-3.89375,0,-218.19,0,1718,1517,3
12.259,8.16975,-3.40364,8.39351,-3.58297,0,-218.44,0,1717,1501,3
12.439,7.8115,-3.12364,8.03713,-3.30161,0,-218.19,0,1716,1476,3
12.619,7.44059,-2.84522,7.66976,-3.01759,0,-216.75,0,1716,1505,3
12.799,7.05229,-2.57522,7.28424,-2.73912,0,-215.12,0,1716,1511,3
12.979,6.65563,-2.30655,6.89443,-2.46882,0,-214.25,0,1716,1523,3
13.159,6.25076,-2.03349,6.48383,-2.19074,0,-214,0,1715,1521,3
13.339,5.84413,-1.75425,6.07827,-1.91445,0,-214.5,0,1718,1518,3
13.519,5.43862,-1.47562,5.67104,-1.635,0,-214.5,0,1717,1499,3
13.699,5.02276,-1.19984,5.25334,-1.35366,0,-213.5,0,1718,1492,3
13.859,4.64683,-0.961627,4.88238,-1.11205,0,-212.62,0,1718,1497,3
14.019,4.26312,-0.723597,4.50414,-0.874296,0,-211.88,0,1715,1501,3
14.179,3.87254,-0.490357,4.1118,-0.63423,0,-210.88,0,1670,1503,2.89672
14.339,3.48416,-0.263818,3.72667,-0.407075,0,-210.44,0,1454,1504,2.56759
14.539,3.0525,-0.0231811,3.30686,-0.165647,0,-209.25,0,1492,1507,2.14842
14.759,2.64117,0.197093,2.90514,0.0554876,0,-207.69,0,1489,1333,1.65811
14.959,2.29417,0.28861,2.58319,0.192357,0,-196.62,0,1492,1157,1.14622
15.169,1.98972,0.221587,2.29141,0.225061,0,-175.75,0,1492,1067,1.07452
15.379,1.76976,0.0262011,2.03897,0.154135,0,-150.88,0,1492,997,1.10972
15.629,1.6654,-0.260182,1.8509,-0.0157854,0,-124.19,0,1492,1109,1.23933
16,1.62919,-0.610017,1.72067,-0.31999,0,-109.31,0,1361,1851,0.35932
16.619,1.60244,-0.640101,1.73698,-0.30342,1,-108.81,0,1289,1957,0
17.119,1.73998,-0.471118,1.76589,-0.101139,1,-92.12,0,1271,1774,1.35813
17.751,1.83649,-0.0706391,1.69621,0.271118,1,-65.38,0,1265,1827,1.2816
18.191,1.77791,0.261726,1.51582,0.519748,1,-42.56,0,1329,1694,0.961952
18.461,1.63197,0.443092,1.33567,0.663634,1,-37.56,0,1430,1355,1.41026
19.061,1.28012,0.689842,1.0179,0.951901,1,-45.56,0,1491,1465,0.519455
19.161,1.25501,0.711578,0.995488,0.976307,1,-45.81,0,1489,1466,0.370149
19.251,1.22936,0.734275,0.972622,0.998311,1,-45.81,0,1491,1465,0
