secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334111,7.4324e-07,0,-291.12,0,1643,1464,0.00164664
1.531,-0.212844,0.313944,-0.321775,0.0319256,0,-291.12,0,1699,1466,0.207612
1.701,-0.200509,0.345869,-0.309492,0.0638554,0,-290.88,0,1702,1469,0.519029
1.769,-0.189542,0.378304,-0.296447,0.0981646,0,-290.69,0,1699,1471,0.7563
1.819,-0.17754,0.413009,-0.283465,0.132614,0,-290.5,0,1698,1485,0.945375
1.859,-0.165603,0.447851,-0.272182,0.162767,0,-290.38,0,1693,1490,1.02416
1.891,-0.154981,0.478251,-0.256681,0.204624,0,-290.25,0,1677,1491,1.13445
1.931,-0.140195,0.520372,-0.245521,0.234851,0,-290.12,0,1677,1489,1.17046
1.959,-0.129752,0.550862,-0.232745,0.269732,0,-290.12,0,1678,1489,1.18172
1.991,-0.116976,0.585744,-0.221699,0.299986,0,-289.88,0,1678,1489,1.17046
2.019,-0.107255,0.61648,-0.20909,0.334907,0,-289.75,0,1677,1486,1.18172
2.051,-0.0953639,0.651659,-0.196585,0.369886,0,-289.5,0,1678,1490,1.2605
2.081,-0.0842427,0.687132,-0.184143,0.404949,0,-289.38,0,1677,1491,1.35054
2.109,-0.0724648,0.72243,-0.170155,0.444732,0,-289.31,0,1643,1491,1.33928
2.141,-0.0588646,0.762349,-0.157867,0.479836,0,-289.12,0,1627,1489,1.35054
2.169,-0.0476304,0.797821,-0.144075,0.519637,0,-289.06,0,1630,1488,1.33928
2.201,-0.0341715,0.837736,-0.131174,0.557124,0,-288.88,0,1633,1490,1.34453
2.231,-0.0222703,0.875567,-0.120727,0.58761,0,-288.69,0,1636,1495,1.17046
2.259,-0.0128807,0.906412,-0.108745,0.623025,0,-288.56,0,1635,1525,1.18172
2.291,-0.00162173,0.942071,-0.0975821,0.656399,0,-288.31,0,1635,1535,1.2605
2.319,0.00814783,0.97591,-0.0849792,0.694549,0,-288.19,0,1635,1525,1.2605
2.351,0.0200814,1.01428,-0.0739892,0.727984,0,-288.19,0,1635,1513,1.17647
2.381,0.0310713,1.04772,-0.0645752,0.756594,0,-288.25,0,1636,1511,1.08043
2.409,0.0408201,1.07621,-0.0528652,0.792345,0,-288.06,0,1636,1508,1.18172
2.441,0.0514696,1.11231,-0.0427405,0.823247,0,-288.19,0,1636,1507,1.17046
2.469,0.06232,1.14298,-0.0317504,0.856546,0,-288.31,0,1645,1511,1.10294
2.501,0.0739795,1.17606,-0.0222195,0.885117,0,-288.62,0,1647,1513,1.0084
2.531,0.0852376,1.20405,-0.0110075,0.918412,0,-288.69,0,1648,1511,0.928789
2.569,0.0968391,1.23721,-0.000571809,0.949278,0,-288.62,0,1647,1508,1.02416
2.601,0.106885,1.26821,0.00982008,0.980138,0,-288.56,0,1647,1508,1.09243
