secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334819,-3.2423e-06,0,-299,0,1644,1929,0.063025
0.04,-0.171656,0.29435,-0.323048,0.0191743,0,-302.56,0,1643,1071,0.11301
0.33,-0.141923,0.302828,-0.306222,0.0454957,0,-301.56,0,1643,1071,0.324129
0.47,-0.130074,0.332267,-0.292985,0.0679262,0,-298.94,0,1642,1071,0.420167
0.56,-0.130131,0.36245,-0.280853,0.0909727,0,-296.19,0,1642,1071,0.472687
0.64,-0.132317,0.392971,-0.268717,0.116477,0,-294.25,0,1643,1071,0.5042
0.72,-0.130489,0.42333,-0.25776,0.141998,0,-291.88,0,1643,1071,0.5042
0.8,-0.13234,0.454306,-0.247215,0.169561,0,-289.25,0,1644,1071,0.535712
0.88,-0.136258,0.487294,-0.238261,0.196616,0,-287.06,0,1644,1371,0.540214
0.95,-0.139526,0.518357,-0.230065,0.224851,0,-284.94,0,1645,1575,0.5042
1.01,-0.1433,0.550025,-0.221581,0.257889,0,-284.38,0,1646,1589,0.441175
1.09,-0.137999,0.583894,-0.213914,0.286496,0,-285.81,0,1646,1541,0.432171
1.16,-0.122222,0.610314,-0.205078,0.317782,0,-285.56,0,1646,1558,0.546217
1.22,-0.114799,0.641997,-0.196404,0.348961,0,-285.56,0,1647,1544,0.546217
1.28,-0.106125,0.673176,-0.187786,0.379617,0,-285.81,0,1648,1642,0.546217
1.34,-0.0960936,0.703435,-0.179337,0.409274,0,-286.31,0,1648,1645,0.546217
1.4,-0.0848226,0.73228,-0.170424,0.43911,0,-287.31,0,1649,1599,0.546217
1.46,-0.0702866,0.760418,-0.160833,0.469559,0,-287.69,0,1649,1572,0.546217
1.52,-0.0585668,0.790195,-0.151019,0.500124,0,-288,0,1647,1564,0.546217
1.58,-0.0470192,0.820202,-0.14105,0.530711,0,-288.19,0,1647,1571,0.546217
1.64,-0.03599,0.850442,-0.130265,0.563507,0,-288.25,0,1647,1568,0.588233
1.7,-0.0248693,0.883128,-0.118646,0.598468,0,-288.62,0,1647,1628,0.63025
1.76,-0.0111885,0.917402,-0.107921,0.630372,0,-288.69,0,1647,1929,0.63025
1.82,-7.41718e-05,0.949175,-0.0979127,0.660035,0,-288.94,0,1647,1552,0.588233
1.88,0.011324,0.978364,-0.0881013,0.688499,0,-289.19,0,1647,1535,0.60504
1.93,0.0225233,1.00635,-0.0774172,0.71924,0,-289.06,0,1647,1532,0.65546
1.98,0.032486,1.03734,-0.0667994,0.750178,0,-288.81,0,1647,1531,0.65546
2.03,0.0417147,1.06875,-0.0571162,0.778756,0,-288.62,0,1647,1547,0.60504
2.08,0.0503409,1.09769,-0.0458985,0.81206,0,-288.56,0,1647,1529,0.588233
2.14,0.0612246,1.13111,-0.0362962,0.840663,0,-288.56,0,1647,1518,0.60504
2.19,0.0708268,1.15971,-0.0266776,0.869326,0,-288.5,0,1647,1524,0.60504
2.24,0.0801113,1.18848,-0.0163074,0.900325,0,-288.5,0,1647,1529,0.65546
2.29,0.0904815,1.21948,-0.00594723,0.931281,0,-288.5,0,1647,1533,0.65546
2.34,0.100842,1.25044,0.00361037,0.959814,0,-288.5,0,1647,1535,0.60504
2.39,0.110399,1.27897,0.0139637,0.990665,0,-288.56,0,1647,1546,0.642608
2.441,0.121087,1.30971,0.0243002,1.02144,0,-288.62,0,1647,1554,0.65546
2.491,0.131757,1.34037,0.0354309,1.05442,0,-288.75,0,1647,1556,0.598203
2.55,0.143611,1.37311,0.0456686,1.08464,0,-288.75,0,1647,1627,0.65546
2.6,0.153849,1.40333,0.0553652,1.11326,0,-288.69,0,1647,1553,0.546217
2.66,0.163212,1.43206,0.0666462,1.14619,0,-289.44,0,1647,1516,0.588233
2.72,0.178657,1.46355,0.0783539,1.17901,0,-289.75,0,1647,1489,0.692039
2.771,0.19208,1.49576,0.0900656,1.2118,0,-289.44,0,1647,1507,0.588233
2.831,0.202076,1.52917,0.100895,1.24254,0,-289.31,0,1647,1511,0.65546
2.881,0.212185,1.56016,0.111675,1.27334,0,-289.25,0,1647,1517,0.65546
2.931,0.222632,1.59107,0.1216,1.30177,0,-289.25,0,1647,1515,0.60504
2.981,0.232558,1.6195,0.132314,1.33246,0,-289.19,0,1647,1546,0.65546
3.031,0.242939,1.65031,0.144608,1.36773,0,-289.25,0,1647,1552,0.63025
3.091,0.255565,1.68546,0.156084,1.40058,0,-289.25,0,1647,1563,0.598203
3.15,0.267042,1.71831,0.166684,1.43096,0,-289.31,0,1647,1568,0.546217
3.21,0.277974,1.74858,0.177291,1.46123,0,-289.44,0,1647,1573,0.65546
3.26,0.289301,1.77859,0.188779,1.49371,0,-289.62,0,1647,1594,0.57859
3.321,0.301786,1.81072,0.19942,1.52353,0,-289.81,0,1647,1614,0.65546
3.371,0.313477,1.84017,0.211314,1.55647,0,-290.12,0,1647,1688,0.63025
3.431,0.327083,1.87249,0.222696,1.58717,0,-290.88,0,1647,1512,0.588233
3.491,0.342647,1.90162,0.236133,1.62136,0,-291.94,0,1647,1349,0.640932
3.55,0.36188,1.93354,0.247732,1.65002,0,-291.75,0,1647,1450,0.65546
3.6,0.372443,1.96261,0.259389,1.67956,0,-291.06,0,1647,1490,0.65546
3.65,0.380327,1.99363,0.271854,1.71217,0,-290.69,0,1647,1508,0.588233
3.71,0.390761,2.02701,0.283353,1.74263,0,-290.62,0,1647,1508,0.65546
3.76,0.401875,2.05762,0.294813,1.77312,0,-290.5,0,1647,1543,0.65546
3.81,0.412675,2.08836,0.306137,1.80347,0,-290.44,0,1647,1564,0.65546
3.86,0.423669,2.11883,0.319848,1.84041,0,-290.44,0,1647,1585,0.661246
3.921,0.43738,2.15577,0.331861,1.87245,0,-290.81,0,1647,1585,0.588233
3.981,0.451427,2.18704,0.344068,1.9044,0,-291.06,0,1647,1598,0.70588
4.031,0.465006,2.21847,0.357405,1.9384,0,-291.81,0,1647,1592,0.619918
4.092,0.482444,2.25086,0.370439,1.97028,0,-292.56,0,1647,1559,0.608517
4.15,0.499557,2.28108,0.382077,1.99769,0,-293.25,0,1647,1356,0.60504
4.2,0.514928,2.30691,0.394375,2.02571,0,-293.81,0,1647,1071,0.63025
4.26,0.530242,2.33362,0.408472,2.05776,0,-292.81,0,1647,1304,0.731903
4.322,0.538944,2.36799,0.41942,2.08458,0,-291.12,0,1647,1830,0.796105
4.36,0.540686,2.39852,0.430451,2.11444,0,-289.5,0,1647,1734,0.7563
4.41,0.542794,2.43168,0.441751,2.14694,0,-289.12,0,1647,1781,0.609919
4.472,0.551987,2.46492,0.452967,2.17796,0,-290.94,0,1647,1586,0.588233
4.532,0.573246,2.49228,0.464618,2.20764,0,-291.94,0,1647,1583,0.65546
4.582,0.590365,2.51982,0.476047,2.236,0,-292,0,1647,1717,0.65546
4.632,0.60212,2.54805,0.487651,2.26499,0,-292.06,0,1647,1773,0.588233
4.692,0.614051,2.5769,0.500668,2.29588,0,-293.94,0,1647,1685,0.556103
4.76,0.637233,2.60348,0.513257,2.32366,0,-295.19,0,1647,1641,0.65546
4.81,0.6565,2.6282,0.530039,2.35852,0,-296.38,0,1647,1590,0.650581
4.872,0.679575,2.66002,0.546583,2.39139,0,-297.25,0,1647,1540,0.63025
4.932,0.700681,2.69059,0.56144,2.42011,0,-297.56,0,1647,1565,0.65546
4.982,0.717154,2.71847,0.576564,2.44868,0,-298.25,0,1647,1483,0.65546
5.032,0.73586,2.74515,0.591681,2.4765,0,-298.81,0,1647,1295,0.65546
5.082,0.753866,2.7714,0.607185,2.50429,0,-299,0,1647,1295,0.714283
5.142,0.770348,2.79864,0.621397,2.53028,0,-297.75,0,1647,1484,0.70588
5.192,0.778099,2.82813,0.638052,2.56308,0,-296.06,0,1647,1608,0.7563
5.242,0.785903,2.86542,0.652508,2.59332,0,-295.06,0,1647,1640,0.70588
5.292,0.795059,2.89819,0.66644,2.62363,0,-294.75,0,1647,1621,0.608517
5.35,0.80734,2.92926,0.679602,2.65214,0,-295.44,0,1647,1584,0.65546
5.4,0.824172,2.95606,0.693269,2.68064,0,-295.94,0,1647,1631,0.65546
5.45,0.840486,2.98328,0.706802,2.70864,0,-296.06,0,1647,1633,0.65546
5.5,0.854652,3.01098,0.720575,2.73668,0,-296.44,0,1647,1594,0.65546
5.55,0.870428,3.03802,0.734585,2.76489,0,-296.69,0,1647,1600,0.65546
5.6,0.885751,3.06558,0.748806,2.79318,0,-296.94,0,1647,1584,0.65546
5.65,0.901282,3.09321,0.764466,2.82373,0,-297.5,0,1647,1584,0.588233
5.71,0.919868,3.12225,0.779352,2.85218,0,-298.12,0,1647,1562,0.65546
5.76,0.937974,3.149,0.794713,2.88076,0,-298.62,0,1647,1530,0.65546
5.81,0.95592,3.17618,0.810252,2.90903,0,-299.12,0,1647,1430,0.65546
5.86,0.97403,3.20304,0.824996,2.93541,0,-299.12,0,1647,1219,0.70588
5.91,0.988774,3.22942,0.839913,2.96221,0,-298.56,0,1647,1338,0.7563
5.96,1.00081,3.25781,0.854605,2.98962,0,-297.31,0,1647,1545,0.819325
6,1.00902,3.28866,0.868791,3.01794,0,-295.44,0,1647,1656,0.78031
6.042,1.01336,3.32186,0.882322,3.04751,0,-293.75,0,1647,1680,0.70588
6.092,1.01787,3.35555,0.895531,3.07751,0,-294.25,0,1647,1647,0.608517
6.15,1.03376,3.38437,0.909474,3.10806,0,-295.12,0,1647,1610,0.588233
6.21,1.05234,3.41278,0.92391,3.13868,0,-295.56,0,1647,1606,0.70588
6.26,1.06912,3.44229,0.937629,3.16716,0,-296.06,0,1647,1583,0.65546
6.31,1.08548,3.46949,0.951775,3.1958,0,-296.88,0,1647,1557,0.65546
6.36,1.10394,3.49598,0.967655,3.2269,0,-297.69,0,1647,1531,0.70588
6.41,1.12405,3.5249,0.982849,3.25571,0,-297.94,0,1647,1506,0.65546
6.46,1.14054,3.55304,0.999264,3.28659,0,-298.06,0,1647,1500,0.70588
6.51,1.15758,3.58358,1.01445,3.31501,0,-298.12,0,1647,1462,0.65546
6.56,1.17307,3.61183,1.03143,3.34678,0,-297.94,0,1647,1291,0.63025
6.62,1.18912,3.64411,1.04902,3.38001,0,-297.44,0,1647,1332,0.702574
6.681,1.20411,3.67869,1.0643,3.41009,0,-296,0,1647,1665,0.70588
6.731,1.21184,3.71258,1.07846,3.43969,0,-295.12,0,1647,1673,0.70588
6.781,1.22133,3.74441,1.09141,3.46743,0,-295.19,0,1647,1634,0.65546
6.831,1.23465,3.77198,1.10727,3.50028,0,-296.5,0,1647,1566,0.63025
6.891,1.25743,3.80147,1.12176,3.52908,0,-296.94,0,1647,1544,0.65546
6.941,1.27424,3.82911,1.13646,3.558,0,-297,0,1647,1542,0.65546
6.991,1.28925,3.85787,1.15124,3.58696,0,-297.12,0,1647,1534,0.65546
7.041,1.30466,3.88651,1.16617,3.61596,0,-297.38,0,1647,1525,0.65546
7.091,1.32095,3.91481,1.18243,3.64721,0,-297.62,0,1647,1514,0.598203
