secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334111,7.4324e-07,0,-291.12,0,1643,1464,1
1.701,-0.200921,0.346485,-0.309904,0.0644718,0,-290.88,0,1702,1469,0.74841
2.169,-0.0471096,0.798941,-0.143554,0.520757,0,-289.06,0,1630,1488,1
2.601,0.107074,1.26843,0.0100091,0.980358,0,-288.56,0,1647,1508,1
3.041,0.277202,1.73505,0.174464,1.45182,0,-290,0,1642,1517,1
3.48,0.455434,2.19526,0.345423,1.91414,0,-291.75,0,1695,1561,1
3.851,0.679532,2.64069,0.548778,2.37175,0,-296.25,0,1683,1538,1
4.209,0.910308,3.0786,0.771748,2.80737,0,-296.88,0,1683,1476,1
4.519,1.12294,3.51816,0.988392,3.24295,0,-296.19,0,1683,1523,1
4.819,1.34182,3.95035,1.20582,3.6812,0,-296.88,0,1677,1503,1
5.109,1.55534,4.36986,1.41697,4.09898,0,-297.06,0,1686,1499,1
5.409,1.77861,4.8125,1.64266,4.54271,0,-296.75,0,1683,1479,1
5.699,1.98782,5.25433,1.85798,4.98213,0,-295.38,0,1688,1506,1
5.979,2.1942,5.70123,2.06817,5.43009,0,-295,0,1687,1507,1
6.259,2.40579,6.15111,2.27851,5.88046,0,-295.25,0,1686,1503,1
6.539,2.61898,6.59715,2.49047,6.32698,0,-295.44,0,1685,1499,1
6.819,2.82916,7.04487,2.70107,6.77162,0,-295.12,0,1684,1495,1
7.079,3.02604,7.46734,2.89927,7.19628,0,-295,0,1683,1495,1
7.359,3.2313,7.91653,3.10592,7.64216,0,-294.44,0,1685,1497,1
7.619,3.42289,8.34111,3.30084,8.07088,0,-294.31,0,1685,1507,1
7.899,3.62843,8.7965,3.50398,8.52186,0,-294.31,0,1685,1507,1
8.16,3.82032,9.22322,3.69674,8.94807,0,-294.19,0,1686,1502,1
8.429,4.01727,9.65688,3.89417,9.38426,0,-294.44,0,1686,1501,1
8.69,4.21,10.0789,4.085,9.80449,0,-294.56,0,1686,1507,1
8.969,4.41804,10.5269,4.29363,10.2576,0,-294.88,0,1685,1503,1
9.24,4.62206,10.9615,4.49434,10.6883,0,-295.06,0,1686,1503,1
9.511,4.8279,11.3953,4.70545,11.1362,0,-295.38,0,1685,1505,1
9.779,5.03184,11.8193,4.90382,11.5516,0,-295.56,0,1685,1497,1
10.061,5.24168,12.2564,5.10983,11.9823,0,-295.5,0,1685,1499,1
10.329,5.44567,12.6875,5.31826,12.4196,0,-295.44,0,1685,1497,1
10.601,5.64736,13.109,5.51674,12.8344,0,-295.44,0,1685,1502,1
10.879,5.85913,13.5574,5.73325,13.2912,0,-295.25,0,1687,1485,1
11.161,6.0653,14.0127,5.93946,13.7357,0,-294.44,0,1687,1495,1
11.419,6.25813,14.4513,6.13837,14.1799,0,-293.75,0,1687,1499,1
11.679,6.44519,14.8853,6.32659,14.6111,0,-293.56,0,1687,1519,1
11.941,6.63915,15.3217,6.51755,15.0486,0,-293.88,0,1687,1511,1
12.201,6.83149,15.7555,6.70923,15.48,0,-294.06,0,1687,1511,1
12.46,7.02546,16.1858,6.90223,15.9104,0,-294.19,0,1687,1499,1
12.729,7.22743,16.6388,7.10578,16.3656,0,-293.94,0,1687,1501,1
13,7.42357,17.0908,7.30315,16.8146,0,-293.62,0,1687,1519,1
13.259,7.61189,17.5171,7.49017,17.2414,0,-293.81,0,1687,1509,1
13.519,7.80901,17.9539,7.68651,17.6811,0,-294.31,0,1687,1503,1
13.779,8.00375,18.3887,7.88262,18.118,0,-294.19,0,1688,1505,1
14.039,8.20628,18.8334,8.08259,18.5611,0,-294.5,0,1688,1507,1
14.299,8.40946,19.2655,8.2826,18.9949,0,-295.19,0,1687,1511,1
14.559,8.61625,19.6999,8.4885,19.4298,0,-295.38,0,1687,1517,1
14.819,8.82,20.1251,8.6899,19.853,0,-295.62,0,1684,1501,1
15.079,9.02401,20.5446,8.89377,20.2753,0,-295.81,0,1687,1499,1
15.339,9.23085,20.9628,9.0986,20.6939,0,-296.12,0,1683,1477,1
15.599,9.42403,21.3932,9.30024,21.1208,0,-294.25,0,1695,1498,1
15.859,9.6157,21.8349,9.49523,21.5611,0,-293.62,0,1695,1501,1
16.099,9.80102,22.2605,9.68149,21.9864,0,-293.69,0,1689,1503,1
16.359,9.99233,22.702,9.87303,22.425,0,-293.44,0,1689,1503,1
16.639,10.1919,23.16,10.0724,22.8859,0,-293.56,0,1677,1497,1
16.92,10.3847,23.5997,10.2635,23.3208,0,-293.5,0,1679,1503,1
17.2,10.5745,24.0406,10.4564,23.7657,0,-293.25,0,1677,1495,1
17.489,10.7665,24.5005,10.6499,24.2224,0,-292.62,0,1679,1503,1
17.76,10.9454,24.94,10.83,24.6587,0,-292.38,0,1679,1507,1
18.039,11.1336,25.3988,11.0204,25.122,0,-292.25,0,1679,1507,1
18.311,11.3162,25.8423,11.2003,25.5615,0,-292.56,0,1679,1521,1
18.589,11.5129,26.2952,11.3951,26.0233,0,-293.44,0,1607,1522,1
