secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334819,3.2423e-06,0,-300.75,0,1653,1071,0.0315125
0.08,-0.162743,0.289236,-0.31965,0.0254427,0,-302.31,0,1640,1605,0.117046
0.36,-0.139765,0.309884,-0.302926,0.0519161,0,-302.31,0,1641,1650,0.218487
0.51,-0.123041,0.336358,-0.287017,0.0762965,0,-303.75,0,1641,1513,0.232708
0.64,-0.10004,0.356128,-0.269586,0.102119,0,-303.94,0,1642,1319,0.297936
0.75,-0.0816816,0.381329,-0.252745,0.127283,0,-303.44,0,1642,1491,0.392156
0.84,-0.0672845,0.408122,-0.235705,0.153296,0,-303.31,0,1643,1542,0.364144
0.93,-0.0508821,0.434555,-0.217774,0.180209,0,-304.12,0,1644,1465,0.409662
1.01,-0.028994,0.458827,-0.198574,0.208455,0,-304,0,1644,1484,0.441175
1.09,-0.0103779,0.487467,-0.179146,0.237348,0,-303.88,0,1645,1487,0.5042
1.16,0.00846558,0.516754,-0.161084,0.26423,0,-303.88,0,1646,1503,0.468186
1.23,0.0265273,0.543637,-0.144388,0.289104,0,-303.5,0,1647,1507,0.5042
1.29,0.0413661,0.569748,-0.127813,0.314264,0,-303.25,0,1647,1512,0.5042
1.35,0.0567149,0.595716,-0.110014,0.34142,0,-303.25,0,1648,1507,0.461592
1.421,0.0745142,0.622873,-0.09072,0.370745,0,-303.31,0,1649,1528,0.598203
1.48,0.0941028,0.652004,-0.0729757,0.39783,0,-303,0,1650,1564,0.546217
1.54,0.110323,0.680085,-0.0556399,0.424548,0,-303,0,1650,1601,0.537262
1.601,0.127658,0.706802,-0.0372492,0.452843,0,-303.12,0,1647,1661,0.588233
1.661,0.14664,0.734713,-0.0191367,0.480482,0,-303.56,0,1647,1669,0.588233
1.721,0.166911,0.760931,-0.000998907,0.507553,0,-304.38,0,1647,1687,0.598203
1.78,0.189044,0.785311,0.0183884,0.53561,0,-305.19,0,1647,1781,0.63025
1.84,0.212339,0.810654,0.0365602,0.561037,0,-306.19,0,1647,1452,0.57859
1.901,0.235281,0.832654,0.0550531,0.585668,0,-307.94,0,1647,1331,0.546217
1.961,0.261976,0.85109,0.0774193,0.61391,0,-308.44,0,1647,1304,0.672267
2.021,0.286651,0.877516,0.0987709,0.641083,0,-307.5,0,1647,1401,0.7563
2.071,0.30365,0.908086,0.119105,0.668204,0,-306.06,0,1647,1497,0.70588
2.121,0.317209,0.940271,0.139027,0.695935,0,-305.25,0,1647,1686,0.70588
2.171,0.333265,0.970776,0.158596,0.723865,0,-305.19,0,1647,1721,0.640932
2.23,0.352546,0.998909,0.176988,0.749527,0,-306.69,0,1647,1686,0.588233
2.29,0.378072,1.0194,0.195372,0.773723,0,-308.06,0,1647,1644,0.65546
2.34,0.402851,1.03871,0.214638,0.798032,0,-308.94,0,1647,1633,0.65546
2.39,0.426162,1.0598,0.235969,0.824088,0,-309.88,0,1647,1617,0.57859
2.451,0.451759,1.08235,0.259433,0.85183,0,-310.75,0,1647,1577,0.63025
2.511,0.47912,1.10679,0.280496,0.875929,0,-311.75,0,1647,1500,0.65546
2.561,0.504599,1.12701,0.301549,0.899213,0,-312.5,0,1647,1309,0.65546
2.611,0.528919,1.14734,0.324188,0.92379,0,-312.56,0,1647,1079,0.702574
2.672,0.551818,1.17168,0.344444,0.946065,0,-311.5,0,1647,1415,0.80672
2.722,0.567448,1.19813,0.36377,0.968354,0,-309.94,0,1647,1629,0.775692
2.761,0.57983,1.22639,0.385943,0.995422,0,-308.56,0,1647,1646,0.741471
2.812,0.595726,1.25859,0.404688,1.01926,0,-307.81,0,1647,1644,0.65546
2.862,0.611009,1.28515,0.425346,1.04559,0,-308.75,0,1647,1590,0.588233
2.922,0.636001,1.30806,0.445689,1.07044,0,-309.88,0,1647,1726,0.608517
2.98,0.661479,1.32871,0.466242,1.09486,0,-310.69,0,1647,1694,0.588233
3.04,0.685661,1.35005,0.486119,1.1176,0,-311.94,0,1647,1632,0.65546
3.09,0.711053,1.36794,0.507182,1.14074,0,-312.88,0,1647,1602,0.65546
3.14,0.736192,1.38736,0.529044,1.16402,0,-313.69,0,1647,1547,0.65546
3.19,0.761518,1.40738,0.55151,1.18739,0,-314.06,0,1647,1531,0.65546
3.24,0.785551,1.42924,0.572415,1.20897,0,-314.12,0,1647,1536,0.7563
3.28,0.806708,1.45057,0.595024,1.2322,0,-314.38,0,1647,1525,0.65546
3.33,0.830411,1.47274,0.617839,1.25547,0,-314.56,0,1647,1929,0.65546
3.38,0.853981,1.49527,0.641242,1.27918,0,-314.69,0,1647,1346,0.588233
3.44,0.877928,1.51844,0.665329,1.30346,0,-314.75,0,1647,1493,0.70588
3.49,0.902265,1.54248,0.689736,1.32821,0,-314.38,0,1647,1522,0.70588
3.54,0.925124,1.56875,0.714379,1.35342,0,-314.38,0,1647,1508,0.678731
3.592,0.949767,1.59395,0.737226,1.37678,0,-314.25,0,1647,1469,0.682771
3.64,0.972068,1.61785,0.761137,1.40135,0,-314.19,0,1647,1464,0.70588
3.69,0.995726,1.64267,0.78486,1.42582,0,-314,0,1647,1461,0.70588
3.74,1.01865,1.66791,0.808448,1.45032,0,-313.75,0,1647,1444,0.70588
3.79,1.04118,1.69343,0.831856,1.47484,0,-313.5,0,1647,1450,0.70588
3.84,1.06352,1.71897,0.853437,1.49764,0,-313.31,0,1647,1414,0.65546
3.89,1.08429,1.74253,0.874689,1.52028,0,-313.06,0,1647,1412,0.65546
3.94,1.10447,1.76617,0.898903,1.54629,0,-312.69,0,1647,1348,0.7563
3.99,1.12709,1.79366,0.920463,1.56985,0,-312.12,0,1647,1325,0.70588
4.04,1.14618,1.81948,0.944105,1.59623,0,-311.25,0,1647,1105,0.80672
4.09,1.16601,1.84927,0.963693,1.61898,0,-309.94,0,1647,1540,0.7563
4.14,1.17975,1.87702,0.982424,1.64172,0,-308.56,0,1647,1840,0.819325
4.18,1.19221,1.90488,1.00072,1.6652,0,-306.94,0,1647,1762,0.840333
4.222,1.20298,1.93419,1.01909,1.69003,0,-306.06,0,1647,1747,0.70588
4.272,1.2172,1.9621,1.03672,1.71409,0,-306.81,0,1647,1645,0.565052
4.33,1.23837,1.98355,1.05863,1.74257,0,-308.5,0,1647,1597,0.63025
4.39,1.26813,2.00596,1.08016,1.76934,0,-309.19,0,1647,1569,0.70588
4.44,1.29283,2.03018,1.10222,1.79624,0,-309.38,0,1647,1542,0.70588
4.49,1.31575,2.05638,1.12451,1.82327,0,-309.5,0,1647,1529,0.70588
4.54,1.33858,2.08296,1.14694,1.85038,0,-309.75,0,1647,1516,0.70588
4.59,1.36214,2.10913,1.16944,1.87739,0,-310.06,0,1647,1511,0.70588
4.64,1.38604,2.13498,1.19189,1.90407,0,-310.25,0,1647,1496,0.70588
4.69,1.40935,2.16094,1.21419,1.93041,0,-310.31,0,1647,1446,0.678731
4.742,1.43192,2.18705,1.23435,1.95419,0,-310.12,0,1647,1330,0.682771
4.79,1.45122,2.21155,1.2547,1.97848,0,-309.31,0,1647,1071,0.70588
4.84,1.46791,2.23888,1.27618,2.00513,0,-307.88,0,1647,1654,0.80672
4.89,1.48282,2.27076,1.29496,2.02987,0,-306.19,0,1647,1737,0.7563
4.94,1.49368,2.30149,1.31287,2.05464,0,-305.75,0,1647,1733,0.70588
4.99,1.5095,2.32778,1.33052,2.07889,0,-307.12,0,1647,1634,0.65546
5.04,1.53362,2.34725,1.34989,2.10401,0,-308.56,0,1647,1576,0.65546
5.09,1.55967,2.36717,1.37322,2.13299,0,-309.19,0,1647,1488,0.7563
5.14,1.58588,2.39383,1.39658,2.16174,0,-308.81,0,1647,1489,0.7563
5.19,1.60751,2.42399,1.42134,2.19266,0,-308.56,0,1647,1490,0.672267
5.25,1.63112,2.45583,1.44136,2.21783,0,-308.38,0,1647,1483,0.642608
5.301,1.65031,2.48165,1.46278,2.24496,0,-308.06,0,1647,1478,0.720286
5.35,1.67025,2.50995,1.48406,2.27219,0,-308,0,1647,1472,0.70588
5.4,1.69126,2.5374,1.50513,2.29916,0,-308,0,1647,1442,0.70588
5.45,1.71233,2.56437,1.52661,2.32664,0,-308,0,1647,1359,0.7563
5.5,1.73381,2.59185,1.54508,2.35041,0,-307.38,0,1647,1279,0.7563
5.55,1.7494,2.61784,1.56557,2.37773,0,-305.88,0,1647,1569,0.80672
5.6,1.76282,2.65042,1.58319,2.40259,0,-304.25,0,1647,1656,0.819325
5.64,1.7726,2.68078,1.60238,2.43137,0,-303.12,0,1647,1661,0.63025
5.7,1.78627,2.71324,1.6219,2.46095,0,-304.06,0,1647,1633,0.63025
5.76,1.81039,2.73977,1.64114,2.48886,0,-305.06,0,1647,1573,0.70588
5.81,1.83447,2.76434,1.66111,2.51704,0,-305.62,0,1647,1540,0.70588
5.86,1.85712,2.79063,1.68165,2.54549,0,-306.06,0,1647,1516,0.70588
5.91,1.87975,2.81755,1.7024,2.57388,0,-306.19,0,1647,1509,0.70588
5.96,1.90112,2.8455,1.72014,2.59813,0,-306.19,0,1647,1503,0.7563
6,1.91887,2.86975,1.74075,2.62634,0,-305.88,0,1647,1491,0.70588
6.05,1.938,2.89903,1.76126,2.65468,0,-305.81,0,1647,1504,0.70588
6.1,1.95817,2.92761,1.78025,2.681,0,-305.81,0,1647,1500,0.65546
6.15,1.97716,2.95393,1.79918,2.70718,0,-306.12,0,1647,1481,0.65546
6.2,1.99757,2.97904,1.81829,2.73333,0,-306.19,0,1647,1071,0.70588
6.25,2.01701,3.00494,1.83958,2.76252,0,-305.56,0,1647,1413,0.798317
6.31,2.0353,3.03631,1.85724,2.78766,0,-304,0,1647,1566,0.819325
6.35,2.04543,3.06668,1.87676,2.81733,0,-302.69,0,1647,1647,0.7563
