secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.33408,4.8421e-07,0,-303.56,0,1679,1485,1.51909
1.712,-0.130766,0.309026,-0.296567,0.05675,0,-303.19,0,1673,1489,0.982554
2.55,0.12006,0.702894,-0.0469953,0.450374,0,-303.81,0,1642,1612,2
3.211,0.426253,1.05224,0.235148,0.824885,0,-310.38,0,1666,1565,2
3.622,0.751943,1.38294,0.552214,1.17009,0,-313.31,0,1669,1490,2
3.99,1.05941,1.72427,0.863424,1.50683,0,-311.56,0,1671,1457,2
4.35,1.36497,2.10259,1.17609,1.87351,0,-309.31,0,1673,1489,2
4.68,1.64314,2.47298,1.46516,2.23888,0,-307.25,0,1673,1505,2
5.02,1.92638,2.8761,1.75365,2.63228,0,-305.44,0,1670,1515,2
5.37,2.19674,3.28708,2.03411,3.04189,0,-303.88,0,1672,1551,2
5.7,2.4551,3.67003,2.28891,3.4236,0,-304.19,0,1671,1578,2
6.06,2.74698,4.05889,2.56991,3.82047,0,-306.94,0,1671,1563,2
6.42,3.06503,4.4391,2.87832,4.21205,0,-309.56,0,1667,1533,2
6.78,3.39726,4.80996,3.19426,4.58051,0,-311.5,0,1671,1525,2
7.14,3.73631,5.17699,3.53628,4.95773,0,-312.38,0,1659,1494,2
7.5,4.04388,5.5253,3.8403,5.29616,0,-311.44,0,1711,1505,2
7.791,4.3467,5.87423,4.14678,5.64473,0,-311,0,1597,1487,2
8.091,4.66038,6.25058,4.47283,6.02656,0,-309.88,0,1659,1469,2
8.441,4.94945,6.63639,4.77054,6.3991,0,-306.62,0,1649,1483,2
8.81,5.21805,7.03674,5.04393,6.78457,0,-304.56,0,1670,1532,2
9.142,5.47611,7.42283,5.31191,7.17892,0,-303.88,0,1665,1539,2
9.482,5.73612,7.81735,5.57109,7.56806,0,-303.44,0,1667,1536,2
9.832,5.99576,8.21248,5.83252,7.96475,0,-303.38,0,1667,1547,2
10.172,6.25217,8.59972,6.08807,8.35237,0,-303.56,0,1668,1557,2
10.532,6.52846,8.99666,6.35661,8.74891,0,-304.81,0,1668,1537,2
10.882,6.80416,9.3754,6.62929,9.13302,0,-305.88,0,1667,1525,2
11.232,7.08498,9.75319,6.9057,9.51089,0,-306.56,0,1665,1532,2
11.6,7.37908,10.139,7.1939,9.8949,0,-307.19,0,1668,1515,2
11.981,7.68419,10.5311,7.49963,10.2927,0,-307.81,0,1666,1507,2
12.37,7.98714,10.9219,7.8025,10.6835,0,-307.69,0,1661,1503,2
12.76,8.28117,11.3065,8.09768,11.0668,0,-307.31,0,1680,1490,2
13.06,8.57213,11.6955,8.39002,11.4516,0,-306.62,0,1671,1488,2
13.39,8.86008,12.1003,8.68869,11.8612,0,-305.5,0,1669,1498,2
