secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.33408,-4.86232e-07,0,-292.12,0,1651,1569,0.00161499
1.561,-0.207353,0.311779,-0.322453,0.0286729,0,-292.12,0,1681,1582,0.195077
1.729,-0.195726,0.340452,-0.309563,0.0605084,0,-292.06,0,1667,1585,0.588233
1.789,-0.183162,0.37242,-0.297579,0.0899895,0,-292.25,0,1670,1581,0.65546
1.839,-0.170145,0.40148,-0.285498,0.119528,0,-292.31,0,1670,1582,0.819325
1.879,-0.157738,0.430885,-0.272512,0.151164,0,-292.38,0,1674,1597,0.840333
1.921,-0.144371,0.462365,-0.259531,0.18267,0,-292.44,0,1675,1595,0.88235
1.961,-0.131065,0.493736,-0.244737,0.218537,0,-292.5,0,1673,1623,1.0084
2.001,-0.115945,0.529469,-0.2301,0.254047,0,-292.56,0,1674,1613,1.06147
2.039,-0.100982,0.564844,-0.217161,0.2853,0,-292.62,0,1673,1599,1.10294
2.071,-0.0877182,0.595962,-0.201226,0.323444,0,-292.81,0,1673,1599,1.07142
2.111,-0.0707536,0.633674,-0.185178,0.361625,0,-292.94,0,1673,1585,1.07142
2.151,-0.0540022,0.671558,-0.172796,0.390952,0,-292.94,0,1673,1585,1.17046
2.179,-0.0416195,0.700886,-0.158486,0.424761,0,-293.06,0,1673,1585,1.21984
2.21,-0.0266609,0.734419,-0.145073,0.456293,0,-293.19,0,1671,1585,1.21703
2.239,-0.0125463,0.765651,-0.129668,0.492291,0,-293.31,0,1673,1585,1.30116
2.27,0.00350728,0.801371,-0.11422,0.528242,0,-293.25,0,1671,1587,1.30116
2.301,0.0186309,0.837461,-0.0997514,0.561943,0,-293.38,0,1673,1587,1.35054
2.329,0.0338009,0.87086,-0.0842421,0.597847,0,-293.56,0,1674,1589,1.30116
2.36,0.0502801,0.906342,-0.069654,0.631454,0,-293.62,0,1671,1589,1.30397
2.389,0.0651911,0.939809,-0.0540424,0.667259,0,-293.62,0,1674,1593,1.2605
2.421,0.0808027,0.975613,-0.0384545,0.702969,0,-293.75,0,1673,1603,1.3909
2.45,0.0970899,1.01102,-0.022875,0.738436,0,-293.88,0,1673,1609,1.3909
2.479,0.113368,1.04618,-0.00528965,0.778204,0,-294,0,1674,1609,1.46381
2.51,0.131598,1.08566,0.01039,0.813547,0,-294,0,1674,1609,1.3909
2.539,0.147277,1.121,0.0280619,0.85332,0,-294.12,0,1673,1604,1.46381
2.57,0.165593,1.16049,0.0439055,0.888702,0,-294.31,0,1673,1599,1.34453
2.6,0.182454,1.19541,0.0598947,0.924165,0,-294.38,0,1673,1594,1.3909
2.629,0.198818,1.2307,0.0769505,0.961878,0,-294.44,0,1671,1595,1.38248
2.66,0.216195,1.26827,0.0940809,0.999581,0,-294.62,0,1671,1593,1.47783
2.689,0.234287,1.30554,0.112357,1.03954,0,-294.75,0,1669,1587,1.46381
2.72,0.253257,1.34517,0.129818,1.07743,0,-294.81,0,1667,1569,1.47783
2.749,0.271038,1.38292,0.147393,1.11552,0,-294.94,0,1667,1561,1.42857
2.779,0.289305,1.42069,0.166187,1.15597,0,-295.06,0,1669,1553,1.5126
2.809,0.308739,1.46083,0.18305,1.19201,0,-295.12,0,1669,1549,1.34453
2.839,0.325921,1.49673,0.201035,1.23033,0,-295.25,0,1670,1551,1.42857
2.869,0.344597,1.53473,0.219052,1.26858,0,-295.31,0,1671,1555,1.38248
2.9,0.362933,1.57283,0.23711,1.30674,0,-295.44,0,1671,1555,1.47783
2.929,0.381681,1.61066,0.256311,1.34708,0,-295.56,0,1671,1557,1.5126
2.959,0.401518,1.6507,0.274488,1.38511,0,-295.56,0,1674,1559,1.42857
2.989,0.419695,1.68872,0.29372,1.42535,0,-295.69,0,1674,1561,1.5126
