secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.33408,-4.86232e-07,0,-292.12,0,1651,1569,1.60477
1.729,-0.195239,0.341461,-0.309076,0.0615172,0,-292.06,0,1667,1585,1.00097
2.239,-0.0118464,0.767509,-0.128968,0.494149,0,-293.31,0,1673,1585,2
2.6,0.182506,1.19604,0.0599465,0.924791,0,-294.38,0,1673,1594,2
2.929,0.381924,1.61128,0.256554,1.3477,0,-295.56,0,1671,1557,2
3.259,0.594049,2.03796,0.464552,1.77602,0,-296.5,0,1703,1568,2
3.539,0.822022,2.45784,0.679442,2.19523,0,-298.56,0,1689,1519,2
3.799,1.06822,2.88024,0.91772,2.61895,0,-300,0,1691,1532,2
4.059,1.31584,3.29784,1.16565,3.04218,0,-300.5,0,1695,1502,2
4.319,1.56522,3.72967,1.41413,3.46856,0,-300,0,1690,1499,2
4.579,1.81105,4.14688,1.66072,3.89107,0,-300.38,0,1695,1498,2
4.839,2.05627,4.57199,1.9076,4.31523,0,-299.94,0,1705,1497,2
5.079,2.29021,4.98563,2.14357,4.72768,0,-299.38,0,1706,1497,2
5.319,2.52694,5.41876,2.38459,5.16135,0,-298.75,0,1697,1501,2
5.56,2.75633,5.84932,2.61707,5.59014,0,-298.19,0,1699,1497,2
5.799,2.97931,6.27987,2.84348,6.01888,0,-297.38,0,1703,1497,2
6.039,3.2021,6.72721,3.07169,6.46633,0,-296.44,0,1703,1499,2
6.26,3.40716,7.14703,3.27946,6.88518,0,-295.94,0,1703,1531,2
6.481,3.6159,7.57703,3.48658,7.31044,0,-295.81,0,1701,1517,2
6.699,3.81863,8.00243,3.69373,7.74207,0,-295.56,0,1701,1517,2
6.921,4.01791,8.43081,3.89265,8.1622,0,-295,0,1703,1512,2
7.139,4.21564,8.86367,4.09535,8.60115,0,-294.62,0,1703,1515,2
7.361,4.40996,9.29742,4.29058,9.0317,0,-294.12,0,1704,1513,2
7.581,4.60361,9.73518,4.48265,9.46198,0,-293.88,0,1709,1521,2
7.799,4.7966,10.1765,4.68182,9.91407,0,-293.62,0,1716,1512,2
8.021,4.99131,10.6339,4.87545,10.3636,0,-293.06,0,1699,1547,2
8.239,5.1816,11.0801,5.06848,10.8162,0,-293.19,0,1701,1563,2
8.461,5.37026,11.5157,5.25463,11.2483,0,-293.31,0,1705,1531,2
8.68,5.55911,11.9519,5.44143,11.6797,0,-293.38,0,1704,1545,2
8.899,5.7455,12.3791,5.62839,12.1114,0,-293.62,0,1705,1569,2
9.12,5.93616,12.8052,5.8169,12.5389,0,-294.06,0,1726,1549,2
9.319,6.12513,13.221,6.00343,12.9532,0,-294.5,0,1722,1545,2
9.519,6.32567,13.6567,6.2056,13.3963,0,-294.88,0,1719,1553,2
9.719,6.53219,14.1047,6.41178,13.8443,0,-294.81,0,1724,1555,2
9.899,6.72394,14.5172,6.6039,14.2598,0,-295.06,0,1719,1531,2
10.079,6.91853,14.9422,6.80008,14.6814,0,-294.5,0,1721,1528,2
10.269,7.12313,15.3963,7.00716,15.1395,0,-294.38,0,1719,1551,2
10.449,7.31825,15.824,7.19856,15.5607,0,-294.62,0,1721,1553,2
10.629,7.51634,16.2478,7.39776,15.992,0,-295,0,1724,1548,2
10.809,7.7218,16.6848,7.60017,16.4254,0,-295.19,0,1722,1536,2
10.989,7.92741,17.1205,7.80633,16.8638,0,-295.25,0,1723,1534,2
11.159,8.12469,17.5403,8.00411,17.2832,0,-295.25,0,1723,1536,2
11.339,8.33313,17.9815,8.21308,17.727,0,-295.31,0,1722,1532,2
11.499,8.53047,18.3981,8.40955,18.1441,0,-295.25,0,1723,1531,2
11.669,8.73192,18.8246,8.61143,18.5706,0,-295.38,0,1723,1521,2
11.84,8.93466,19.2485,8.81329,18.9948,0,-295.38,0,1723,1527,2
12.009,9.1399,19.6829,9.01852,19.4287,0,-295.31,0,1723,1549,2
12.18,9.34796,20.125,9.21699,19.8481,0,-295.25,0,1723,1523,2
12.34,9.53947,20.5343,9.41933,20.2796,0,-295.19,0,1722,1540,2
12.509,9.74402,20.9691,9.61505,20.694,0,-295.12,0,1721,1521,2
12.67,9.93822,21.4074,9.81325,21.1276,0,-294.12,0,1721,1534,2
12.841,10.132,21.8423,10.0155,21.583,0,-294.31,0,1722,1546,2
13.009,10.3293,22.2746,10.2038,21.9978,0,-294.44,0,1721,1534,2
13.171,10.5175,22.6969,10.4027,22.4399,0,-294.19,0,1720,1534,2
13.341,10.7058,23.1156,10.5878,22.8521,0,-294.12,0,1721,1530,2
13.521,10.9031,23.566,10.7896,23.3082,0,-293.81,0,1721,1544,2
13.699,11.1039,24.0199,10.9924,23.7672,0,-293.88,0,1721,1527,2
13.871,11.2881,24.4444,11.1656,24.1636,0,-293.56,0,1722,1526,2
14.041,11.4814,24.8896,11.3674,24.6268,0,-293.5,0,1718,1530,2
14.209,11.6719,25.3363,11.5532,25.0593,0,-293.19,0,1717,1532,2
14.371,11.8454,25.7493,11.7349,25.4877,0,-292.94,0,1663,1540,2
14.541,12.0241,26.1823,11.9141,25.9169,0,-292.62,0,1515,1574,2
14.731,12.2124,26.6395,12.1002,26.3672,0,-292.5,0,1519,1564,2
14.931,12.3921,27.0776,12.2778,26.803,0,-292.5,0,1556,1702,2
15.169,12.589,27.5339,12.4706,27.2642,0,-294.06,0,1520,1656,2
15.43,12.8152,27.9627,12.6749,27.691,0,-297.69,0,1601,1756,2
15.74,13.0955,28.3173,12.9141,28.0799,0,-308.81,0,1559,1802,1.51083
16.069,13.4507,28.5298,13.2047,28.3518,0,-325.69,0,1563,1789,1.70326
16.489,13.9159,28.6295,13.6231,28.542,0,-344.75,0,1647,1751,1.77249
16.939,14.3887,28.5864,14.0834,28.5917,0,-2.25,0,1581,1624,2
17.369,14.8272,28.4482,14.5414,28.518,0,-14.25,0,1717,1562,2
17.659,15.2599,28.2704,14.976,28.379,0,-21.38,0,1603,1505,2
17.959,15.6915,28.0608,15.4154,28.1864,0,-24.38,0,1690,1383,2
18.239,16.156,27.8765,15.8767,27.9889,0,-21.38,0,1649,1397,2
18.5,16.6194,27.7306,16.3306,27.8256,0,-18.19,0,1631,1510,2
