secs,x,y,rear_x,rear_y,reverse,heading,adj,esc,str,m/s
0,0,0,-0.334819,3.2423e-06,0,-292.62,0,1741,1071,0.0254646
0.099,-0.205376,0.310664,-0.323243,0.0288194,0,-291.19,0,1677,1530,0.360143
0.19,-0.201593,0.342614,-0.310902,0.0610684,0,-290.81,0,1894,1589,0.598203
0.249,-0.191336,0.375663,-0.299709,0.0908021,0,-290.5,0,1911,1603,0.799341
0.29,-0.181847,0.406039,-0.286178,0.127264,0,-290.31,0,1922,1603,1.0084
0.33,-0.169362,0.442891,-0.275309,0.156806,0,-290.19,0,1938,1589,1.1301
0.359,-0.159154,0.472676,-0.262759,0.191178,0,-290,0,1976,1597,1.18172
0.391,-0.147652,0.507431,-0.250381,0.225486,0,-289.75,0,2000,1608,1.30397
0.42,-0.136655,0.542239,-0.237408,0.262011,0,-289.44,0,2000,1615,1.3909
0.449,-0.125398,0.579374,-0.226272,0.293835,0,-289.25,0,2000,1610,1.68067
0.47,-0.115314,0.611568,-0.212108,0.334783,0,-289.06,0,2000,1621,1.56476
0.499,-0.102205,0.652882,-0.201217,0.36655,0,-288.94,0,2000,1626,1.68067
0.52,-0.0919807,0.684879,-0.18965,0.400595,0,-288.81,0,2000,1634,1.80071
0.541,-0.0811359,0.719171,-0.179732,0.429995,0,-288.62,0,1500,1633,1.82072
0.559,-0.0722752,0.748929,-0.166172,0.470695,0,-288.62,0,1500,1635,2.16086
0.58,-0.0587152,0.789629,-0.154173,0.506859,0,-288.38,0,1500,1636,2.12295
0.599,-0.0480524,0.82624,-0.140899,0.5474,0,-288.19,0,1846,1651,2.06264
0.621,-0.0358384,0.867132,-0.127834,0.587842,0,-288,0,1846,1654,2.2689
0.641,-0.023834,0.90792,-0.116388,0.623599,0,-287.94,0,1846,1658,2.24089
0.659,-0.0127239,0.943786,-0.102196,0.668165,0,-287.94,0,1846,1661,2.29182
0.681,0.00146844,0.988351,-0.089345,0.70832,0,-287.94,0,1846,1667,2.521
0.699,0.0143195,1.02851,-0.0744638,0.755168,0,-287.81,0,1846,1672,2.521
0.72,0.0284739,1.07559,-0.0597154,0.80174,0,-287.88,0,1846,1675,2.521
0.741,0.0436137,1.12204,-0.045611,0.846232,0,-287.94,0,1846,1673,2.80111
0.759,0.0580534,1.16642,-0.0358248,0.877216,0,-288,0,1846,1665,2.94117
0.771,0.0681749,1.19729,-0.0188616,0.930582,0,-288.12,0,1846,1668,3.0252
0.791,0.0858082,1.25044,-0.00253804,0.981385,0,-288.25,0,1846,1661,3.22128
0.809,0.102857,1.30101,0.00821,1.01477,0,-288.38,0,1846,1677,3.15125
0.821,0.11433,1.33415,0.0182031,1.04559,0,-288.31,0,1846,1677,3.5294
0.831,0.123933,1.3651,0.0339192,1.09417,0,-288.31,0,1846,1696,3.08122
0.849,0.139649,1.41368,0.0437237,1.12463,0,-288.5,0,1846,1693,3.5294
